osmid,oneway,lanes,name,highway,reversed,length,geometry,width,maxspeed,junction,tunnel
234344068,False,,Calle Alberto Fernández,residential,True,121.734,"LINESTRING (-6.5329202 37.340562, -6.5342194 37.3409248)",,,,
985110874,False,,Calle Nerva,tertiary,False,108.62299999999999,"LINESTRING (-6.5329202 37.340562, -6.5331382 37.3403262, -6.533641 37.3397709)",,,,
78316739,False,,Calle Teniente Merchante,tertiary,False,8.583,"LINESTRING (-6.5386075 37.335844, -6.5385201 37.3358776)",,,,
78316739,False,,Calle Teniente Merchante,tertiary,True,118.185,"LINESTRING (-6.5386075 37.335844, -6.5387108 37.3358062, -6.5393506 37.3356744, -6.5398923 37.335555)",,,,
158532665,True,,Calle San Sebastián,residential,False,163.046,"LINESTRING (-6.5386075 37.335844, -6.5383629 37.335433, -6.5381598 37.3351527, -6.5378245 37.3347916, -6.5377005 37.3347076, -6.5376009 37.3346316)",,,,
297322993,False,,Calle Reyes Católicos,tertiary,False,86.945,"LINESTRING (-6.5354247 37.335222, -6.5350447 37.3352421, -6.5344975 37.3352107, -6.5344522 37.3351874)",,,,
297322993,False,,Calle Reyes Católicos,tertiary,True,71.475,"LINESTRING (-6.5354247 37.335222, -6.5357829 37.3352409, -6.536231 37.3352685)",,,,
400770897,True,,Calle Pedro Miguel Pérez de Ayala,tertiary,False,121.33200000000001,"LINESTRING (-6.5354247 37.335222, -6.5354421 37.3350305, -6.5355177 37.3347264, -6.5356178 37.3343568, -6.535645 37.3341468)",,,,
400770900,False,,Calle Fernández Merchante,tertiary,True,4.746,"LINESTRING (-6.5335993 37.335638, -6.533651 37.3356495)",,,,
78316823,False,,Calle San Vicente,residential,True,38.618,"LINESTRING (-6.5335993 37.335638, -6.5335109 37.335915, -6.5334938 37.335975)",,,,
80203674,False,,Calle Rábida,tertiary,False,75.774,"LINESTRING (-6.5427659 37.3422639, -6.5422323 37.3417306)",,,,
234342268,False,,Calle Miraflores,residential,False,153.551,"LINESTRING (-6.5427659 37.3422639, -6.5436537 37.341077)",,,,
78316893,True,,Calle Rafael Alberti,residential,False,52.027,"LINESTRING (-6.5371153 37.3375035, -6.5370834 37.3379707)",,,,
158531886,True,,Calle San Francisco,tertiary,False,30.042,"LINESTRING (-6.5371153 37.3375035, -6.5374551 37.337505)",,,,
78316731,True,,Calle Jesús,residential,False,119.95400000000001,"LINESTRING (-6.538166 37.3377012, -6.5383587 37.3378182, -6.5386659 37.3379733, -6.5392851 37.3383104)",,,,
158532666,False,,Calle Francisco Pérez y Vacas,tertiary,False,66.543,"LINESTRING (-6.538166 37.3377012, -6.5381111 37.3376865, -6.5378701 37.3376221, -6.5375758 37.3375434, -6.5374551 37.337505)",,,,
158532666,False,,Calle Francisco Pérez y Vacas,tertiary,True,118.41300000000001,"LINESTRING (-6.538166 37.3377012, -6.5385569 37.3377705, -6.5387498 37.3378165, -6.5390914 37.3378995, -6.5394613 37.3379697)",,,,
202152721,True,1,Calle Cruz de Montañina,tertiary,False,49.911,"LINESTRING (-6.5434519 37.337971, -6.5440099 37.3380392)",,,,
400825226,False,2,Calle Condado de Niebla,tertiary,True,53.187,"LINESTRING (-6.5434519 37.337971, -6.5431532 37.3383862)",,,,
400825273,False,,Calle Cruz de Montañina,residential,False,7.847,"LINESTRING (-6.5434519 37.337971, -6.5434919 37.337908)",,,,
78316808,True,,Calle Delgado Hernández,tertiary,False,8.608,"LINESTRING (-6.5348408 37.3366856, -6.5348193 37.3366101)",,,,
78316936,True,,Calle San Ginés,residential,False,75.18799999999999,"LINESTRING (-6.5348408 37.3366856, -6.5345261 37.3366435, -6.5342149 37.3365627, -6.5340301 37.3364941)",,,,
158531882,True,,Calle Capitán Ramos,residential,False,37.66,"LINESTRING (-6.5374799 37.3380945, -6.5370834 37.3379707)",,,,
78316813,True,,Calle Capitán Ramos,residential,False,151.764,"LINESTRING (-6.5374799 37.3380945, -6.538163 37.3383534, -6.5384356 37.3384575, -6.5390106 37.338711)",,,,
78316715,False,,Calle Castilla,residential,True,92.257,"LINESTRING (-6.5421249 37.3397885, -6.54312 37.3400384)",,,,
400825226,False,2,Calle Condado de Niebla,tertiary,False,180.494,"LINESTRING (-6.5421249 37.3397885, -6.5431532 37.3383862)",,,,
400825226,False,2,Calle Condado de Niebla,tertiary,True,129.736,"LINESTRING (-6.5421249 37.3397885, -6.5416432 37.3404209, -6.5413647 37.3407865)",,,,
400809792,False,,Calle Félix Rodríguez de la Fuente,tertiary,False,56.656,"LINESTRING (-6.5349413 37.3418579, -6.5343741 37.3416207)",,,,
234343070,False,2,Calle Santa Ana,tertiary,True,123.515,"LINESTRING (-6.5349413 37.3418579, -6.536067 37.3423485, -6.5361663 37.3423921)",,,,
78316841,True,,Avenida de la Constitución,tertiary,False,35.449,"LINESTRING (-6.5382684 37.3401293, -6.5379391 37.3399474)",5,30,,
158531895,True,,Calle León XIII,tertiary,False,100.80600000000001,"LINESTRING (-6.5382684 37.3401293, -6.5384763 37.3396708, -6.5384876 37.3396525, -6.5386187 37.3394405, -6.5386678 37.3392827)",,,,
297322993,False,,Calle Reyes Católicos,tertiary,False,54.126,"LINESTRING (-6.5368405 37.3353142, -6.536231 37.3352685)",,,,
