osmid,name,highway,oneway,reversed,length,ref,geometry,junction,tunnel
274573420,Avenida Alcalde José Roselló,residential,False,False,70.867,,"LINESTRING (-3.3496942 39.3707743, -3.3496815 39.3707142, -3.3496015 39.3701411)",,
980810701,Avenida Alcalde José Roselló,residential,False,True,72.859,,"LINESTRING (-3.3496173 39.3707878, -3.349497 39.3701392)",,
274573418,,tertiary,True,False,14.547999999999998,CM-3165,"LINESTRING (-3.3496173 39.3707878, -3.3495801 39.3708206, -3.3495688 39.3708633, -3.3495866 39.3709047)",roundabout,
274573418,,tertiary,True,False,11.745,CM-3165,"LINESTRING (-3.3497864 39.3708438, -3.3497695 39.3708111, -3.3497369 39.3707865, -3.3496942 39.3707743)",roundabout,
980810702,Avenida de Alcázar de San Juan,tertiary,False,False,194.53,CM-3165,"LINESTRING (-3.3497864 39.3708438, -3.3499055 39.3707942, -3.3516418 39.3699027, -3.3516777 39.3698839)",,
980810700,Avenida de Alcázar de San Juan,tertiary,True,False,11.507,CM-3165,"LINESTRING (-3.3495384 39.3709918, -3.3496551 39.3709411)",,
85652434,Avenida Tierno Galván,residential,False,False,71.431,,"LINESTRING (-3.3500731 39.371424, -3.3502086 39.3716348, -3.3503048 39.3717032, -3.3505376 39.3718687, -3.350615 39.3718828)",,
85652434,Avenida Tierno Galván,residential,False,True,62.325,,"LINESTRING (-3.3500731 39.371424, -3.3499328 39.3711655, -3.3497329 39.3709318)",,
"[85652524, 647492695]",,residential,False,True,84.45700000000001,,"LINESTRING (-3.3500731 39.371424, -3.3499179 39.3713905, -3.3498628 39.3714058, -3.3494952 39.3718568, -3.349461 39.3719069)",,
85652434,Avenida Tierno Galván,residential,False,False,191.063,,"LINESTRING (-3.350615 39.3718828, -3.3507772 39.3719124, -3.3509417 39.3719292, -3.351519 39.3719883, -3.3518303 39.3720201, -3.3526473 39.3721037, -3.3528155 39.3721209)",,
85652434,Avenida Tierno Galván,residential,False,True,71.431,,"LINESTRING (-3.350615 39.3718828, -3.3505376 39.3718687, -3.3503048 39.3717032, -3.3502086 39.3716348, -3.3500731 39.371424)",,
"[85652524, 647492695]",,residential,False,False,84.45700000000001,,"LINESTRING (-3.349461 39.3719069, -3.3494952 39.3718568, -3.3498628 39.3714058, -3.3499179 39.3713905, -3.3500731 39.371424)",,
274799107,Avenida Labradora,residential,False,True,12.285,,"LINESTRING (-3.3598667 39.3662159, -3.3597238 39.366216)",,
