osmid,ref,highway,oneway,reversed,length,name,geometry,junction
221603511,,tertiary,False,True,106.20700000000001,15. Cadde,"LINESTRING (40.66063 37.8460766, 40.6603485 37.8461307, 40.659812 37.8462197, 40.6595546 37.8462747, 40.6594588 37.8463086)",
223645851,,residential,False,False,24.567,,"LINESTRING (40.6606146 37.8462972, 40.66063 37.8460766)",
223645762,,residential,False,True,92.505,221. Sokak,"LINESTRING (40.6606146 37.8462972, 40.6604806 37.8463399, 40.6596507 37.8466328)",
223645851,,residential,False,True,111.37100000000001,,"LINESTRING (40.6606146 37.8462972, 40.6606033 37.846506, 40.6605721 37.8469619, 40.6605373 37.8472968)",
93332575,21-25,secondary,False,False,83.225,,"LINESTRING (40.6581261 37.8444792, 40.658594 37.8438283)",
93332575,21-25,secondary,False,True,39.896,,"LINESTRING (40.6581261 37.8444792, 40.6578969 37.844789)",
223645740,,residential,False,False,23.971,218. Sokak,"LINESTRING (40.6581261 37.8444792, 40.6582344 37.844572, 40.6582825 37.8446529)",
93332575,21-25,secondary,False,False,39.896,,"LINESTRING (40.6578969 37.844789, 40.6581261 37.8444792)",
93332575,21-25,secondary,False,True,22.15,,"LINESTRING (40.6578969 37.844789, 40.6577468 37.8449491)",
223645860,,residential,False,False,249.879,220. Sokak,"LINESTRING (40.6578969 37.844789, 40.6579783 37.8448841, 40.6582466 37.8453365, 40.6587454 37.8461889, 40.6591286 37.8468133)",
223645762,,residential,False,False,46.685,221. Sokak,"LINESTRING (40.6586479 37.8469927, 40.6591286 37.8468133)",
223645762,,residential,False,True,47.942,221. Sokak,"LINESTRING (40.6586479 37.8469927, 40.6581443 37.8471593)",
223645888,,residential,False,False,108.09599999999999,222. Sokak,"LINESTRING (40.6586479 37.8469927, 40.6587403 37.8472721, 40.6588637 37.8476766, 40.6588897 37.8478412, 40.6588782 37.8479422)",
177806798,,tertiary,False,True,62.68,,"LINESTRING (40.6593971 37.8523953, 40.6600896 37.8522583)",
177806798,,tertiary,False,False,52.769999999999996,,"LINESTRING (40.6593971 37.8523953, 40.6590976 37.8524538, 40.658815 37.8525134)",
226079669,,residential,False,True,245.80800000000002,,"LINESTRING (40.6593971 37.8523953, 40.6594006 37.8522369, 40.6595106 37.851449, 40.6596686 37.8503628, 40.6596913 37.8501976)",
177806798,,tertiary,False,False,54.013,,"LINESTRING (40.658815 37.8525134, 40.6582081 37.8525929)",
177806798,,tertiary,False,True,52.769999999999996,,"LINESTRING (40.658815 37.8525134, 40.6590976 37.8524538, 40.6593971 37.8523953)",
226079675,,residential,False,True,259.817,,"LINESTRING (40.658815 37.8525134, 40.658788 37.852364, 40.6588485 37.852002, 40.6589443 37.8513535, 40.6590922 37.8504211, 40.6591308 37.8501952)",
248260901,,tertiary,False,True,43.338,Diyar Caddesi,"LINESTRING (40.6583375 37.8511065, 40.6578948 37.8510831, 40.6578453 37.8510881)",
714423286,,residential,False,False,166.155,,"LINESTRING (40.6583375 37.8511065, 40.6582349 37.8518063, 40.6581851 37.8521898, 40.6581866 37.8524716, 40.6582081 37.8525929)",
714423286,,residential,False,True,107.013,,"LINESTRING (40.6583375 37.8511065, 40.6584776 37.8502483, 40.6584911 37.8501518)",
177806798,,tertiary,False,True,54.013,,"LINESTRING (40.6582081 37.8525929, 40.658815 37.8525134)",
