osmid,lanes,name,highway,oneway,reversed,length,ref,geometry
436020345,2,Robertson Road,secondary,True,False,9.442,D180,"LINESTRING (28.2869321 -24.8812348, 28.2870112 -24.8812802)"
"[749448218, 636719084]",1,Mentz Avenue,unclassified,True,False,73.799,,"LINESTRING (28.2869321 -24.8812348, 28.2869737 -24.881169, 28.2870273 -24.8810958, 28.2873328 -24.8806797)"
749448218,1,Mentz Avenue,unclassified,True,False,8.774,,"LINESTRING (28.2868897 -24.8813037, 28.2869321 -24.8812348)"
606289755,2,Robertson Road,secondary,True,False,104.967,D180,"LINESTRING (28.2868897 -24.8813037, 28.2868816 -24.8812998, 28.2859819 -24.8808423)"
636971449,2,Botha Street,residential,False,False,135.938,,"LINESTRING (28.2916661 -24.877846, 28.2903233 -24.8779487)"
749773969,,Botha Street,residential,True,False,4.999,,"LINESTRING (28.2916661 -24.877846, 28.2917095 -24.8778243)"
636719083,2,Mentz Avenue,unclassified,False,False,131.226,,"LINESTRING (28.288312 -24.8790937, 28.2889248 -24.8780527)"
636719083,2,Mentz Avenue,unclassified,False,True,8.269,,"LINESTRING (28.288312 -24.8790937, 28.2882734 -24.8791593)"
125543857,2,Stofberg Street,residential,False,False,211.631,,"LINESTRING (28.288312 -24.8790937, 28.2883506 -24.879094, 28.2883955 -24.8790915, 28.2884759 -24.8790864, 28.2904046 -24.8789597)"
636719082,,Robertson Road,residential,True,False,8.477,,"LINESTRING (28.2870483 -24.8813245, 28.2869688 -24.8813492)"
606289750,2,Grobler Avenue,secondary,True,False,70.11,D180,"LINESTRING (28.2870483 -24.8813245, 28.2871824 -24.8814966, 28.2874678 -24.881827)"
