osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel
35565530,False,,Rue Ambroise Paré,residential,,True,114.02000000000001,"LINESTRING (2.4637813 49.2730103, 2.4641226 49.2727008, 2.4641831 49.2726452, 2.4645932 49.2722689, 2.4646442 49.2722225, 2.4646952 49.2721761)",,
35565531,False,,Rue du Docteur Schweitzer,residential,,False,226.144,"LINESTRING (2.4637813 49.2730103, 2.4639236 49.2730763, 2.4644585 49.2733244, 2.4647 49.2734364, 2.4647524 49.2734607, 2.4649091 49.2735334, 2.4652307 49.2736825, 2.4653693 49.2737468, 2.4655157 49.2738147, 2.4657965 49.2739435, 2.4661901 49.274124, 2.4662326 49.2741441, 2.4663239 49.2741868)",,
303066772,False,,Allée Gabriel Fauré,residential,,False,113.59100000000001,"LINESTRING (2.4637813 49.2730103, 2.4637136 49.2729796, 2.4635795 49.2729123, 2.4635339 49.2728843, 2.4634883 49.2728536, 2.4634557 49.2728205, 2.4634265 49.2727857, 2.4634087 49.27276, 2.4631459 49.2723326, 2.4631248 49.272305, 2.4631023 49.2722891, 2.4630699 49.2722796, 2.4630348 49.2722758, 2.4630028 49.272277, 2.4629713 49.2722849, 2.4628938 49.2723245)",,
618534646,False,,Rue Pasteur,residential,,True,154.75399999999996,"LINESTRING (2.465479 49.2749662, 2.4653953 49.2749273, 2.4650873 49.2747854, 2.4650567 49.2747704, 2.4650252 49.274755, 2.4649643 49.2747202, 2.464883 49.2746728, 2.4648361 49.2746419, 2.4646693 49.2745314, 2.4645277 49.2744366, 2.4644834 49.2744041, 2.4644521 49.2743794, 2.4644239 49.2743545, 2.4641982 49.2741382, 2.4641184 49.2740615, 2.4640757 49.2740192, 2.4640199 49.2739695)",,
661877712,False,D 916,Avenue du 8 Mai 1945,secondary,50,True,71.787,"LINESTRING (2.465479 49.2749662, 2.4654504 49.2749924, 2.4652282 49.2751964, 2.465004 49.2754022, 2.4649057 49.2754924)",,
1000060068,False,D 916,Avenue du 8 Mai 1945,secondary,50,False,38.381,"LINESTRING (2.465479 49.2749662, 2.4655468 49.2749072, 2.4657896 49.2746868)",,
35565530,False,,Rue Ambroise Paré,residential,,True,60.403999999999996,"LINESTRING (2.4632929 49.2734489, 2.4633703 49.2733734, 2.4636532 49.2731048, 2.4636922 49.2730706, 2.463731 49.2730453, 2.4637619 49.273026, 2.4637813 49.2730103)",,
618534646,False,,Rue Pasteur,residential,,False,78.60400000000001,"LINESTRING (2.4632929 49.2734489, 2.4633783 49.2734968, 2.4636105 49.2736335, 2.4636531 49.2736647, 2.4639523 49.2739089, 2.4640199 49.2739695)",,
884032766,False,,Rue Pasteur,residential,,True,30.471999999999998,"LINESTRING (2.4632929 49.2734489, 2.4631812 49.2733874, 2.4629804 49.2732659)",,
54263803,False,,Rue François Villon,residential,,False,98.007,"LINESTRING (2.4652368 49.2703394, 2.4651586 49.270303, 2.4649245 49.270194, 2.4645268 49.2700088, 2.4641352 49.2698293)",,
884063992,True,,Rue Ronsard,residential,,False,63.18899999999999,"LINESTRING (2.4652368 49.2703394, 2.4652015 49.2703971, 2.4651848 49.2704307, 2.4651834 49.2704578, 2.4651921 49.2704778, 2.4652025 49.2704932, 2.4652129 49.2705085, 2.465398 49.2707151, 2.4654476 49.2707649, 2.4655219 49.2708415)",,
1090210714,False,,Rue Marceau,residential,50,False,74.81600000000002,"LINESTRING (2.4652368 49.2703394, 2.4654861 49.2701178, 2.4657096 49.2699187, 2.4657628 49.2698698, 2.4658017 49.269826, 2.4658323 49.2697907)",,
54263805,False,,Rue du Professeur Calmette,residential,,True,29.662,"LINESTRING (2.4636769 49.2741115, 2.4637029 49.2740918, 2.4637377 49.2740734, 2.4639456 49.2739999, 2.4639805 49.2739868, 2.4640199 49.2739695)",,
54263807,False,,Place Gay-Lussac,residential,,False,6.921,"LINESTRING (2.4635885 49.27614, 2.463585 49.2760778)",,
1000060060,False,,Boulevard Édouard Branly,residential,,False,36.187,"LINESTRING (2.4635885 49.27614, 2.4638271 49.2762416, 2.4639085 49.2762792, 2.4640016 49.2763223)",,
54263807,False,,Place Gay-Lussac,residential,,True,6.921,"LINESTRING (2.463585 49.2760778, 2.4635885 49.27614)",,
