osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,geometry,junction
411022524,primary,True,False,45.497,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.4805031 26.128623, -14.4801033 26.1288194)",
581492792,residential,False,True,13.118,,,,,"LINESTRING (-14.4805031 26.128623, -14.4805645 26.1287273)",
581492792,residential,False,False,32.338,,,,,"LINESTRING (-14.4805031 26.128623, -14.4804669 26.1285615, -14.4803517 26.1283659)",
198933743,residential,False,False,24.993,,,,,"LINESTRING (-14.4825036 26.1286318, -14.482726 26.128735)",
198933813,residential,False,False,39.194,,,,,"LINESTRING (-14.4825036 26.1286318, -14.4821544 26.1287929)",
581809941,residential,False,True,31.722,,,,,"LINESTRING (-14.4825036 26.1286318, -14.4823636 26.1283757)",
598738685,residential,False,True,52.33,,,,,"LINESTRING (-14.4825036 26.1286318, -14.4827381 26.1290527)",
581492792,residential,False,False,13.118,,,,,"LINESTRING (-14.4805645 26.1287273, -14.4805031 26.128623)",
156403639,primary,True,False,95.19600000000001,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.4805645 26.1287273, -14.4813082 26.1283733, -14.4814074 26.128327)",
198933834,residential,False,True,49.934,,,,,"LINESTRING (-14.4805645 26.1287273, -14.4806117 26.1288073, -14.480702 26.1289603, -14.4808059 26.1291205)",
198933790,residential,False,False,62.643,,,,,"LINESTRING (-14.4801033 26.1288194, -14.4800579 26.1287444, -14.4798037 26.1283244)",
411022524,primary,True,False,82.857,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.4801033 26.1288194, -14.4799505 26.1289018, -14.479374 26.1291747)",
198933743,residential,False,False,35.318,,,,,"LINESTRING (-14.4830473 26.1288696, -14.4833616 26.1290154)",
198933743,residential,False,True,35.396,,,,,"LINESTRING (-14.4830473 26.1288696, -14.482726 26.128735)",
198933824,residential,False,False,94.549,,,,,"LINESTRING (-14.4830473 26.1288696, -14.4834493 26.1280997)",
198933824,residential,False,True,36.978,,,,,"LINESTRING (-14.4830473 26.1288696, -14.4827381 26.1290527)",
581809943,residential,False,True,43.268,,,,,"LINESTRING (-14.4830473 26.1288696, -14.4828443 26.1292134)",
198933829,residential,False,False,19.172,,,,,"LINESTRING (-14.485302 26.1288676, -14.4854699 26.1289513)",
581802551,residential,False,True,51.327,,,,,"LINESTRING (-14.485302 26.1288676, -14.4854414 26.1284233)",
198933829,residential,False,True,38.618,,,,,"LINESTRING (-14.485302 26.1288676, -14.4851209 26.1287869, -14.484956 26.1287123)",
198933823,residential,False,False,32.134,,,Avenida Zarqtuni,,"LINESTRING (-14.4868148 26.1289022, -14.4870695 26.1290789)",
198933823,residential,False,True,58.474,,,Avenida Zarqtuni,,"LINESTRING (-14.4868148 26.1289022, -14.4863506 26.1285815)",
198933826,residential,False,False,42.088,,,,,"LINESTRING (-14.4868148 26.1289022, -14.4870543 26.1285907)",
198933826,residential,False,True,40.159,,,,,"LINESTRING (-14.4868148 26.1289022, -14.4865864 26.1291995)",
198933813,residential,False,False,32.605,,,,,"LINESTRING (-14.4817849 26.1289685, -14.4814986 26.1291096)",
198933813,residential,False,True,41.737,,,,,"LINESTRING (-14.4817849 26.1289685, -14.4821544 26.1287929)",
198933828,residential,False,False,29.78,,,,,"LINESTRING (-14.4817849 26.1289685, -14.4816466 26.1287312)",
198933828,residential,False,True,53.937,,,,,"LINESTRING (-14.4817849 26.1289685, -14.4820362 26.1293979)",
