osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,ref
42338560,2,Poznańska,residential,50,False,False,119.741,"LINESTRING (17.7852596 51.8963587, 17.7835315 51.8965085)",,
42338560,2,Poznańska,residential,50,False,True,45.309999999999995,"LINESTRING (17.7852596 51.8963587, 17.785787 51.896313, 17.7859135 51.896302)",,
147729780,2,Kowalska,residential,50,True,False,91.333,"LINESTRING (17.7852596 51.8963587, 17.7852476 51.8963044, 17.7850935 51.8956049, 17.7850886 51.8955824, 17.7850859 51.8955703, 17.7850803 51.8955448)",,
141115941,2,Stolarska,residential,50,False,True,54.809,"LINESTRING (17.7892247 51.8941513, 17.7895371 51.8945831, 17.7895503 51.8946014)",,
146797064,2,Stare Targowisko,residential,50,False,False,117.11999999999999,"LINESTRING (17.7892247 51.8941513, 17.7892986 51.8941309, 17.7901076 51.8939079, 17.7907048 51.8937432, 17.790783 51.8937216)",,
273541283,2,Stolarska,residential,50,True,False,137.448,"LINESTRING (17.7892247 51.8941513, 17.7884631 51.8931154, 17.7884288 51.8930727, 17.7883921 51.8930271)",,
42338561,2,Mariana Bogusza,residential,50,False,True,37.659,"LINESTRING (17.7812538 51.8949404, 17.7812756 51.8950379, 17.7813288 51.8952759)",,
236852183,2,Mariana Bogusza,residential,50,False,True,144.102,"LINESTRING (17.7812538 51.8949404, 17.7812511 51.8948813, 17.78127 51.8947633, 17.7813225 51.894627, 17.7813603 51.8945289, 17.7814 51.8944259, 17.7815444 51.8940306, 17.7816836 51.8936746)",,
"[301994969, 294359661]",2,Mikołaja Reja,residential,50,False,True,63.309000000000005,"LINESTRING (17.7812538 51.8949404, 17.7810275 51.8949594, 17.7808731 51.8949724, 17.7807011 51.8949868, 17.7804895 51.8950046, 17.780451 51.8950078, 17.7803402 51.8950195)",,
172463137,2,Prokopowska,tertiary,,False,False,39.788000000000004,"LINESTRING (17.7892311 51.8984376, 17.7892472 51.8985834, 17.7892536 51.8986416, 17.7892606 51.8987052, 17.7892704 51.8987946)",,
206985866,3,Generała Józefa Hallera,primary,,False,False,50.114999999999995,"LINESTRING (17.7892311 51.8984376, 17.7889877 51.8985757, 17.7889433 51.8986023, 17.7886979 51.8987456)",,12
302124664,2,Jana Kilińskiego,tertiary,50,False,True,70.08900000000001,"LINESTRING (17.7892311 51.8984376, 17.7891517 51.8982607, 17.7891323 51.8982281, 17.7890311 51.8980972, 17.7888823 51.8979148, 17.7888366 51.8978587)",,
300967756,2,Generała Józefa Hallera,primary,50,False,False,98.548,"LINESTRING (17.7827997 51.8984389, 17.7825868 51.898369, 17.7825374 51.8983508, 17.7815412 51.8980119)",,12
"[285826115, 1255378733, 301406110]","['2', '3']",Generała Józefa Hallera,primary,50,False,True,109.06599999999999,"LINESTRING (17.7827997 51.8984389, 17.7828915 51.8984678, 17.7833257 51.8986112, 17.7836458 51.8987165, 17.7839506 51.8988126, 17.7840059 51.8988308, 17.7842145 51.898885)",,12
"[301406125, 185276334]","['2', '3']",Świętego Ducha,residential,50,False,True,96.374,"LINESTRING (17.7827997 51.8984389, 17.782908 51.8983109, 17.7829417 51.8982711, 17.7829771 51.8982293, 17.7830599 51.8981315, 17.7831121 51.8980729, 17.7832245 51.8979374, 17.7832473 51.8979099, 17.7833912 51.8977304, 17.7834254 51.897664)",,
172461231,2,Rynek,residential,50,False,True,16.321,"LINESTRING (17.7869914 51.8962014, 17.78703 51.8962099, 17.7872155 51.8962506)",,
271322845,2,Rynek,tertiary,30,True,False,64.599,"LINESTRING (17.7869914 51.8962014, 17.7866178 51.896218, 17.7860524 51.8962432)",roundabout,
301866452,2,Jana Kilińskiego,tertiary,50,False,False,87.40700000000001,"LINESTRING (17.7886086 51.8970857, 17.7886316 51.8971714, 17.7887711 51.8976925, 17.7888042 51.8977766, 17.7888366 51.8978587)",,
301866452,2,Jana Kilińskiego,tertiary,50,False,True,104.228,"LINESTRING (17.7886086 51.8970857, 17.7890226 51.8962627, 17.789052 51.8961893)",,
42338560,2,Poznańska,residential,50,False,True,39.661,"LINESTRING (17.7829586 51.8965558, 17.7830818 51.8965457, 17.7835315 51.8965085)",,
185276334,2,Świętego Ducha,residential,50,False,False,96.65800000000002,"LINESTRING (17.7829586 51.8965558, 17.7829798 51.8966032, 17.782999 51.8966461, 17.7830276 51.8967099, 17.7832773 51.8972676, 17.7833347 51.8973935)",,
277588770,2,Poznańska,residential,50,False,False,62.381,"LINESTRING (17.7829586 51.8965558, 17.7827792 51.8965706, 17.7820575 51.8966302)",,
185276333,2,Rynek,tertiary,30,True,False,75.03999999999999,"LINESTRING (17.7869127 51.8955283, 17.7869475 51.8958262, 17.7869914 51.8962014)",roundabout,
271322847,2,Rynek,tertiary,50,False,False,16.472,"LINESTRING (17.7869127 51.8955283, 17.7869645 51.8955149, 17.787134 51.8954709)",,
172460531,2,Kaliska,tertiary,50,False,True,70.832,"LINESTRING (17.7889174 51.8953899, 17.7887683 51.895397, 17.7878874 51.895432)",,
185276327,2,Jana Kilińskiego,tertiary,50,False,False,89.42500000000001,"LINESTRING (17.7889174 51.8953899, 17.7889327 51.8954309, 17.78894 51.8954553, 17.788946 51.8954753, 17.7890416 51.8961204, 17.789052 51.8961893)",,
