osmid,name,highway,oneway,reversed,length,lanes,geometry,bridge
61929139,улица Анатолия Возба,residential,False,False,112.515,2,"LINESTRING (40.6277221 43.0997731, 40.6270597 43.1006619)",
61929139,улица Анатолия Возба,residential,False,True,106.036,2,"LINESTRING (40.6277221 43.0997731, 40.6283208 43.0989256)",
61929143,улица Киараз,residential,False,True,104.644,2,"LINESTRING (40.6277221 43.0997731, 40.6288761 43.1001922)",
61929143,улица Киараз,residential,False,False,132.399,2,"LINESTRING (40.6277221 43.0997731, 40.6271976 43.0995867, 40.6266717 43.099435, 40.6262113 43.099331)",
61929139,улица Анатолия Возба,residential,False,False,100.298,2,"LINESTRING (40.6270597 43.1006619, 40.6264789 43.101458)",
61929139,улица Анатолия Возба,residential,False,True,112.515,2,"LINESTRING (40.6270597 43.1006619, 40.6277221 43.0997731)",
61929149,улица Нартаа,residential,False,False,106.797,2,"LINESTRING (40.6270597 43.1006619, 40.6258948 43.1002158)",
61929149,улица Нартаа,residential,False,True,105.274,2,"LINESTRING (40.6270597 43.1006619, 40.6282211 43.1010829)",
61929139,улица Анатолия Возба,residential,False,False,100.215,2,"LINESTRING (40.6264789 43.101458, 40.6259147 43.1022596)",
61929139,улица Анатолия Возба,residential,False,True,100.298,2,"LINESTRING (40.6264789 43.101458, 40.6270597 43.1006619)",
203559145,улица 23 Июля,residential,False,False,105.156,2,"LINESTRING (40.6264789 43.101458, 40.6276365 43.1018822)",
203559145,улица 23 Июля,residential,False,True,106.81,2,"LINESTRING (40.6264789 43.101458, 40.6252842 43.1010558)",
61929139,улица Анатолия Возба,residential,False,False,104.072,2,"LINESTRING (40.6259147 43.1022596, 40.6253281 43.1030918)",
61929139,улица Анатолия Возба,residential,False,True,100.215,2,"LINESTRING (40.6259147 43.1022596, 40.6264789 43.101458)",
203594194,улица 4 Марта,tertiary,False,False,104.309,2,"LINESTRING (40.6259147 43.1022596, 40.6270593 43.1026857)",
203594194,улица 4 Марта,tertiary,False,True,105.913,2,"LINESTRING (40.6259147 43.1022596, 40.6249994 43.1019169, 40.6248651 43.1018815, 40.6247336 43.1018663)",
61929139,улица Анатолия Возба,residential,False,True,99.159,2,"LINESTRING (40.6242413 43.1046972, 40.6248013 43.1039047)",
203529088,улица Шакрыл,residential,False,False,101.266,2,"LINESTRING (40.6242413 43.1046972, 40.6253344 43.1051359)",
203658149,улица Анатолия Возба,residential,False,False,96.023,2,"LINESTRING (40.6242413 43.1046972, 40.6236531 43.1054464)",
