osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
160452071,,Старообрядческий переулок,residential,,False,False,249.46699999999996,"LINESTRING (36.2663912 54.5086293, 36.2658891 54.5086968, 36.2655879 54.5087394, 36.2653706 54.5087702, 36.2645024 54.5088932, 36.263972 54.5089707, 36.2634752 54.5090387, 36.2630626 54.5090913, 36.2628166 54.5091199, 36.2627295 54.5091298, 36.2626293 54.5091412)"
30906218,,Воскресенский переулок,residential,,False,True,157.208,"LINESTRING (36.2667616 54.5066612, 36.2667186 54.5066667, 36.2663896 54.5067104, 36.2659013 54.5067799, 36.2654326 54.5068485, 36.2651583 54.5068896, 36.2647242 54.5069516, 36.264524 54.5069802, 36.2643966 54.5069977)"
132310831,,Воскресенская улица,residential,,True,False,51.36,"LINESTRING (36.2581445 54.5071283, 36.2577703 54.5067207)"
95629540,,Григоров переулок,residential,,False,False,281.19899999999996,"LINESTRING (36.2581445 54.5071283, 36.2582045 54.5071168, 36.2584803 54.5070658, 36.2588394 54.5069947, 36.2588737 54.5069881, 36.2601561 54.5067429, 36.2602336 54.5067281, 36.260494 54.5066788, 36.2610978 54.5065628, 36.2611516 54.5065532, 36.2615443 54.5064774, 36.2621888 54.5064029, 36.2623072 54.5063998)"
99154165,,переулок Каракозова,residential,,False,True,125.28300000000002,"LINESTRING (36.2637911 54.5059284, 36.2639863 54.5062878, 36.2641404 54.506506, 36.2642987 54.5067806, 36.264376 54.5069573, 36.2643966 54.5069977)"
30906218,,Воскресенский переулок,residential,,False,False,157.208,"LINESTRING (36.2643966 54.5069977, 36.264524 54.5069802, 36.2647242 54.5069516, 36.2651583 54.5068896, 36.2654326 54.5068485, 36.2659013 54.5067799, 36.2663896 54.5067104, 36.2667186 54.5066667, 36.2667616 54.5066612)"
30906218,,Воскресенский переулок,residential,,False,True,133.37399999999997,"LINESTRING (36.2643966 54.5069977, 36.2641211 54.5070364, 36.2638049 54.5070808, 36.2630518 54.5071913, 36.2629716 54.5072031, 36.2625487 54.5072652, 36.2623922 54.5072881)"
99154165,,переулок Каракозова,residential,,False,False,125.28299999999999,"LINESTRING (36.2643966 54.5069977, 36.264376 54.5069573, 36.2642987 54.5067806, 36.2641404 54.506506, 36.2639863 54.5062878, 36.2637911 54.5059284)"
217313176,,улица Карпова,residential,,False,False,19.406,"LINESTRING (36.2547778 54.5082117, 36.254548 54.5083242)"
105876856,,Гостинорядский переулок,residential,,False,True,176.09199999999998,"LINESTRING (36.2547778 54.5082117, 36.2548325 54.5082453, 36.2550021 54.5083444, 36.2550568 54.5083764, 36.255111 54.5084553, 36.2551527 54.5085915, 36.2551964 54.5087411, 36.2552175 54.5088391, 36.2552644 54.5090287, 36.2553313 54.509213, 36.2553657 54.5093757, 36.2554138 54.5096506, 36.2554115 54.5097093)"
217313176,,улица Карпова,residential,,False,True,90.203,"LINESTRING (36.2547778 54.5082117, 36.2557094 54.50776, 36.255768 54.5077352, 36.25585 54.5076918)"
31248109,,улица Дарвина,residential,,False,False,205.56799999999998,"LINESTRING (36.2554115 54.5097093, 36.255543 54.5097127, 36.2563621 54.5097337, 36.2570642 54.5097517, 36.2571433 54.5097537, 36.2572507 54.5097468, 36.2573591 54.5097186, 36.2575629 54.5096239, 36.2578641 54.5094707, 36.2581688 54.5093211, 36.2582936 54.5092598)"
31248109,,улица Дарвина,residential,,False,True,80.13900000000001,"LINESTRING (36.2554115 54.5097093, 36.2552258 54.509706, 36.2547431 54.5096974, 36.2544964 54.509701, 36.2543065 54.5097237, 36.2541882 54.5097577)"
