osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,junction,access,width
435327421,False,,Γκέκα,residential,False,50.631,50,"LINESTRING (21.6282688 39.7067123, 21.628349 39.7066991, 21.6284282 39.7066887, 21.6284859 39.7066851, 21.6285826 39.7066843, 21.6287055 39.7066783, 21.6287851 39.7066711, 21.628854 39.7066561)",,,,
435327421,False,,Γκέκα,residential,True,48.607,50,"LINESTRING (21.6282688 39.7067123, 21.6281724 39.7067386, 21.6281056 39.7067571, 21.6280703 39.7067675, 21.6280172 39.7067767, 21.6279608 39.7067787, 21.6279126 39.7067766, 21.6278743 39.7067712, 21.6278364 39.7067625, 21.6277899 39.7067472, 21.6277277 39.7067244)",,,,
1174025916,False,,Κουπή,residential,False,19.582,50,"LINESTRING (21.6334712 39.7067077, 21.633375 39.7065479)",,,,
147511204,False,,Αναλήψεως,residential,True,7.281,50,"LINESTRING (21.6334712 39.7067077, 21.6334855 39.7067434, 21.6334809 39.7067713)",,,,
147511204,False,,Αναλήψεως,residential,False,7.281,50,"LINESTRING (21.6334809 39.7067713, 21.6334855 39.7067434, 21.6334712 39.7067077)",,,,
147511204,False,,Αναλήψεως,residential,True,193.42100000000002,50,"LINESTRING (21.6334809 39.7067713, 21.6334708 39.70679, 21.6334481 39.7068115, 21.6333995 39.7068336, 21.6332521 39.7068881, 21.6330046 39.7069851, 21.6327652 39.7070828, 21.6324703 39.7072064, 21.6322055 39.7073193, 21.6319855 39.7074126, 21.6318863 39.7074541, 21.6318467 39.7074669, 21.6317911 39.7074757, 21.6317392 39.7074786, 21.6316676 39.7074792, 21.6315891 39.7074715, 21.6314653 39.7074594)",,,,
940524259,False,,,residential,False,96.05,,"LINESTRING (21.6334809 39.7067713, 21.6335198 39.7068083, 21.6335353 39.7068501, 21.6335415 39.7070648, 21.6335376 39.7071048, 21.6335326 39.7071297, 21.6335253 39.7071493, 21.6335132 39.7071682, 21.6334987 39.7071844, 21.6334872 39.7071946, 21.6334572 39.7072141, 21.6334195 39.7072333, 21.633391 39.7072459, 21.6330036 39.7073823)",,,,
236142354,False,,Ράμμου,residential,False,12.508,50,"LINESTRING (21.62683 39.707267, 21.6266989 39.7072172)",,,,
236142354,False,,Ράμμου,residential,True,98.619,50,"LINESTRING (21.62683 39.707267, 21.6278631 39.7076606)",,,,
298184406,False,,Μασούτα Κ.,residential,False,77.529,50,"LINESTRING (21.62683 39.707267, 21.6265649 39.7077471, 21.6265122 39.7078456, 21.6264756 39.7079087)",,,,
147511204,False,,Αναλήψεως,residential,False,193.42100000000002,50,"LINESTRING (21.6314653 39.7074594, 21.6315891 39.7074715, 21.6316676 39.7074792, 21.6317392 39.7074786, 21.6317911 39.7074757, 21.6318467 39.7074669, 21.6318863 39.7074541, 21.6319855 39.7074126, 21.6322055 39.7073193, 21.6324703 39.7072064, 21.6327652 39.7070828, 21.6330046 39.7069851, 21.6332521 39.7068881, 21.6333995 39.7068336, 21.6334481 39.7068115, 21.6334708 39.70679, 21.6334809 39.7067713)",,,,
147511210,False,,Καλοστύπη,residential,False,195.08300000000003,50,"LINESTRING (21.6314653 39.7074594, 21.6315466 39.7073629, 21.6319171 39.7071176, 21.632034 39.7070457, 21.6321872 39.7069614, 21.6327757 39.7067704, 21.633375 39.7065479)",,,,
1174025914,False,,Αναλήψεως,residential,True,24.253999999999998,50,"LINESTRING (21.6314653 39.7074594, 21.6313569 39.7074486, 21.63127 39.7074443, 21.6311831 39.7074493)",,,,
435331450,False,2,Αγίας Τριάδας,residential,False,59.672,50,"LINESTRING (21.6303535 39.707652, 21.6303434 39.7076784, 21.63033 39.7077127, 21.6303235 39.7077378, 21.6303136 39.7077916, 21.6302946 39.7081847)",,,,
435331450,False,2,Αγίας Τριάδας,residential,True,34.772,50,"LINESTRING (21.6303535 39.707652, 21.6303621 39.7076267, 21.6303633 39.7076097, 21.6303609 39.7075952, 21.6303523 39.7075732, 21.6303339 39.7075374, 21.6303064 39.7074942, 21.6302682 39.7074395, 21.6302385 39.7073993, 21.630228 39.7073874, 21.630218 39.7073771, 21.6302093 39.70737)",,,,
1174025915,False,,Αναλήψεως,residential,False,47.804,50,"LINESTRING (21.6303535 39.707652, 21.6304071 39.707654, 21.6304396 39.7076515, 21.6304745 39.7076467, 21.6305056 39.7076413, 21.6305397 39.7076326, 21.6308853 39.7075326)",,,,
280570475,False,,Σωκράτους,tertiary,False,11.811,50,"LINESTRING (21.6288267 39.708131, 21.6289646 39.7081257)",,,,
280570479,False,,,residential,False,11.187,50,"LINESTRING (21.6288267 39.708131, 21.6288514 39.7080322)",,,,
280570474,False,,25ης Μαρτίου,tertiary,True,18.235,50,"LINESTRING (21.6288267 39.708131, 21.6287532 39.70814, 21.6287081 39.7081544, 21.6286722 39.7081749, 21.6286422 39.7082009)",,,,
435331450,False,2,Αγίας Τριάδας,residential,False,116.847,50,"LINESTRING (21.6302946 39.7081847, 21.6303007 39.7084699, 21.6303244 39.7085558, 21.6304618 39.7088363, 21.6305416 39.7090747, 21.6305717 39.7092045)",,,,
435331450,False,2,Αγίας Τριάδας,residential,True,59.672000000000004,50,"LINESTRING (21.6302946 39.7081847, 21.6303136 39.7077916, 21.6303235 39.7077378, 21.63033 39.7077127, 21.6303434 39.7076784, 21.6303535 39.707652)",,,,
