osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,name,ref
570203902,,residential,,False,True,97.24300000000001,"LINESTRING (20.8929214 38.9193853, 20.8927708 38.9197281, 20.8927291 38.9197871, 20.8926726 38.9198369, 20.8923215 38.9200989)",,
992423875,1,primary,,True,False,43.833,"LINESTRING (20.8929214 38.9193853, 20.8929661 38.9193571, 20.8930102 38.9193301, 20.8930533 38.9193089, 20.893096 38.9192903, 20.8931422 38.919278, 20.8931905 38.9192723, 20.8932393 38.9192735, 20.8932871 38.9192814, 20.8933322 38.9192959, 20.8933733 38.9193165)",,
191031411,2,residential,50,False,True,79.014,"LINESTRING (20.8917989 38.9161934, 20.8916205 38.9168903)",,
968469971,,residential,,False,False,102.978,"LINESTRING (20.8917989 38.9161934, 20.892981 38.9163017)",,
191031411,2,residential,50,False,False,99.881,"LINESTRING (20.8917989 38.9161934, 20.8919146 38.9156955, 20.8920287 38.9153134)",,
191031455,2,residential,50,False,False,41.245,"LINESTRING (20.8895269 38.9176645, 20.8890515 38.9176923)",Μητροπόλεως,
191031455,2,residential,50,False,True,47.926,"LINESTRING (20.8895269 38.9176645, 20.8900731 38.9175926)",Μητροπόλεως,
191031370,2,residential,50,False,False,43.68900000000001,"LINESTRING (20.8895269 38.9176645, 20.889498 38.9177616, 20.8894389 38.917893, 20.8893487 38.9180301)",,
191031370,2,residential,50,False,True,92.081,"LINESTRING (20.8895269 38.9176645, 20.8895838 38.9174608, 20.8896087 38.9173068, 20.8896722 38.916845)",,
191031453,2,residential,50,False,False,29.447,"LINESTRING (20.8893487 38.9180301, 20.8890182 38.9179668)",,
191031370,2,residential,50,False,True,43.689,"LINESTRING (20.8893487 38.9180301, 20.8894389 38.917893, 20.889498 38.9177616, 20.8895269 38.9176645)",,
191031453,2,residential,50,False,True,67.356,"LINESTRING (20.8893487 38.9180301, 20.8896558 38.9180804, 20.8901115 38.9181513)",,
191031376,2,residential,50,False,True,44.117,"LINESTRING (20.8894883 38.9156603, 20.8889802 38.9156938)",,
992423872,2,primary,50,False,False,29.043,"LINESTRING (20.8894883 38.9156603, 20.8893503 38.9158984)",Ελευθερίου Βενιζέλου,ΕΟ42
"[992423869, 992423870, 992423871]",2,primary,50,False,True,38.13,"LINESTRING (20.8894883 38.9156603, 20.8895667 38.915522, 20.8896545 38.9153674, 20.8896663 38.9153466)",Ελευθερίου Βενιζέλου,ΕΟ42
191031380,2,residential,50,False,True,39.135,"LINESTRING (20.8883984 38.9169596, 20.8879462 38.9169686)",,
191031375,2,residential,50,False,False,146.903,"LINESTRING (20.8883984 38.9169596, 20.8884224 38.916931, 20.8886316 38.9166868, 20.8887738 38.9165136, 20.8889079 38.9163279, 20.8891886 38.9159574, 20.8892094 38.9159344, 20.8892349 38.9159203, 20.8893503 38.9158984)",,
191031375,2,residential,50,False,True,88.92099999999999,"LINESTRING (20.8883984 38.9169596, 20.8883251 38.9170727, 20.8882444 38.9171825, 20.8881244 38.9173721, 20.888034 38.9175033, 20.8879615 38.917581, 20.8879079 38.9176081, 20.8878583 38.9176206)",,
191031427,2,residential,50,False,False,59.564,"LINESTRING (20.8905172 38.9164631, 20.8903186 38.916976)",,
191031427,2,residential,50,False,True,99.716,"LINESTRING (20.8905172 38.9164631, 20.8908259 38.9155991)",,
570013589,2,tertiary,50,False,False,106.663,"LINESTRING (20.8905172 38.9164631, 20.8907585 38.9165658, 20.8910793 38.9166864, 20.8913461 38.9167941, 20.8915163 38.9168548, 20.8916205 38.9168903)",Καποδίστρια,
