osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,width,maxspeed
37854697,,,Ziedu iela,residential,False,True,124.49600000000001,,"LINESTRING (27.5316156 56.0959078, 27.5315629 56.0958514, 27.5313093 56.0955798, 27.5306884 56.0949148)",5,
41203204,2,P60,Alejas iela,primary,False,False,54.666,,"LINESTRING (27.5316156 56.0959078, 27.5318534 56.0958435, 27.5323118 56.0957197, 27.5324088 56.0956935)",,50
37854699,,,Jaunatnes iela,residential,False,True,254.345,,"LINESTRING (27.5333923 56.0967806, 27.5297092 56.0977864)",5,
26610164,,,Narūtas iela,residential,False,False,176.024,,"LINESTRING (27.5333923 56.0967806, 27.5342153 56.0977744, 27.534551 56.0982254)",,
26610164,,,Narūtas iela,residential,False,True,135.4,,"LINESTRING (27.5333923 56.0967806, 27.5324653 56.0957559, 27.5324088 56.0956935)",,
37854700,,,Ezermalas iela,residential,False,False,321.43899999999996,,"LINESTRING (27.5411022 56.0919684, 27.5413869 56.0920661, 27.5416759 56.0922067, 27.5418251 56.0922793, 27.5419901 56.0923596, 27.54214 56.0924325, 27.5423781 56.0925483, 27.5426063 56.0926593, 27.5428894 56.0928022, 27.543192 56.0929549, 27.5433796 56.0930944, 27.5436362 56.0934385, 27.5438779 56.0942413)",5,
37854701,,,Ezera iela,residential,False,False,104.298,,"LINESTRING (27.5411022 56.0919684, 27.5413028 56.0919163, 27.5418966 56.0916115, 27.5422145 56.0914199, 27.5423091 56.0913311)",5,
37854701,,,Ezera iela,residential,False,True,123.742,,"LINESTRING (27.5411022 56.0919684, 27.5409319 56.0920467, 27.5399876 56.0926839, 27.539817 56.0928162)",5,
147576588,,,Jelgavas iela,residential,False,False,66.981,,"LINESTRING (27.5438779 56.0942413, 27.5430537 56.0946305)",5,
37854700,,,Ezermalas iela,residential,False,True,321.43899999999996,,"LINESTRING (27.5438779 56.0942413, 27.5436362 56.0934385, 27.5433796 56.0930944, 27.543192 56.0929549, 27.5428894 56.0928022, 27.5426063 56.0926593, 27.5423781 56.0925483, 27.54214 56.0924325, 27.5419901 56.0923596, 27.5418251 56.0922793, 27.5416759 56.0922067, 27.5413869 56.0920661, 27.5411022 56.0919684)",5,
26610162,,,Rēzeknes iela,tertiary,False,False,20.51,,"LINESTRING (27.5430537 56.0946305, 27.5427794 56.0945275)",,
147576588,,,Jelgavas iela,residential,False,True,66.981,,"LINESTRING (27.5430537 56.0946305, 27.5438779 56.0942413)",5,
26610162,,,Rēzeknes iela,tertiary,False,True,143.64600000000002,,"LINESTRING (27.5430537 56.0946305, 27.5437722 56.0949292, 27.5439403 56.0950037, 27.5441509 56.0950861, 27.544473 56.0951996, 27.5447274 56.0952509, 27.5450102 56.0953003)",,
147576585,,,Brīvības iela,unclassified,False,True,35.778,,"LINESTRING (27.5344217 56.0904634, 27.5349278 56.0906177)",,
318703759,,,,residential,False,True,78.129,,"LINESTRING (27.5344217 56.0904634, 27.5343135 56.0905392, 27.5338262 56.0910805)",,
37854701,,,Ezera iela,residential,False,True,104.298,,"LINESTRING (27.5423091 56.0913311, 27.5422145 56.0914199, 27.5418966 56.0916115, 27.5413028 56.0919163, 27.5411022 56.0919684)",5,
147576585,,,Brīvības iela,unclassified,False,True,63.974,,"LINESTRING (27.5356414 56.0928974, 27.5350015 56.0933486)",,
147576585,,,Brīvības iela,unclassified,False,False,326.173,,"LINESTRING (27.5356414 56.0928974, 27.5357214 56.0928099, 27.5357436 56.0927138, 27.5357868 56.0922914, 27.535864 56.0921965, 27.5361282 56.0918935, 27.5366506 56.0912944, 27.5366372 56.0912354, 27.5365648 56.0911613, 27.5359323 56.0909364, 27.5354562 56.0907672, 27.5349278 56.0906177)",,
318703758,,,,residential,False,True,168.132,,"LINESTRING (27.5356414 56.0928974, 27.5353412 56.0927366, 27.5350305 56.0926093, 27.5333143 56.0921432)",,
318705859,,,,residential,False,False,139.972,,"LINESTRING (27.5356414 56.0928974, 27.5359415 56.0933674, 27.5364994 56.0934841, 27.5359689 56.0937926)",,
41203196,,P61,Daugavpils iela,primary,False,False,7.808,,"LINESTRING (27.5345015 56.0936956, 27.5346129 56.0937283)",,50
41203196,,P61,Daugavpils iela,primary,False,True,240.654,,"LINESTRING (27.5345015 56.0936956, 27.532588 56.0932113, 27.5325656 56.0932056, 27.5309714 56.0927978)",,50
147576585,,,Brīvības iela,unclassified,False,False,49.504000000000005,,"LINESTRING (27.5345015 56.0936956, 27.5345973 56.0936291, 27.5350015 56.0933486)",,
37854692,,,Skolas iela,residential,False,False,53.358,,"LINESTRING (27.5415674 56.0943343, 27.5410421 56.0947143)",5,
