osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,service,junction,bridge
188809074,2,,Kościelna,residential,50,False,False,40.298,"LINESTRING (19.8742493 51.0827943, 19.8744655 51.0831303)",,,
188809074,2,,Kościelna,residential,50,False,True,5.149,"LINESTRING (19.8742493 51.0827943, 19.8742186 51.0827522)",,,
215290153,,,,residential,,False,False,39.879,"LINESTRING (19.8742493 51.0827943, 19.8743574 51.0827873, 19.8744572 51.0827811, 19.8745565 51.0827726, 19.874639 51.0827611, 19.8748129 51.0827396)",,,
123814658,2,,Mostowa,tertiary,50,False,True,3.412,"LINESTRING (19.8756223 51.0876038, 19.8755764 51.0876143)",,,
123814656,1,,Warszawska,residential,50,True,False,56.278999999999996,"LINESTRING (19.8756223 51.0876038, 19.8754619 51.0874055, 19.875336 51.0872687, 19.8752154 51.0871684)",,,
123814658,2,,Mostowa,tertiary,50,False,False,63.574000000000005,"LINESTRING (19.8756223 51.0876038, 19.8757157 51.0875807, 19.8758129 51.0875537, 19.8758704 51.0875369, 19.8762665 51.0873992, 19.8764305 51.0873422)",,,
253335258,1,42,Konecka,primary,50,True,False,31.372,"LINESTRING (19.8739689 51.0879668, 19.8739904 51.0880125, 19.8740073 51.0880419, 19.8740309 51.0880721, 19.8740728 51.0881199, 19.8741399 51.0882269)",,,
696091291,1,42,Rondo Obrońców Przedborza 1939 r.,primary,50,True,False,11.27,"LINESTRING (19.8739689 51.0879668, 19.8739467 51.0879861, 19.873919 51.0880023, 19.8738869 51.0880149, 19.873842 51.0880251)",,roundabout,
299080694,1,42,Konecka,primary,50,True,False,30.820999999999998,"LINESTRING (19.8741399 51.0882269, 19.8740177 51.0881341, 19.8739745 51.0880953, 19.8739422 51.0880735, 19.8738948 51.0880468, 19.873842 51.0880251)",,,
696091290,2,42,Konecka,primary,50,False,True,100.711,"LINESTRING (19.8741399 51.0882269, 19.8742859 51.0883811, 19.8743535 51.0884375, 19.8744201 51.0884848, 19.8744737 51.0885177, 19.8745299 51.0885455, 19.8745965 51.088574, 19.8746645 51.0885975, 19.8747405 51.0886187, 19.8748205 51.0886374, 19.8749122 51.0886556, 19.8752707 51.0887226)",,,
577248885,2,,,living_street,20,False,True,51.128,"LINESTRING (19.8803039 51.0847281, 19.880666 51.0851277)",highway,,
314046923,2,,,living_street,20,False,False,46.572,"LINESTRING (19.880666 51.0851277, 19.8801367 51.0853824)",living_street,,
577248885,2,,,living_street,20,False,False,51.128,"LINESTRING (19.880666 51.0851277, 19.8803039 51.0847281)",highway,,
"[314046925, 577248885]",2,,,living_street,20,False,True,68.279,"LINESTRING (19.880666 51.0851277, 19.8808094 51.0852702, 19.8808791 51.0853692, 19.8809273 51.0854381, 19.8811298 51.0856671)",highway,,
314046923,2,,,living_street,20,False,True,46.572,"LINESTRING (19.8801367 51.0853824, 19.880666 51.0851277)",living_street,,
28742337,2,,,living_street,20,False,False,51.730000000000004,"LINESTRING (19.8801367 51.0853824, 19.8800005 51.0852719, 19.8796838 51.0850143)",,,
28742337,2,,,living_street,20,False,True,62.956,"LINESTRING (19.8801367 51.0853824, 19.8803863 51.0855833, 19.8806907 51.085829)",,,
188809061,2,,Mostowa,residential,30,False,False,29.516,"LINESTRING (19.8811298 51.0856671, 19.8814956 51.0855342)",,,
