osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction
100874194,True,6. ulica,residential,False,84.169,"LINESTRING (18.6916701 45.0369104, 18.6917535 45.0371865, 18.6918281 45.0374743, 18.6918636 45.0376546)",,,,
849290984,True,5. ulica,residential,False,99.10499999999999,"LINESTRING (18.6916701 45.0369104, 18.6912814 45.0369786, 18.6909104 45.0370535, 18.6906475 45.0370958, 18.6904487 45.037132)",,,,
48686610,False,8. ulica,tertiary,True,77.783,"LINESTRING (18.6934081 45.0367574, 18.6935086 45.0374533)",,,,
849290984,True,5. ulica,residential,False,137.621,"LINESTRING (18.6934081 45.0367574, 18.6916701 45.0369104)",,,,
48686610,False,8. ulica,tertiary,False,73.584,"LINESTRING (18.6934081 45.0367574, 18.6933749 45.036473, 18.6933202 45.0360986)",,,,
1222257392,False,,residential,True,84.445,"LINESTRING (18.6913253 45.0348076, 18.6911601 45.0340572)",,,,
100874194,True,6. ulica,residential,False,84.39099999999999,"LINESTRING (18.6913253 45.0348076, 18.6914197 45.0350959, 18.691457 45.0352919, 18.691512 45.0355543)",,,,
101274946,True,11. ulica,residential,False,140.53199999999998,"LINESTRING (18.6913253 45.0348076, 18.6914817 45.0347916, 18.6916938 45.0347641, 18.692034 45.0347343, 18.692407 45.0346963, 18.6927942 45.0346648, 18.6930975 45.03464)",,,,
101274946,True,11. ulica,residential,False,106.861,"LINESTRING (18.6930975 45.03464, 18.6944521 45.0345551)",,,,
48686610,False,8. ulica,tertiary,False,85.896,"LINESTRING (18.6930975 45.03464, 18.6930369 45.0343634, 18.6929119 45.0338788)",,,,
48686610,False,8. ulica,tertiary,True,83.46000000000001,"LINESTRING (18.6930975 45.03464, 18.6931487 45.0349444, 18.6932208 45.0353855)",,,,
101274947,False,13. ulica,residential,False,151.191,"LINESTRING (18.6943658 45.0337522, 18.6962756 45.0335872)",,,,
101274947,False,13. ulica,residential,True,115.112,"LINESTRING (18.6943658 45.0337522, 18.6929119 45.0338788)",,,,
101274946,True,11. ulica,residential,False,252.63300000000004,"LINESTRING (18.6882018 45.0352893, 18.6885445 45.0351995, 18.6888425 45.0351196, 18.6892042 45.0350448, 18.6894614 45.034991, 18.6896949 45.0349398, 18.6899522 45.0349149, 18.6902435 45.034893, 18.6905527 45.0348719, 18.6908568 45.0348471, 18.6913253 45.0348076)",,,,
267732253,False,2. ulica,primary,False,62.023999999999994,"LINESTRING (18.6882018 45.0352893, 18.6882237 45.0353389, 18.6882522 45.0354033, 18.688281 45.0355396, 18.6882882 45.0358401)",2,M-14.2,30,
267732253,False,2. ulica,primary,False,72.493,"LINESTRING (18.6885298 45.0374335, 18.6885441 45.0375158, 18.6885688 45.0376575, 18.6886322 45.0379087, 18.6886816 45.0380762)",2,M-14.2,30,
267732253,False,2. ulica,primary,True,43.632000000000005,"LINESTRING (18.6885298 45.0374335, 18.6885162 45.0373569, 18.6884974 45.0372508, 18.6884706 45.0371105, 18.6884561 45.0370446)",2,M-14.2,30,
101811324,True,4. ulica,residential,False,95.704,"LINESTRING (18.6907003 45.0379726, 18.6906271 45.0378177, 18.6905834 45.0376769, 18.6905419 45.0375334, 18.690497 45.0373405, 18.6904487 45.037132)",,,,
459903084,False,3. ulica,tertiary,False,98.048,"LINESTRING (18.6907003 45.0379726, 18.6910009 45.0378835, 18.6914794 45.0377471, 18.6918636 45.0376546)",,,,
459903084,False,3. ulica,tertiary,True,107.096,"LINESTRING (18.6907003 45.0379726, 18.6901874 45.0381204, 18.6898531 45.0382136, 18.6894355 45.0383315)",,,,
101811324,True,4. ulica,residential,False,61.538,"LINESTRING (18.6904487 45.037132, 18.6903984 45.0369609, 18.6903369 45.0367617, 18.6902979 45.0365891)",,,,
