osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,bridge,maxspeed,junction,tunnel,width
24854591,False,,residential,False,92.29299999999999,"LINESTRING (9.1031325 45.4326663, 9.1032464 45.4325227, 9.1036875 45.4319891, 9.1037224 45.4319469)",,Via Guglielmo Oberdan,,,,,
179704573,False,,residential,False,262.62399999999997,"LINESTRING (9.1031325 45.4326663, 9.1028905 45.4329606, 9.1028707 45.4329886, 9.1028538 45.4330183, 9.1028475 45.433049, 9.1028552 45.4330795, 9.1028763 45.4331068, 9.1029085 45.4331281, 9.1029485 45.4331411, 9.1052387 45.4338622, 9.1052931 45.4338804)",,Via Giacomo Matteotti,,,,,
24854591,False,,residential,True,117.10400000000001,"LINESTRING (9.1051004 45.430281, 9.1050798 45.4303056, 9.104901 45.4305164, 9.1048457 45.430587, 9.10438 45.4311485, 9.1043464 45.4311915)",,Via Guglielmo Oberdan,,,,,
30964545,True,,residential,False,129.589,"LINESTRING (9.1051004 45.430281, 9.1051879 45.430306, 9.1053665 45.4303983, 9.1056167 45.4305969, 9.1057891 45.430802, 9.1060591 45.4311994)",,Via Alzaia Trieste,,50,,,
32870040,True,,residential,False,74.712,"LINESTRING (9.1040476 45.4328575, 9.1045263 45.4322756)",,Via Filippo Corridoni,,,,,
"[32870044, 24973127]",True,,residential,False,129.478,"LINESTRING (9.1040476 45.4328575, 9.1048736 45.4330552, 9.1052779 45.4325817)",,"['Via Guglielmo Marconi', 'Via Cesare Battisti']",,,,,
185466025,False,,residential,False,67.056,"LINESTRING (9.1055538 45.4346267, 9.1058231 45.4341782, 9.1058668 45.4341054, 9.1058898 45.4340717)",,,,,,,
"[177187264, 29062346, 29015586]",True,,secondary,False,57.467000000000006,"LINESTRING (9.1081635 45.4341982, 9.1083768 45.4340945, 9.1084394 45.4340641, 9.1086389 45.4339671, 9.1087356 45.4339201, 9.1087689 45.4339039)",,Viale Liberazione,yes,,,,
24973128,True,,residential,False,71.53,"LINESTRING (9.1051367 45.4315174, 9.1044079 45.4312179, 9.1043464 45.4311915)",,Via Nazario Sauro,,,,,
24854591,False,,residential,False,117.10400000000001,"LINESTRING (9.1043464 45.4311915, 9.10438 45.4311485, 9.1048457 45.430587, 9.104901 45.4305164, 9.1050798 45.4303056, 9.1051004 45.430281)",,Via Guglielmo Oberdan,,,,,
24854591,False,,residential,True,97.09,"LINESTRING (9.1043464 45.4311915, 9.1043021 45.4312459, 9.103771 45.431888, 9.1037224 45.4319469)",,Via Guglielmo Oberdan,,,,,
32870040,True,,residential,False,96.833,"LINESTRING (9.1045263 45.4322756, 9.1051367 45.4315174)",,Via Filippo Corridoni,,,,,
44459793,True,,residential,False,67.80900000000001,"LINESTRING (9.1045263 45.4322756, 9.1052454 45.4325685, 9.1052779 45.4325817)",,Via Fabio Filzi,,,,,
24834241,True,,residential,False,70.479,"LINESTRING (9.1035708 45.4274054, 9.1034606 45.4273768, 9.1028244 45.4272117, 9.1027237 45.4271856)",,Via Piave,,,,,
217870081,True,,tertiary,False,35.736,"LINESTRING (9.1035708 45.4274054, 9.1036703 45.4272325, 9.1036935 45.4272039, 9.1037266 45.4271767, 9.1037663 45.4271566, 9.1038094 45.4271465)",,Viale della Resistenza,,,,,
217870081,True,,tertiary,False,153.171,"LINESTRING (9.1038094 45.4271465, 9.1038845 45.4271395, 9.1039563 45.4271411, 9.1041704 45.4271499, 9.1055579 45.4272234, 9.1056169 45.4272264, 9.1057666 45.4272341)",,Viale della Resistenza,,,,,
29049476,False,,residential,True,8.717,"LINESTRING (9.1057666 45.4272341, 9.1057611 45.4273124)",,Via Trieste,,,,,
53536963,True,,tertiary,False,170.924,"LINESTRING (9.1057666 45.4272341, 9.1059503 45.4272443, 9.1066121 45.427281, 9.1068539 45.4273123, 9.1072126 45.4273994, 9.1078828 45.4275776)",,Viale della Resistenza,,,,,
199252492,False,,residential,False,82.125,"LINESTRING (9.1057666 45.4272341, 9.1057749 45.4271182, 9.1057784 45.4270698, 9.1057877 45.4269432, 9.10583 45.4264969)",,Via Trieste,,,,,
178169790,False,,unclassified,True,7.938,"LINESTRING (9.1098131 45.4280908, 9.109784 45.4281592)",,,,,,,
53536963,True,,tertiary,False,45.488,"LINESTRING (9.1098131 45.4280908, 9.1102361 45.428201, 9.1103596 45.4282331)",,Viale della Resistenza,,,,,
178169803,True,,unclassified,False,65.468,"LINESTRING (9.1098131 45.4280908, 9.1099311 45.428065, 9.1100331 45.428034, 9.1102999 45.4279585, 9.1104877 45.4278794, 9.1105651 45.4278378)",,,,,,,
32870557,False,2,tertiary,False,78.967,"LINESTRING (9.1105651 45.4278378, 9.1108239 45.4273116, 9.1108953 45.4271665)",,Via Ugo Foscolo,,50,,,
32870557,False,2,tertiary,True,46.789,"LINESTRING (9.1105651 45.4278378, 9.1104083 45.4281394, 9.1103596 45.4282331)",,Via Ugo Foscolo,,50,,,
29050083,False,,residential,False,182.743,"LINESTRING (9.1108953 45.4271665, 9.111279 45.4272567, 9.1113935 45.4272836, 9.1116044 45.4273355, 9.1118165 45.4273859, 9.1127244 45.4276045, 9.1129542 45.4276611, 9.113111 45.4276983)",,Via Visconti di Modrone,,,,,
32870557,False,2,tertiary,True,78.967,"LINESTRING (9.1108953 45.4271665, 9.1108239 45.4273116, 9.1105651 45.4278378)",,Via Ugo Foscolo,,50,,,
29049476,False,,residential,False,8.717,"LINESTRING (9.1057611 45.4273124, 9.1057666 45.4272341)",,Via Trieste,,,,,
53536994,True,,tertiary,False,175.33900000000003,"LINESTRING (9.1057611 45.4273124, 9.1056115 45.4273046, 9.1041629 45.4272287, 9.1039641 45.4272209, 9.1039088 45.4272256, 9.1038613 45.4272395, 9.1038216 45.4272589, 9.1037884 45.4272814, 9.1037575 45.4273124, 9.10372 45.4273628, 9.1036791 45.4274333)",,Viale della Resistenza,,,,,
163845347,True,,residential,False,152.448,"LINESTRING (9.113111 45.4276983, 9.1136968 45.4263904)",,Via Giosuè Carducci,,,,,
29050083,False,,residential,True,182.743,"LINESTRING (9.113111 45.4276983, 9.1129542 45.4276611, 9.1127244 45.4276045, 9.1118165 45.4273859, 9.1116044 45.4273355, 9.1113935 45.4272836, 9.111279 45.4272567, 9.1108953 45.4271665)",,Via Visconti di Modrone,,,,,
29050084,True,,residential,False,184.456,"LINESTRING (9.1101267 45.4287511, 9.1124109 45.4291778)",,Via Luigi Cadorna,,,,,
