osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
6586864,Windmolen,unclassified,30,False,True,57.968,"LINESTRING (5.0613789 52.5096328, 5.0610177 52.5095296, 5.0609785 52.5095184, 5.0606036 52.5094112)",,
6586982,Weidemolen,residential,30,False,False,89.001,"LINESTRING (5.0613789 52.5096328, 5.0612866 52.5097874, 5.0612788 52.5098517, 5.0612136 52.5099811, 5.0611334 52.510084, 5.0610482 52.5101978, 5.0613364 52.5102878)",,
6586912,Stellingmolen,residential,30,False,False,187.26000000000005,"LINESTRING (5.05895 52.50969, 5.0596754 52.5098888, 5.0598429 52.5096839, 5.0599642 52.5095258, 5.0599748 52.5094445, 5.0599977 52.5093308, 5.0601287 52.5091432, 5.0601597 52.5090989, 5.0601747 52.5090773, 5.0602361 52.5090133, 5.060518 52.5088303)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,False,33.735,"LINESTRING (5.0548233 52.5098495, 5.0552786 52.509973)",,
6586879,Waardmeerhof,residential,30,False,False,150.82,"LINESTRING (5.0548233 52.5098495, 5.0550397 52.5095208, 5.05512 52.50941, 5.0551953 52.50936, 5.055258 52.5093552, 5.055546 52.509429, 5.0555647 52.5094788, 5.0555852 52.5095335, 5.0552786 52.509973)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,True,70.436,"LINESTRING (5.0548233 52.5098495, 5.0544337 52.5097241, 5.0538847 52.5095767)",,
6586881,Zuidpolderlaan,residential,30,False,True,106.092,"LINESTRING (5.0629292 52.5098811, 5.0623597 52.5096254, 5.062275 52.5095885, 5.0616503 52.5093296)",,
6586979,Paltrokmolen,residential,30,False,False,32.969,"LINESTRING (5.0629292 52.5098811, 5.0628923 52.5099643, 5.0627577 52.510158)",,
113704746,Volendammerpad,residential,30,False,False,84.38199999999999,"LINESTRING (5.0494639 52.5100087, 5.0495964 52.5099333, 5.0501587 52.5093825)",,
859777770,Burgemeester Versteeghsingel,tertiary,30,False,False,55.833,"LINESTRING (5.0494639 52.5100087, 5.049726 52.5101692, 5.050033 52.5102797, 5.0501161 52.5103096)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,True,33.735,"LINESTRING (5.0552786 52.509973, 5.0548233 52.5098495)",,
6586879,Waardmeerhof,residential,30,False,True,150.82,"LINESTRING (5.0552786 52.509973, 5.0555852 52.5095335, 5.0555647 52.5094788, 5.055546 52.509429, 5.055258 52.5093552, 5.0551953 52.50936, 5.05512 52.50941, 5.0550397 52.5095208, 5.0548233 52.5098495)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,False,73.303,"LINESTRING (5.0552786 52.509973, 5.0556965 52.5100942, 5.0559053 52.5101548, 5.0562564 52.5102566)",,
6586915,Standerdmolen,residential,30,False,False,54.269999999999996,"LINESTRING (5.0627577 52.510158, 5.0631147 52.5102628, 5.0633276 52.5103253, 5.06348 52.51037)",,
6586919,Paltrokmolen,residential,30,False,False,138.84300000000002,"LINESTRING (5.0627577 52.510158, 5.06222 52.51001, 5.0621591 52.5099915, 5.06212 52.51003, 5.0620725 52.5100962, 5.0619445 52.5102743, 5.0619977 52.5103461, 5.0626866 52.5105289)",,
6586979,Paltrokmolen,residential,30,False,True,32.969,"LINESTRING (5.0627577 52.510158, 5.0628923 52.5099643, 5.0629292 52.5098811)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,False,48.044999999999995,"LINESTRING (5.0562564 52.5102566, 5.0565341 52.510338, 5.0568325 52.5104255, 5.056896 52.5104441)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,True,73.303,"LINESTRING (5.0562564 52.5102566, 5.0559053 52.5101548, 5.0556965 52.5100942, 5.0552786 52.509973)",,
6586945,Purmerstraat,residential,30,False,True,100.929,"LINESTRING (5.0562564 52.5102566, 5.0565318 52.5098675, 5.0566073 52.5097631, 5.0568342 52.5094199)",,
6587192,Baanstraat,residential,30,False,False,44.439,"LINESTRING (5.0501161 52.5103096, 5.0498432 52.5106731)",,7.5
859777770,Burgemeester Versteeghsingel,tertiary,30,False,False,17.796,"LINESTRING (5.0501161 52.5103096, 5.0502258 52.5103419, 5.0503529 52.5103792)",,
859777770,Burgemeester Versteeghsingel,tertiary,30,False,True,55.833,"LINESTRING (5.0501161 52.5103096, 5.050033 52.5102797, 5.049726 52.5101692, 5.0494639 52.5100087)",,
6586862,Roelof Bootstraat,residential,30,False,False,36.576,"LINESTRING (5.053067 52.5102785, 5.0528532 52.5105806)",,
"[6586948, 6586894]",Roelof Bootstraat,residential,30,False,False,276.425,"LINESTRING (5.053067 52.5102785, 5.0531157 52.510311, 5.0537526 52.5105015, 5.0554685 52.5109957, 5.0560204 52.5111601, 5.05673 52.5113713)",,
6586940,Roelof Bootstraat,residential,30,False,True,161.394,"LINESTRING (5.053067 52.5102785, 5.05158 52.5098359, 5.050922 52.5096442)",,
6586982,Weidemolen,residential,30,False,True,89.001,"LINESTRING (5.0613364 52.5102878, 5.0610482 52.5101978, 5.0611334 52.510084, 5.0612136 52.5099811, 5.0612788 52.5098517, 5.0612866 52.5097874, 5.0613789 52.5096328)",,
6587193,Volendammerpad,residential,30,True,False,43.113,"LINESTRING (5.0490749 52.5103073, 5.0491861 52.5101766, 5.0493263 52.5100689, 5.0494639 52.5100087)",,
6586915,Standerdmolen,residential,30,False,True,54.269999999999996,"LINESTRING (5.06348 52.51037, 5.0633276 52.5103253, 5.0631147 52.5102628, 5.0627577 52.510158)",,
6587186,William Pontstraat,residential,30,False,True,90.349,"LINESTRING (5.0503529 52.5103792, 5.050922 52.5096442)",,
