osmid,name,highway,width,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction
87368185,,residential,,True,False,44.766000000000005,"LINESTRING (-25.5190409 37.8259123, -25.5192703 37.8258011, -25.51947 37.8256952)",,,,,
488935565,Rua de Santa Luzia,residential,,True,False,56.285,"LINESTRING (-25.5185388 37.8238542, -25.5185844 37.8243591)",,,,,
488935566,Rua de Santa Luzia,residential,,True,False,92.23,"LINESTRING (-25.5185388 37.8238542, -25.5185174 37.8234933, -25.5185441 37.823398, -25.5185773 37.8233107, -25.5186466 37.8231793, -25.5186731 37.8231089, -25.5186841 37.8230459)",,,,,
87368165,2. TV Sta. Luzia,residential,,True,False,74.0,"LINESTRING (-25.5190517 37.8261835, -25.5198769 37.8260492)",,,,,
87368181,Rua de Santa Luzia,residential,,False,True,30.171,"LINESTRING (-25.5190517 37.8261835, -25.5190409 37.8259123)",,,,,
584535908,Rua de Santa Luzia,residential,,False,False,13.322,"LINESTRING (-25.5190517 37.8261835, -25.5190302 37.8263021)",,,,,
33454605,Rua Sousa e Silva,secondary,,True,False,74.763,"LINESTRING (-25.5185844 37.8243591, -25.5193821 37.8241245)",1,,50,,
87368181,Rua de Santa Luzia,residential,,False,False,158.304,"LINESTRING (-25.5185844 37.8243591, -25.5187191 37.8248276, -25.5187834 37.8251327, -25.51888 37.8254208, -25.5188982 37.8255284, -25.5189876 37.8257445)",,,,,
87369602,,residential,,False,False,10.171,"LINESTRING (-25.5170582 37.8243183, -25.5171205 37.8243954)",,,,,
87555839,Rua do Passal,primary,,True,False,46.186,"LINESTRING (-25.5170582 37.8243183, -25.5168984 37.8244356, -25.516667 37.8245958)",,ER 1-1ª,50,,
87368166,Rua Dos Fundadores Da Vila,residential,,True,False,87.46,"LINESTRING (-25.5198214 37.8258606, -25.5207652 37.8256098)",,,,,
584535474,Rua João d'Horta,residential,,True,False,27.764,"LINESTRING (-25.5198214 37.8258606, -25.5197598 37.8256157)",,,,,
584535474,Rua João d'Horta,residential,,True,False,21.53,"LINESTRING (-25.5198769 37.8260492, -25.5198214 37.8258606)",,,,,
87368181,Rua de Santa Luzia,residential,,False,False,19.237,"LINESTRING (-25.5189876 37.8257445, -25.5190409 37.8259123)",,,,,
