osmid,oneway,highway,reversed,length,geometry,name,lanes,bridge,junction
297206850,False,tertiary,False,35.388,"LINESTRING (114.5956126 -3.3175189, 114.5956156 -3.3173494, 114.5956579 -3.3172068)",Jalan Ade Irma Suryani Nasution,,,
578686007,False,residential,False,145.345,"LINESTRING (114.5956126 -3.3175189, 114.5961959 -3.3177136, 114.596655 -3.3178947, 114.596844 -3.3179619)",,,,
297206850,False,tertiary,True,16.6,"LINESTRING (114.5957015 -3.317064, 114.5956579 -3.3172068)",Jalan Ade Irma Suryani Nasution,,,
"[1049179976, 1049179977, 297206850]",False,tertiary,False,88.92800000000001,"LINESTRING (114.5957015 -3.317064, 114.5957793 -3.3168111, 114.5958249 -3.3167013, 114.5958437 -3.3166371, 114.5958437 -3.3165568, 114.5958276 -3.316479, 114.5957983 -3.3163946, 114.5957631 -3.3163006)",Jalan Ade Irma Suryani Nasution,,yes,
1049179977,False,tertiary,False,70.741,"LINESTRING (114.5957631 -3.3163006, 114.5957102 -3.3161305, 114.5956937 -3.3160813, 114.5955884 -3.3157747, 114.5955605 -3.3156975)",Jalan Ade Irma Suryani Nasution,,,
"[1049179976, 1049179977, 297206850]",False,tertiary,True,88.928,"LINESTRING (114.5957631 -3.3163006, 114.5957983 -3.3163946, 114.5958276 -3.316479, 114.5958437 -3.3165568, 114.5958437 -3.3166371, 114.5958249 -3.3167013, 114.5957793 -3.3168111, 114.5957015 -3.317064)",Jalan Ade Irma Suryani Nasution,,yes,
578705156,False,residential,True,49.553,"LINESTRING (114.595336 -3.3166373, 114.5953269 -3.3167136, 114.5953178 -3.3167409, 114.5953052 -3.3167591, 114.5952585 -3.3167955, 114.5952403 -3.3168252, 114.5951818 -3.3170414)",,,,
297206850,False,tertiary,False,16.6,"LINESTRING (114.5956579 -3.3172068, 114.5957015 -3.317064)",Jalan Ade Irma Suryani Nasution,,,
297206850,False,tertiary,True,35.388,"LINESTRING (114.5956579 -3.3172068, 114.5956156 -3.3173494, 114.5956126 -3.3175189)",Jalan Ade Irma Suryani Nasution,,,
578705156,False,residential,False,57.711,"LINESTRING (114.5956579 -3.3172068, 114.5951857 -3.317069, 114.5951818 -3.3170414)",,,,
