osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width
1127945723,False,,,residential,True,51.479000000000006,"LINESTRING (29.4861939 46.8182619, 29.4861848 46.8183115, 29.4861763 46.8183497, 29.4862202 46.8184815, 29.4862169 46.8185116, 29.4862034 46.8185382, 29.486226 46.8185959, 29.4862217 46.8186455, 29.4862005 46.8187154)",,
1127945723,False,,,residential,False,51.47899999999999,"LINESTRING (29.4862005 46.8187154, 29.4862217 46.8186455, 29.486226 46.8185959, 29.4862034 46.8185382, 29.4862169 46.8185116, 29.4862202 46.8184815, 29.4861763 46.8183497, 29.4861848 46.8183115, 29.4861939 46.8182619)",,
38633107,True,2,улица Котовского,primary,False,75.469,"LINESTRING (29.4840072 46.8199059, 29.4843132 46.8205515)",70,
1127945725,False,,,residential,True,67.925,"LINESTRING (29.4840072 46.8199059, 29.4842362 46.8198453, 29.4842952 46.8197975, 29.4843328 46.8197241, 29.4843274 46.8196617, 29.4843596 46.8196287, 29.4846225 46.8195406)",,
1127945725,False,,,residential,False,67.925,"LINESTRING (29.4846225 46.8195406, 29.4843596 46.8196287, 29.4843274 46.8196617, 29.4843328 46.8197241, 29.4842952 46.8197975, 29.4842362 46.8198453, 29.4840072 46.8199059)",,
276790974,False,2,улица Шестакова,residential,False,52.257,"LINESTRING (29.4861072 46.8205073, 29.4858575 46.8200695)",50,
276790974,False,2,улица Шестакова,residential,True,102.18999999999998,"LINESTRING (29.4861072 46.8205073, 29.4864457 46.8211007, 29.4865576 46.8212967, 29.4865956 46.8213634)",50,
1127945726,False,,,residential,True,67.152,"LINESTRING (29.4861072 46.8205073, 29.4857812 46.8205978, 29.4856954 46.8206382, 29.4856578 46.8207006, 29.4856578 46.820763, 29.4857114 46.8209208)",,
1127945726,False,,,residential,False,67.15199999999999,"LINESTRING (29.4857114 46.8209208, 29.4856578 46.820763, 29.4856578 46.8207006, 29.4856954 46.8206382, 29.4857812 46.8205978, 29.4861072 46.8205073)",,
680056528,False,,Московская улица,residential,False,90.622,"LINESTRING (29.4847739 46.8204077, 29.4858575 46.8200695)",50,7
680056528,False,,Московская улица,residential,True,38.529,"LINESTRING (29.4847739 46.8204077, 29.4843132 46.8205515)",50,7
1127945763,False,,,residential,True,56.078,"LINESTRING (29.4847739 46.8204077, 29.484931 46.8206888, 29.4849564 46.8207131, 29.4849969 46.8207235, 29.4852014 46.82069)",,
1127945763,False,,,residential,False,56.078,"LINESTRING (29.4852014 46.82069, 29.4849969 46.8207235, 29.4849564 46.8207131, 29.484931 46.8206888, 29.4847739 46.8204077)",,
