osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,bridge
1051068221,Calle Valentín Gómez Farías,residential,False,False,73.069,,,"LINESTRING (-102.3428446 22.1803887, -102.3425375 22.1797963)",,
1051068221,Calle Valentín Gómez Farías,residential,False,True,77.126,,,"LINESTRING (-102.3428446 22.1803887, -102.3431732 22.181012)",,
426238938,Calle Ponciano Arriaga,residential,False,False,116.562,,,"LINESTRING (-102.3431732 22.181012, -102.3421499 22.1814603)",,
426238938,Calle Ponciano Arriaga,residential,False,True,27.809,,,"LINESTRING (-102.3431732 22.181012, -102.3434092 22.1808904)",,
1051068221,Calle Valentín Gómez Farías,residential,False,False,77.126,,,"LINESTRING (-102.3431732 22.181012, -102.3428446 22.1803887)",,
1051068221,Calle Valentín Gómez Farías,residential,False,True,38.054,,,"LINESTRING (-102.3416686 22.1779331, -102.3418173 22.1782464)",,
"[686747474, 426238935]","['Avenida Sifón', 'Calle Ingeniero Enrique Zúñiga']",residential,False,"[False, True]",220.126,,,"LINESTRING (-102.3416686 22.1779331, -102.3418809 22.1778441, -102.3420534 22.1777683, -102.3422419 22.1776784, -102.3424467 22.177569, -102.3425362 22.177505, -102.3426005 22.1774379, -102.3426503 22.1773501, -102.3426685 22.1772617, -102.3426853 22.1771725, -102.343139 22.1766156)",,
426238935,Calle Ingeniero Enrique Zúñiga,residential,False,True,114.973,,,"LINESTRING (-102.3416686 22.1779331, -102.3407371 22.1783104, -102.3407022 22.1783302, -102.3406767 22.1783495, -102.3406587 22.1783669)",,
1051074408,Calle Francisco I. Madero,residential,False,False,61.496,,,"LINESTRING (-102.3409738 22.1790673, -102.3412192 22.1795715)",,
1051074408,Calle Francisco I. Madero,residential,False,True,47.079,,,"LINESTRING (-102.3409738 22.1790673, -102.3408021 22.1786749)",,
1051075133,Calle Ingeniero Teodoro Olivares,residential,False,False,116.069,,,"LINESTRING (-102.3409738 22.1790673, -102.3420011 22.1786376)",,
1051075133,Calle Ingeniero Teodoro Olivares,residential,False,True,113.75,,,"LINESTRING (-102.3409738 22.1790673, -102.3399616 22.1794771)",,
426238939,Calle Guillermo Prieto,residential,False,False,114.455,,,"LINESTRING (-102.3418414 22.180832, -102.3428446 22.1803887)",,
426238939,Calle Guillermo Prieto,residential,False,True,113.251,,,"LINESTRING (-102.3418414 22.180832, -102.3408423 22.1812579)",,
1051074408,Calle Francisco I. Madero,residential,False,False,76.746,,,"LINESTRING (-102.3418414 22.180832, -102.3421499 22.1814603)",,
