osmid,oneway,name,highway,maxspeed,access,reversed,length,geometry,lanes,bridge,junction
734551265,True,Calle Bravo,residential,20,yes,False,214.53699999999998,"LINESTRING (-100.5184007 21.2973459, -100.5184892 21.2969866, -100.5185576 21.2966405, -100.5186957 21.2959958, -100.5187145 21.2958622, -100.5187728 21.2954491)",,,
740493748,True,Calle Victoria,secondary,20,yes,False,100.301,"LINESTRING (-100.5134959 21.2980218, -100.5142879 21.2980727, -100.5144538 21.2981224)",,,
184939428,True,Calle Javier Mina,residential,20,yes,False,54.422,"LINESTRING (-100.5151613 21.298691, -100.5150558 21.2987196, -100.5149762 21.2990348, -100.5149544 21.2990947)",,,
298883436,False,Allende,residential,20,yes,True,66.999,"LINESTRING (-100.5119596 21.2972431, -100.5121172 21.2972411, -100.5126058 21.2972615)",,,
739613633,True,Calle Josefa Ortiz de Domínguez,residential,20,,False,142.577,"LINESTRING (-100.5205793 21.2957852, -100.5203905 21.2970553)",,,
313888333,False,Calle Santa Ana,residential,20,,False,33.620000000000005,"LINESTRING (-100.5205793 21.2957852, -100.5206879 21.2957123, -100.5208308 21.2955947)",,,
316975769,True,Rivera del Río,residential,20,,False,21.04,"LINESTRING (-100.5141923 21.3011325, -100.5140082 21.3010526)",,,
1134919726,True,Calle Jiménez,residential,20,yes,False,171.80100000000002,"LINESTRING (-100.5117248 21.2952533, -100.5117708 21.2953655, -100.5118181 21.2954254, -100.5119161 21.2955009, -100.5128708 21.296192, -100.512974 21.2962358)",,,
316976160,False,Calle 20 de Noviembre,residential,,,False,50.086,"LINESTRING (-100.5129586 21.2932029, -100.5126567 21.2935547)",,,
316976162,False,Calle Justo Sierra,residential,20,,False,50.307,"LINESTRING (-100.5129586 21.2932029, -100.5134211 21.2933407)",,,
739834924,False,Privada 20 de Noviembre,residential,,,True,47.903,"LINESTRING (-100.5129586 21.2932029, -100.5132052 21.2929931, -100.5131438 21.292888)",,,
201017412,False,Calle Abasolo,residential,,,False,57.09,"LINESTRING (-100.5147508 21.2937831, -100.5144688 21.2942242)",,,
316976162,False,Calle Justo Sierra,residential,20,,True,146.282,"LINESTRING (-100.5147508 21.2937831, -100.5134211 21.2933407)",,,
437448906,False,Calle Abasolo,residential,20,,True,40.095,"LINESTRING (-100.5147508 21.2937831, -100.514899 21.29345)",,,
739834924,False,Privada 20 de Noviembre,residential,,,False,47.903,"LINESTRING (-100.5131438 21.292888, -100.5132052 21.2929931, -100.5129586 21.2932029)",,,
895494485,True,Calle San Rafaél,residential,20,,False,93.09,"LINESTRING (-100.5169938 21.2927996, -100.5170955 21.2936314)",,,
711093178,False,,residential,,,False,56.668,"LINESTRING (-100.5133521 21.3008952, -100.5131598 21.3013723)",,,
734592867,True,Rivera del Río,residential,20,,False,95.887,"LINESTRING (-100.5133521 21.3008952, -100.5131295 21.3008322, -100.5128613 21.3007022, -100.5125052 21.3005527)",,,
424528393,False,Calle Padre Casas,residential,20,,False,98.241,"LINESTRING (-100.5125052 21.3005527, -100.5122061 21.3013911)",,,
