osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,maxspeed
379073218,False,2,Calle 3 Sur,secondary,False,86.993,"LINESTRING (-97.8055219 19.2239496, -97.8056018 19.2231709)",,
379073218,False,2,Calle 3 Sur,secondary,True,105.714,"LINESTRING (-97.8055219 19.2239496, -97.8053836 19.2248913)",,
379073218,False,2,Calle 3 Sur,secondary,True,106.177,"LINESTRING (-97.8057801 19.2219973, -97.8056358 19.2229424)",,
776346578,False,2,Calle 11 Poniente,residential,False,65.344,"LINESTRING (-97.8057801 19.2219973, -97.8051602 19.2219452)",,
776346578,False,2,Calle 11 Poniente,residential,True,13.451,"LINESTRING (-97.8057801 19.2219973, -97.8059079 19.2220057)",,
776350099,False,2,Carretera Nopalucan Grajales,secondary,True,42.075,"LINESTRING (-97.8057801 19.2219973, -97.8059002 19.2216363)",,
169906979,True,,Calle 5 Poniente,residential,False,93.673,"LINESTRING (-97.8053836 19.2248913, -97.8062645 19.2250248)",,
379073218,False,2,Calle 3 Sur,secondary,False,105.714,"LINESTRING (-97.8053836 19.2248913, -97.8055219 19.2239496)",,
"[379073216, 379073218, 169908661]",False,2,Calle 3 Sur,secondary,True,75.024,"LINESTRING (-97.8053836 19.2248913, -97.8053791 19.2249251, -97.8053693 19.2250002, -97.8053649 19.2250222, -97.8053578 19.2250629, -97.8052977 19.225561)",yes,
169908661,False,2,Calle 3 Sur,secondary,True,113.377,"LINESTRING (-97.8052977 19.225561, -97.8051896 19.2265755)",,
858329721,True,,Calle 5 Poniente,residential,False,108.517,"LINESTRING (-97.8052977 19.225561, -97.8042727 19.2254357)",,
"[379073216, 379073218, 169908661]",False,2,Calle 3 Sur,secondary,False,75.02399999999999,"LINESTRING (-97.8052977 19.225561, -97.8053578 19.2250629, -97.8053649 19.2250222, -97.8053693 19.2250002, -97.8053791 19.2249251, -97.8053836 19.2248913)",yes,
169906162,True,3,Avenida 16 de Septiembre,residential,False,112.699,"LINESTRING (-97.8051896 19.2265755, -97.8062552 19.2266974)",,
169908661,False,2,Calle 3 Sur,secondary,False,113.377,"LINESTRING (-97.8051896 19.2265755, -97.8052977 19.225561)",,
169908663,False,2,Calle 3 Norte,secondary,True,108.913,"LINESTRING (-97.8051896 19.2265755, -97.805055 19.2275467)",,
378890905,False,,Calle 2 Poniente,residential,False,12.289,"LINESTRING (-97.8098471 19.2287115, -97.8097567 19.2286413)",,
170229593,False,,Camino Nacional Norte,residential,False,46.644,"LINESTRING (-97.8092259 19.2275969, -97.8095091 19.2272737)",,
170229593,False,,Camino Nacional Norte,residential,True,54.231,"LINESTRING (-97.8092259 19.2275969, -97.808902 19.2279768)",,
170229593,False,,Camino Nacional Norte,residential,False,58.425,"LINESTRING (-97.808385 19.2286554, -97.80871 19.2282289)",,
170229593,False,,Camino Nacional Norte,residential,True,31.735,"LINESTRING (-97.808385 19.2286554, -97.8081944 19.2288769)",,
