osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,junction,maxspeed,width,tunnel,access
352550633,True,,,Rue Ambroise Croizat,residential,False,43.945,"LINESTRING (4.6149064 45.5281473, 4.6149649 45.5280359, 4.6149817 45.5280138, 4.6151511 45.5277921)",,,,,
154519193,False,,,Avenue Maréchal Juin,residential,True,85.667,"LINESTRING (4.6207242 45.5302206, 4.6208146 45.5302612, 4.6211258 45.5303739, 4.6214932 45.5304791, 4.6217185 45.5305468)",,,,,
154519205,False,,,Square Marcel Paul,residential,False,167.733,"LINESTRING (4.6207242 45.5302206, 4.6205303 45.5304528, 4.6204928 45.5304866, 4.6204364 45.5305129, 4.6203694 45.5305073, 4.6202943 45.5304829, 4.6194152 45.5301437, 4.619293 45.5300965, 4.619057 45.5300069, 4.6189887 45.5299797)",,,,,
154519205,False,,,Square Marcel Paul,residential,True,159.285,"LINESTRING (4.6207242 45.5302206, 4.6208361 45.5300676, 4.6208656 45.5300131, 4.6208522 45.5299662, 4.6208012 45.5299342, 4.6198569 45.5295798, 4.6194798 45.5294383, 4.6194089 45.5294117)",,,,,
154519192,True,,,Rue de l'Hôtel de Ville,residential,False,26.423,"LINESTRING (4.6189887 45.5299797, 4.6189725 45.5300012, 4.6188486 45.5301653, 4.6188289 45.5301893)",,,,,
154519205,False,,,Square Marcel Paul,residential,True,167.733,"LINESTRING (4.6189887 45.5299797, 4.619057 45.5300069, 4.619293 45.5300965, 4.6194152 45.5301437, 4.6202943 45.5304829, 4.6203694 45.5305073, 4.6204364 45.5305129, 4.6204928 45.5304866, 4.6205303 45.5304528, 4.6207242 45.5302206)",,,,,
154519194,True,,M 88,,secondary,False,7.389,"LINESTRING (4.6151539 45.5283561, 4.6151176 45.5283652, 4.6150613 45.5283652)",roundabout,,,,
154519194,True,,M 88,,secondary,False,8.251999999999999,"LINESTRING (4.6152068 45.5282924, 4.6151847 45.5283277, 4.6151539 45.5283561)",roundabout,,,,
154519195,True,1,M 88,Cours de Verdun,secondary,False,51.03,"LINESTRING (4.6152068 45.5282924, 4.6152708 45.5283282, 4.6153468 45.5283595, 4.6157411 45.5285218, 4.615765 45.5285316)",,,,,
154519194,True,,M 88,,secondary,False,6.184,"LINESTRING (4.6148178 45.5282576, 4.6148171 45.5282331, 4.6148265 45.5282027)",roundabout,,,,
293552824,True,,,Rue du Canal,residential,False,117.62299999999999,"LINESTRING (4.6148178 45.5282576, 4.6147484 45.5282576, 4.6146452 45.5282369, 4.6142392 45.5280337, 4.613744 45.5277681, 4.6136141 45.5278842)",,,,,
154519193,False,,,Avenue Maréchal Juin,residential,False,23.752,"LINESTRING (4.621997 45.5306335, 4.6218568 45.5305861, 4.6217185 45.5305468)",,,,,
154519193,False,,,Avenue Maréchal Juin,residential,True,45.239000000000004,"LINESTRING (4.621997 45.5306335, 4.6222295 45.5306962, 4.6224323 45.5307726, 4.6224862 45.5307945, 4.6225098 45.5308163)",,,,,
154519194,True,,M 88,,secondary,False,20.149,"LINESTRING (4.6150613 45.5283652, 4.6150103 45.5283446, 4.6148682 45.5282882, 4.6148376 45.5282743)",roundabout,,,,
1066880524,True,,,Rue Dorian,residential,False,5.788,"LINESTRING (4.6225098 45.5308163, 4.6224972 45.5308676)",,,,,
154519193,False,,,Avenue Maréchal Juin,residential,False,45.239000000000004,"LINESTRING (4.6225098 45.5308163, 4.6224862 45.5307945, 4.6224323 45.5307726, 4.6222295 45.5306962, 4.621997 45.5306335)",,,,,
1066880523,True,,,Rue Dorian,residential,False,12.709,"LINESTRING (4.6225098 45.5308163, 4.6225632 45.5307881, 4.6226508 45.5307601)",,,,,
280330538,True,1,,Rue Jean Jaurès,tertiary,False,42.732,"LINESTRING (4.6220552 45.5314073, 4.621958 45.5313706, 4.6216766 45.5312726, 4.6215692 45.5312293)",,50,,,
234757132,True,,,Rue de Plaisance,residential,False,30.727000000000004,"LINESTRING (4.619216 45.5306482, 4.6192321 45.5306088, 4.6193421 45.5304547, 4.6193835 45.5303987)",,,,,
"[757262910, 154858991]",False,,,Rue Rochefolle,residential,True,160.789,"LINESTRING (4.619216 45.5306482, 4.6191491 45.5307279, 4.6187255 45.5306077, 4.6186344 45.5305662, 4.6185509 45.5305237, 4.6183383 45.5304886, 4.6181634 45.530489, 4.6178494 45.5305231, 4.6176271 45.5304247, 4.6175654 45.5303594, 4.6175425 45.5302981, 4.6175751 45.5302416)",,,,,
280330538,True,1,,Rue Jean Jaurès,tertiary,False,49.076,"LINESTRING (4.6193835 45.5303987, 4.6191153 45.5302975, 4.6188642 45.5302026, 4.6188289 45.5301893)",,50,,,
13868013,True,,M 88,,secondary,False,9.86,"LINESTRING (4.6227028 45.5308398, 4.6226622 45.5307934, 4.6226508 45.5307601)",roundabout,,,,
154519703,True,,,Rue Dorian,residential,False,16.594,"LINESTRING (4.6227028 45.5308398, 4.6225994 45.5308398, 4.6224972 45.5308676)",,,,,
154519702,True,,,Rue Saint-Jean,residential,False,74.194,"LINESTRING (4.6215692 45.5312293, 4.6216034 45.531175, 4.6219632 45.5306703, 4.621997 45.5306335)",,,,,
234757132,True,,,Rue de Plaisance,residential,False,223.389,"LINESTRING (4.6215692 45.5312293, 4.6215289 45.5312854, 4.6214181 45.5314374, 4.6213832 45.5314693, 4.6213537 45.5314731, 4.6212813 45.5314562, 4.6192804 45.5306896, 4.6192321 45.5306689, 4.619216 45.5306482)",,,,,
