osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access
240168596,False,2,Rue Châtelain,tertiary,50,True,230.26399999999998,"LINESTRING (4.7993902 45.7353319, 4.799351 45.7353643, 4.7992464 45.735389, 4.7981849 45.7355185, 4.7972845 45.7356243, 4.7968969 45.7356814, 4.7965025 45.7357568)",
5105818,False,,Rue Deshay,unclassified,,True,29.019,"LINESTRING (4.799622 45.7355274, 4.7995509 45.7354252, 4.7994806 45.7353709, 4.7993902 45.7353319)",
4236850,False,2,Rue Châtelain,tertiary,50,False,6.544,"LINESTRING (4.7934386 45.736835, 4.7934981 45.7367933)",
4236850,False,2,Rue Châtelain,tertiary,50,True,9.928,"LINESTRING (4.7934386 45.736835, 4.7933503 45.7368996)",
4481803,False,,Rue des Genêts,unclassified,,False,308.678,"LINESTRING (4.7934386 45.736835, 4.7938432 45.7375838, 4.7947737 45.7393901, 4.794801 45.739443)",
144561631,True,,Chemin des Fonts,unclassified,30,False,47.387,"LINESTRING (4.794801 45.739443, 4.7942458 45.7396204)",
4481803,False,,Rue des Genêts,unclassified,,True,308.678,"LINESTRING (4.794801 45.739443, 4.7947737 45.7393901, 4.7938432 45.7375838, 4.7934386 45.736835)",
475524568,False,2,Chemin des Fonts,unclassified,30,True,68.993,"LINESTRING (4.794801 45.739443, 4.7954329 45.7392765, 4.7956334 45.7392251)",
2141040,False,,Rue des Myosotis,unclassified,,False,186.454,"LINESTRING (4.7962561 45.7390359, 4.7956812 45.7374078)",
475524568,False,2,Chemin des Fonts,unclassified,30,False,52.706,"LINESTRING (4.7962561 45.7390359, 4.7956334 45.7392251)",
475524568,False,2,Chemin des Fonts,unclassified,30,True,45.167,"LINESTRING (4.7962561 45.7390359, 4.7963497 45.7390174, 4.7967104 45.7389462, 4.7968161 45.7389253)",
2141040,False,,Rue des Myosotis,unclassified,,True,186.454,"LINESTRING (4.7956812 45.7374078, 4.7962561 45.7390359)",
"[836526710, 139669295]",False,2,Avenue du 11 Novembre 1918,tertiary,50,True,340.82199999999995,"LINESTRING (4.7968161 45.7389253, 4.7967926 45.7388662, 4.7966948 45.7386205, 4.7964334 45.7379746, 4.795946 45.7367702, 4.7959028 45.7366634, 4.7958209 45.7364683, 4.7958029 45.7364296, 4.7957527 45.7363132, 4.7956487 45.7360974, 4.7955931 45.7359819)",
144561630,False,2,Chemin des Fonts,unclassified,50,True,41.099000000000004,"LINESTRING (4.7968161 45.7389253, 4.7969806 45.7388944, 4.7973275 45.7388293)",
"[180701084, 180701085]",False,,Avenue Maurice Jarrosson,tertiary,,True,153.608,"LINESTRING (4.7968161 45.7389253, 4.7968563 45.7390265, 4.7968829 45.7390936, 4.7969332 45.7392208, 4.7972966 45.7401347, 4.797345 45.7402565)",
475524568,False,2,Chemin des Fonts,unclassified,30,False,45.167,"LINESTRING (4.7968161 45.7389253, 4.7967104 45.7389462, 4.7963497 45.7390174, 4.7962561 45.7390359)",
4236850,False,2,Rue Châtelain,tertiary,50,False,151.60999999999999,"LINESTRING (4.7894906 45.740048, 4.7895597 45.7399793, 4.7897485 45.7398147, 4.7899757 45.7396238, 4.7902685 45.7394341, 4.7906381 45.7391583, 4.7908081 45.739045)",
4236850,False,2,Rue Châtelain,tertiary,50,False,61.498999999999995,"LINESTRING (4.7917155 45.7382977, 4.7918438 45.7381976, 4.792213 45.7378675)",
4236850,False,2,Rue Châtelain,tertiary,50,True,109.14399999999999,"LINESTRING (4.7917155 45.7382977, 4.7913971 45.7385248, 4.7913427 45.7385636, 4.7912341 45.7386469, 4.7911479 45.7387319, 4.7909159 45.7389458, 4.7908081 45.739045)",
