osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes
317632445,Rue Bacar Malidi,residential,,False,False,28.024,"LINESTRING (45.0597288 -12.7204945, 45.0599859 -12.7204696)",,,
520567456,Rue Be Sodrou,residential,,False,True,132.352,"LINESTRING (45.0597288 -12.7204945, 45.0597503 -12.7206828, 45.0597583 -12.7208078, 45.0597447 -12.7208933, 45.0597147 -12.7209661, 45.0596739 -12.7210069, 45.0596376 -12.7210393, 45.0595933 -12.7210537, 45.0595464 -12.7210648, 45.0594974 -12.7210661, 45.0591528 -12.7210243, 45.059028 -12.7209903)",,,
533176421,Rue Be Sodrou,residential,,False,False,138.216,"LINESTRING (45.0597288 -12.7204945, 45.0592647 -12.7205246, 45.059142 -12.7205141, 45.0589644 -12.7204696, 45.0588772 -12.7204494, 45.0588249 -12.7204474, 45.0587699 -12.7204591, 45.0587062 -12.7204807, 45.0586076 -12.7205226, 45.0584902 -12.7205756)",,,
317632444,Rue Said Bowou,residential,,False,False,123.572,"LINESTRING (45.0584902 -12.7205756, 45.0584326 -12.7205213, 45.0582837 -12.7204585, 45.0579706 -12.7203637, 45.0576729 -12.7202708, 45.0575374 -12.7202204, 45.0574918 -12.7201877, 45.0574656 -12.7201406)",,,
533176421,Rue Be Sodrou,residential,,False,True,138.216,"LINESTRING (45.0584902 -12.7205756, 45.0586076 -12.7205226, 45.0587062 -12.7204807, 45.0587699 -12.7204591, 45.0588249 -12.7204474, 45.0588772 -12.7204494, 45.0589644 -12.7204696, 45.059142 -12.7205141, 45.0592647 -12.7205246, 45.0597288 -12.7204945)",,,
533176422,Rue Be Sodrou,residential,,False,False,92.894,"LINESTRING (45.0584902 -12.7205756, 45.0584709 -12.7206011, 45.0584621 -12.7206423, 45.0584568 -12.7207254, 45.0584621 -12.7207601, 45.0584802 -12.7207921, 45.0585111 -12.7208274, 45.0585673 -12.7208508, 45.0586237 -12.7208608, 45.0588255 -12.7208701, 45.0588708 -12.7208729, 45.0589057 -12.720883, 45.0589489 -12.7209039, 45.0589985 -12.7209347, 45.0590203 -12.7209641, 45.059028 -12.7209903)",,,
317632444,Rue Said Bowou,residential,,False,True,123.572,"LINESTRING (45.0574656 -12.7201406, 45.0574918 -12.7201877, 45.0575374 -12.7202204, 45.0576729 -12.7202708, 45.0579706 -12.7203637, 45.0582837 -12.7204585, 45.0584326 -12.7205213, 45.0584902 -12.7205756)",,,
317632485,Rue Bacar Vagabou,residential,,False,False,128.958,"LINESTRING (45.0604469 -12.7234215, 45.0606689 -12.723273, 45.0607721 -12.7231952, 45.0608245 -12.7231409, 45.0608473 -12.7231102, 45.0608908 -12.7230513, 45.0609445 -12.7230016, 45.0610813 -12.7228936, 45.0611269 -12.7228505, 45.0611611 -12.7228139, 45.0611919 -12.7227642, 45.061216 -12.7227074, 45.0612335 -12.7226517, 45.0612505 -12.7226027)",,,
533176427,Rue Batsimi,residential,,False,False,127.70100000000001,"LINESTRING (45.0604469 -12.7234215, 45.0606474 -12.7234536, 45.0606877 -12.723468, 45.0607178 -12.7234876, 45.0607286 -12.7235118, 45.0607299 -12.7236007, 45.0607266 -12.7236537, 45.0606964 -12.7237316, 45.0606696 -12.7237852, 45.060625 -12.7238414, 45.0604737 -12.7240043, 45.060455 -12.7240155, 45.0604317 -12.7240294, 45.060408 -12.7240436, 45.0603887 -12.7242384)",,,
533176427,Rue Batsimi,residential,,False,True,79.48,"LINESTRING (45.0604469 -12.7234215, 45.060064 -12.7233581, 45.0599916 -12.7233522, 45.0599273 -12.7233594, 45.0598173 -12.7233927, 45.0597281 -12.7234141)",,,
