osmid,highway,oneway,reversed,length,name,geometry,lanes
231088982,residential,False,False,48.523,,"LINESTRING (45.3145762 34.6311174, 45.3149777 34.6308323)",
231088992,residential,False,True,38.918,,"LINESTRING (45.3145762 34.6311174, 45.3148802 34.6313622)",
231088992,residential,False,False,93.555,,"LINESTRING (45.3145762 34.6311174, 45.3145406 34.6310888, 45.3138501 34.630525)",
231069990,residential,False,False,52.752,,"LINESTRING (45.3202594 34.6289439, 45.3198572 34.628604)",
231069990,residential,False,True,51.379,,"LINESTRING (45.3202594 34.6289439, 45.3206512 34.6292749)",
231088984,residential,False,True,74.302,,"LINESTRING (45.3202594 34.6289439, 45.3196875 34.6294183)",
231069990,residential,False,False,52.73,,"LINESTRING (45.3190525 34.6279239, 45.3186504 34.6275842)",
231069990,residential,False,True,50.001,,"LINESTRING (45.3190525 34.6279239, 45.3194337 34.6282461)",
231088989,residential,False,False,52.885,,"LINESTRING (45.3190525 34.6279239, 45.3194686 34.6275938)",
230469125,secondary,True,False,46.508,جادەی شقارتەکە,"LINESTRING (45.3210161 34.6275974, 45.3206623 34.6272971)",
231088987,residential,False,True,52.281,,"LINESTRING (45.3210161 34.6275974, 45.3209626 34.6276397, 45.3206039 34.627923)",
231088994,residential,False,False,75.882,,"LINESTRING (45.3192723 34.6290878, 45.3198572 34.628604)",
231088994,residential,False,True,53.213,,"LINESTRING (45.3192723 34.6290878, 45.3188495 34.6294164)",
231088996,residential,False,False,52.856,,"LINESTRING (45.3192723 34.6290878, 45.3196875 34.6294183)",
231088996,residential,False,True,129.513,,"LINESTRING (45.3192723 34.6290878, 45.3186823 34.6285916, 45.3182711 34.6289186)",
231088991,residential,False,False,43.736,,"LINESTRING (45.3222195 34.6292967, 45.3218755 34.6295698)",
231088991,residential,False,True,52.475,,"LINESTRING (45.3222195 34.6292967, 45.3226322 34.628969)",
231088988,residential,False,True,45.004999999999995,,"LINESTRING (45.3222195 34.6292967, 45.3222979 34.6293622, 45.3225646 34.6295851)",
231069990,residential,False,False,55.701,,"LINESTRING (45.3224503 34.6308178, 45.3220295 34.6304558)",
231069990,residential,False,True,49.98,,"LINESTRING (45.3224503 34.6308178, 45.3228279 34.6311426)",
231089009,residential,False,False,59.544,,"LINESTRING (45.3224503 34.6308178, 45.3229126 34.6304409)",
231069990,residential,False,False,50.001,,"LINESTRING (45.3194337 34.6282461, 45.3190525 34.6279239)",
231069990,residential,False,True,48.223,,"LINESTRING (45.3194337 34.6282461, 45.3198014 34.6285568)",
231089001,residential,False,False,154.183,,"LINESTRING (45.3194337 34.6282461, 45.3206623 34.6272971)",
231088987,residential,False,True,48.964,,"LINESTRING (45.3206039 34.627923, 45.3202178 34.6282279)",
231089006,residential,False,True,36.116,,"LINESTRING (45.3206039 34.627923, 45.3208804 34.6281548)",
231088987,residential,False,False,52.281,,"LINESTRING (45.3206039 34.627923, 45.3209626 34.6276397, 45.3210161 34.6275974)",
231069985,tertiary,False,False,49.899,,"LINESTRING (45.3160345 34.631068, 45.3156486 34.6307509)",
231069985,tertiary,False,True,51.506,,"LINESTRING (45.3160345 34.631068, 45.3164278 34.6313994)",
231088979,residential,False,True,153.104,,"LINESTRING (45.3160345 34.631068, 45.314828 34.6320221)",
230469120,primary,True,False,53.014,شەقامی شەهید سەرکەوت,"LINESTRING (45.3142233 34.6301603, 45.3138501 34.630525)",
231089004,residential,False,True,101.725,,"LINESTRING (45.3142233 34.6301603, 45.3142928 34.630221, 45.3149777 34.6308323)",
231069984,residential,False,False,50.73,,"LINESTRING (45.314828 34.6320221, 45.3152061 34.6323558)",
231069984,residential,False,True,50.639,,"LINESTRING (45.314828 34.6320221, 45.3144371 34.6316997)",
231088979,residential,False,False,153.104,,"LINESTRING (45.314828 34.6320221, 45.3160345 34.631068)",
231088997,residential,False,False,51.316,,"LINESTRING (45.3152532 34.6310782, 45.3156486 34.6307509)",
231088997,residential,False,True,46.497,,"LINESTRING (45.3152532 34.6310782, 45.3148802 34.6313622)",
