osmid,oneway,lanes,name,highway,reversed,length,geometry
401504594,False,,16 Calle,residential,False,81.825,"LINESTRING (-89.82612 16.8123928, -89.8254181 16.8120927)"
401504594,False,,16 Calle,residential,True,103.763,"LINESTRING (-89.82612 16.8123928, -89.8265216 16.8125174, -89.8270274 16.8127306)"
401504596,False,,15 Calle,residential,True,82.301,"LINESTRING (-89.8279311 16.8125435, -89.8278081 16.8124429, -89.8273537 16.8120513)"
401504565,False,,1a Avenida A,residential,True,83.137,"LINESTRING (-89.8270274 16.8127306, -89.8273537 16.8120513)"
401504594,False,,16 Calle,residential,False,103.763,"LINESTRING (-89.8270274 16.8127306, -89.8265216 16.8125174, -89.82612 16.8123928)"
249819140,False,,8a Calle,residential,False,72.683,"LINESTRING (-89.8264719 16.8040439, -89.827009 16.8044475)"
249810920,False,,5a Avenida,residential,True,75.489,"LINESTRING (-89.8242389 16.8052572, -89.8243329 16.8059301)"
825934135,False,,,residential,False,139.852,"LINESTRING (-89.8242389 16.8052572, -89.8229387 16.8054379)"
"[249810920, 249819142]",False,,"['5a Avenida', '8a Calle']",residential,False,258.836,"LINESTRING (-89.8242389 16.8052572, -89.824039 16.80431, -89.8240599 16.8042047, -89.8241266 16.8041439, -89.8253077 16.8038587)"
253203845,False,,6a Avenida,residential,False,69.996,"LINESTRING (-89.8229387 16.8054379, -89.8230588 16.8060568)"
253203845,False,,6a Avenida,residential,True,31.93,"LINESTRING (-89.8229387 16.8054379, -89.8228855 16.8051553)"
825934135,False,,,residential,True,139.852,"LINESTRING (-89.8229387 16.8054379, -89.8242389 16.8052572)"
1103677120,True,,Bulevar Santa Ana,tertiary,False,96.389,"LINESTRING (-89.8242159 16.8089108, -89.8248974 16.8086005, -89.8250359 16.8085432)"
1103677121,True,,13 Calle,residential,False,90.17500000000001,"LINESTRING (-89.8242159 16.8089108, -89.8244038 16.8089317, -89.8250618 16.8089311)"
249810352,True,,10a Calle,tertiary,False,77.076,"LINESTRING (-89.8268727 16.8066303, -89.8261495 16.8066647)"
1103702456,False,,,residential,False,53.35,"LINESTRING (-89.8268727 16.8066303, -89.826908 16.8061517)"
1103702456,False,,,residential,True,5.439,"LINESTRING (-89.8268727 16.8066303, -89.8268714 16.8066792)"
249819143,False,,9a Calle,residential,False,17.803,"LINESTRING (-89.826908 16.8061517, -89.8267542 16.8060888)"
249819143,False,,9a Calle,residential,True,74.869,"LINESTRING (-89.826908 16.8061517, -89.8275578 16.8064094)"
1103702456,False,,,residential,True,53.35,"LINESTRING (-89.826908 16.8061517, -89.8268727 16.8066303)"
1103702456,False,,,residential,False,5.439,"LINESTRING (-89.8268714 16.8066792, -89.8268727 16.8066303)"
1130533472,False,,,tertiary_link,True,5.18,"LINESTRING (-89.8237565 16.8069115, -89.8237511 16.8068652)"
1130533473,True,,10a Calle,tertiary,False,91.582,"LINESTRING (-89.8237565 16.8069115, -89.8246122 16.8068258)"
253203851,False,,8a Avenida,residential,False,5.422,"LINESTRING (-89.8205227 16.8072217, -89.8205174 16.8071732)"
1130533473,True,,10a Calle,tertiary,False,15.456,"LINESTRING (-89.8205227 16.8072217, -89.8206675 16.8072114)"
249810922,False,,3a Avenida,residential,False,4.993,"LINESTRING (-89.8261527 16.8067095, -89.8261495 16.8066647)"
249810922,False,,3a Avenida,residential,True,40.892,"LINESTRING (-89.8261527 16.8067095, -89.8261856 16.8070759)"
1130533473,True,,10a Calle,tertiary,False,76.577,"LINESTRING (-89.8261527 16.8067095, -89.8268714 16.8066792)"
401504597,False,,4a Avenida,residential,False,44.601,"LINESTRING (-89.8255702 16.8067555, -89.8256099 16.8071548)"
401504597,False,,4a Avenida,residential,True,4.626,"LINESTRING (-89.8255702 16.8067555, -89.8255617 16.8067147)"
1130533473,True,,10a Calle,tertiary,False,62.215,"LINESTRING (-89.8255702 16.8067555, -89.8261527 16.8067095)"
249810920,False,,5a Avenida,residential,False,4.778,"LINESTRING (-89.8246122 16.8068258, -89.8245892 16.8067889)"
1130533473,True,,10a Calle,tertiary,False,102.274,"LINESTRING (-89.8246122 16.8068258, -89.8255702 16.8067555)"
249810920,False,,5a Avenida,residential,True,54.012,"LINESTRING (-89.8246122 16.8068258, -89.8246501 16.8068865, -89.8247536 16.8072142, -89.8248086 16.8072643)"
