osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,junction,bridge
103772455,False,,9 აპრილის ქუჩა,residential,,,False,53.75,"LINESTRING (43.6036744 41.9972469, 43.6043194 41.9973092)",,
103772455,False,,9 აპრილის ქუჩა,residential,,,True,19.56,"LINESTRING (43.6036744 41.9972469, 43.6034393 41.9972265)",,
103771439,False,,მაკაშვილის ქუჩა,residential,,,False,100.101,"LINESTRING (43.6036744 41.9972469, 43.6036175 41.9975359, 43.6035268 41.9977443, 43.6032783 41.9980868)",,
617691368,True,,აღმაშენებლის ქუჩა (Aghmashenebeli St),secondary,,,False,8.776,"LINESTRING (43.5992017 41.9971724, 43.5993075 41.9971792)",,
103772342,True,,,secondary,30,yes,False,14.604999999999999,"LINESTRING (43.5992017 41.9971724, 43.5992169 41.9971783, 43.5992314 41.997185, 43.5992452 41.9971925, 43.5992583 41.9972007, 43.5992704 41.9972097, 43.5992816 41.9972193, 43.5992919 41.9972295, 43.599301 41.9972402, 43.5993091 41.9972514, 43.5993206 41.997266)",roundabout,
122101057,False,2,გაგარინის ქუჩა,tertiary,50,yes,False,42.117,"LINESTRING (43.5958861 42.0013345, 43.5954115 42.0011964)",,
122101057,False,2,გაგარინის ქუჩა,tertiary,50,yes,True,40.788,"LINESTRING (43.5958861 42.0013345, 43.5963457 42.0014683)",,
103771617,False,,,residential,,,True,197.47899999999998,"LINESTRING (43.5958861 42.0013345, 43.5960952 42.0005555, 43.5960148 42.0005223, 43.5960849 42.0000156, 43.5960302 41.9997022, 43.5959699 41.9996266)",,
103772342,True,,,secondary,30,yes,False,14.969000000000003,"LINESTRING (43.5988929 41.9973878, 43.5988822 41.9973621, 43.5988772 41.9973354, 43.5988779 41.9973085, 43.5988844 41.997282, 43.5988964 41.9972566)",roundabout,
103771988,False,,სანაპიროს ქუჩა,residential,,,False,64.249,"LINESTRING (43.6027775 41.9960839, 43.6022978 41.9959338, 43.6020807 41.9958316)",,
103771988,False,,სანაპიროს ქუჩა,residential,,,True,137.99599999999998,"LINESTRING (43.6027775 41.9960839, 43.6031124 41.9961397, 43.6034992 41.9961269, 43.60386 41.9961046, 43.60443 41.9961732)",,
103772012,False,,,residential,,,False,135.892,"LINESTRING (43.6027775 41.9960839, 43.6033225 41.9953439, 43.6038276 41.9952954)",,
103771370,False,,26 მაისის ქუჩა,residential,,,False,108.627,"LINESTRING (43.5942063 41.9931581, 43.5929277 41.9929316)",,
103771370,False,,26 მაისის ქუჩა,residential,,,True,118.618,"LINESTRING (43.5942063 41.9931581, 43.5956068 41.9933916)",,
139076689,False,,გოგებაშვილის ქუჩა (Gogebashvili St),tertiary,,,False,10.625,"LINESTRING (43.5959699 41.9996266, 43.596081 41.9995785)",,
139076689,False,,გოგებაშვილის ქუჩა (Gogebashvili St),tertiary,,,True,29.643,"LINESTRING (43.5959699 41.9996266, 43.5956638 41.9997656)",,
103771617,False,,,residential,,,False,197.47899999999998,"LINESTRING (43.5959699 41.9996266, 43.5960302 41.9997022, 43.5960849 42.0000156, 43.5960148 42.0005223, 43.5960952 42.0005555, 43.5958861 42.0013345)",,
103771501,False,,ცოტნე დადიანის ქუჩა,residential,,,False,209.163,"LINESTRING (43.5963457 42.0014683, 43.5970668 41.9996652)",,
122101057,False,2,გაგარინის ქუჩა,tertiary,50,yes,False,40.788,"LINESTRING (43.5963457 42.0014683, 43.5958861 42.0013345)",,
279418543,False,2,თამარ მეფის ქუჩა,tertiary,50,yes,False,49.088,"LINESTRING (43.6025706 42.0005905, 43.6031516 42.0006825)",,
