osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry
300906307,,Mistelvägen,residential,40,False,True,69.592,,"LINESTRING (14.113683 56.5520064, 14.1138321 56.5519627, 14.1139953 56.5519414, 14.1140963 56.551951, 14.1141417 56.5520067, 14.1141068 56.5520528, 14.114051 56.5520835, 14.1138454 56.552072, 14.1137443 56.5520509, 14.113683 56.5520064)"
300906307,,Mistelvägen,residential,40,False,False,84.366,,"LINESTRING (14.113683 56.5520064, 14.1136548 56.5520147, 14.1123351 56.5518728)"
276050991,,Bävervägen,residential,30,False,False,17.634,,"LINESTRING (14.1190631 56.5544069, 14.1191085 56.5542503)"
1086056116,,,residential,30,False,False,27.114,,"LINESTRING (14.1190631 56.5544069, 14.1195034 56.5544308)"
276050991,,Bävervägen,residential,30,False,True,59.80499999999999,,"LINESTRING (14.1190631 56.5544069, 14.1190228 56.5545463, 14.1194427 56.5545887, 14.1195034 56.5544308)"
1086056116,,,residential,30,False,True,27.114,,"LINESTRING (14.1195034 56.5544308, 14.1190631 56.5544069)"
276050991,,Bävervägen,residential,30,False,False,59.80499999999999,,"LINESTRING (14.1195034 56.5544308, 14.1194427 56.5545887, 14.1190228 56.5545463, 14.1190631 56.5544069)"
276050991,,Bävervägen,residential,30,False,True,16.442999999999998,,"LINESTRING (14.1195034 56.5544308, 14.1195475 56.5543162, 14.1195556 56.5542858)"
276050991,,Bävervägen,residential,30,False,True,17.634,,"LINESTRING (14.1191085 56.5542503, 14.1190631 56.5544069)"
1086056117,,,residential,30,False,False,27.683,,"LINESTRING (14.1191085 56.5542503, 14.1195556 56.5542858)"
276050991,,Bävervägen,residential,30,False,False,49.375,,"LINESTRING (14.1191085 56.5542503, 14.1191447 56.5541251, 14.1192665 56.5540237, 14.1196165 56.5540564)"
276050991,,Bävervägen,residential,30,False,True,25.78,,"LINESTRING (14.1195556 56.5542858, 14.1196165 56.5540564)"
