osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
39799616,M 2115,Köpmannagatan,tertiary,40,False,True,202.39100000000002,"LINESTRING (14.077897 56.2524435, 14.0776929 56.251206, 14.0775878 56.2506315)",
39799629,,Röingevägen,residential,30,False,False,190.76999999999998,"LINESTRING (14.077897 56.2524435, 14.0778138 56.2524434, 14.0774813 56.2524557, 14.0772075 56.2524313, 14.0767266 56.2523593, 14.0763196 56.2523035, 14.0759426 56.2522754, 14.0757712 56.2522702, 14.0748465 56.2522534)",
39799629,,Röingevägen,residential,30,False,True,85.71700000000001,"LINESTRING (14.077897 56.2524435, 14.0779805 56.2524436, 14.0784993 56.2524317, 14.0792835 56.2524136)",
23209361,119,Västergatan,secondary,40,False,True,125.794,"LINESTRING (14.0714153 56.2525538, 14.0714962 56.2529023, 14.0715355 56.2530715, 14.0715716 56.2532271, 14.0716758 56.2536758)",
39799631,,Snapphanegatan,residential,30,False,False,77.511,"LINESTRING (14.0714153 56.2525538, 14.0713247 56.2525625, 14.0701779 56.2526694)",
39799631,,Snapphanegatan,residential,30,False,True,78.75800000000001,"LINESTRING (14.0714153 56.2525538, 14.0714893 56.2525467, 14.0723754 56.2524666, 14.0726736 56.2524397)",
39799629,,Röingevägen,residential,30,False,True,190.76999999999998,"LINESTRING (14.0748465 56.2522534, 14.0757712 56.2522702, 14.0759426 56.2522754, 14.0763196 56.2523035, 14.0767266 56.2523593, 14.0772075 56.2524313, 14.0774813 56.2524557, 14.0778138 56.2524434, 14.077897 56.2524435)",
"[1145458275, 39799630]",,Östra Järnvägsgatan,residential,30,False,False,203.018,"LINESTRING (14.0748465 56.2522534, 14.0751491 56.2533245, 14.0752339 56.2536244, 14.0752695 56.2537506, 14.0753201 56.2539297, 14.0753561 56.2540571)",
39799631,,Snapphanegatan,residential,30,False,False,60.433,"LINESTRING (14.0748465 56.2522534, 14.0747298 56.2522487, 14.0745398 56.2522564, 14.0738797 56.2523227)",
39799610,119,Tydingegatan,secondary,40,False,True,35.85,"LINESTRING (14.0753561 56.2540571, 14.0758503 56.2540136, 14.0759293 56.2540066)",
