osmid,highway,oneway,reversed,length,ref,junction,geometry,name
185860474,unclassified,False,False,184.365,,,"LINESTRING (9.7769532 7.8729115, 9.7772233 7.8712752)",
185860474,unclassified,False,True,77.501,,,"LINESTRING (9.7769532 7.8729115, 9.7768081 7.8735935)",
185860487,residential,False,False,94.812,,,"LINESTRING (9.7769532 7.8729115, 9.7778138 7.872929)",
185860487,residential,False,True,132.895,,,"LINESTRING (9.7769532 7.8729115, 9.7757467 7.8729036)",
181916653,tertiary,False,False,168.346,,,"LINESTRING (9.7778138 7.872929, 9.7781678 7.8714562)",
185860487,residential,False,False,138.465,,,"LINESTRING (9.7778138 7.872929, 9.7790708 7.8729136)",
185860487,residential,False,True,94.812,,,"LINESTRING (9.7778138 7.872929, 9.7769532 7.8729115)",
181916653,tertiary,False,True,88.352,,,"LINESTRING (9.7778138 7.872929, 9.7777012 7.8732688, 9.7776378 7.8735368, 9.7776333 7.8736984)",
181916655,primary,False,False,109.903,F242,,"LINESTRING (9.7806259 7.873037, 9.7800524 7.8738458)",Takum - Bukuru Federal Road
181916655,primary,False,True,60.078,F242,,"LINESTRING (9.7806259 7.873037, 9.7809364 7.8725928)",Takum - Bukuru Federal Road
185860487,residential,False,True,42.513,,,"LINESTRING (9.7806259 7.873037, 9.7802447 7.8729771)",
185860474,unclassified,False,False,77.501,,,"LINESTRING (9.7768081 7.8735935, 9.7769532 7.8729115)",
185860474,unclassified,False,True,69.12,,,"LINESTRING (9.7768081 7.8735935, 9.7767083 7.8742072)",
476880268,unclassified,False,False,68.181,,,"LINESTRING (9.7768081 7.8735935, 9.7761918 7.8736507)",
476880268,unclassified,False,True,91.639,,,"LINESTRING (9.7768081 7.8735935, 9.7776333 7.8736984)",
185860488,residential,False,False,82.318,,,"LINESTRING (9.7791184 7.8736524, 9.7790708 7.8729136)",
185860488,residential,False,True,42.061,,,"LINESTRING (9.7791184 7.8736524, 9.7791427 7.8740299)",
476880268,unclassified,False,False,74.514,,,"LINESTRING (9.7791184 7.8736524, 9.7784434 7.8736969)",
476880268,unclassified,False,False,82.05,,,"LINESTRING (9.7755871 7.8736876, 9.7748481 7.8737804)",
476880268,unclassified,False,True,66.732,,,"LINESTRING (9.7755871 7.8736876, 9.7761918 7.8736507)",
558733005,residential,False,False,88.932,,,"LINESTRING (9.7755871 7.8736876, 9.7757467 7.8729036)",
558733007,residential,False,True,74.371,,,"LINESTRING (9.7755871 7.8736876, 9.7754706 7.8743464)",
185860476,residential,False,False,42.519,,,"LINESTRING (9.7784434 7.8736969, 9.7784724 7.8740782)",
476880268,unclassified,False,False,89.23,,,"LINESTRING (9.7784434 7.8736969, 9.7776333 7.8736984)",
476880268,unclassified,False,True,74.514,,,"LINESTRING (9.7784434 7.8736969, 9.7791184 7.8736524)",
185860488,residential,False,False,73.281,,,"LINESTRING (9.779185 7.8746876, 9.7791427 7.8740299)",
185860488,residential,False,True,24.523,,,"LINESTRING (9.779185 7.8746876, 9.7793524 7.874833)",
559390853,residential,False,True,73.173,,,"LINESTRING (9.779185 7.8746876, 9.7785223 7.8747336)",
185860476,residential,False,True,73.084,,,"LINESTRING (9.7785223 7.8747336, 9.7784724 7.8740782)",
559390853,residential,False,False,73.173,,,"LINESTRING (9.7785223 7.8747336, 9.779185 7.8746876)",
559390853,residential,False,True,88.226,,,"LINESTRING (9.7785223 7.8747336, 9.7777246 7.8748054)",
181916653,tertiary,False,False,70.13,,,"LINESTRING (9.7777246 7.8748054, 9.7776577 7.8741782)",
559390853,residential,False,False,88.226,,,"LINESTRING (9.7777246 7.8748054, 9.7785223 7.8747336)",
559390854,residential,False,True,73.079,,,"LINESTRING (9.7777246 7.8748054, 9.7770673 7.8748948)",
181916655,primary,False,False,19.576,F242,,"LINESTRING (9.7793524 7.874833, 9.7792546 7.87498)",Takum - Bukuru Federal Road
181916655,primary,False,True,134.144,F242,,"LINESTRING (9.7793524 7.874833, 9.7800524 7.8738458)",Takum - Bukuru Federal Road
185860488,residential,False,False,24.523,,,"LINESTRING (9.7793524 7.874833, 9.779185 7.8746876)",
185860474,unclassified,False,False,84.423,,,"LINESTRING (9.7765985 7.8749586, 9.7767083 7.8742072)",
185860486,residential,False,True,67.973,,,"LINESTRING (9.7765985 7.8749586, 9.7759837 7.8750115)",
559390854,residential,False,False,52.122,,,"LINESTRING (9.7765985 7.8749586, 9.7770673 7.8748948)",
555639807,secondary,True,False,54.687,,,"LINESTRING (9.7819714 7.8669897, 9.7818252 7.8665197)",
