osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,bridge,maxspeed
479525322,Mill Road,tertiary,False,False,30.532,,"LINESTRING (-57.948262 48.952131, -57.9480386 48.9518989)",,,
479525322,Mill Road,tertiary,False,True,111.327,,"LINESTRING (-57.948262 48.952131, -57.9483143 48.9521813, -57.9489676 48.953018)",,,
483092166,,secondary_link,True,False,41.768,,"LINESTRING (-57.948262 48.952131, -57.9482563 48.9519895, -57.948327 48.9518919, -57.9484539 48.9517974)",,,
128361841,Main Street,secondary,False,False,32.617,2,"LINESTRING (-57.9484539 48.9517974, -57.9482437 48.9518291, -57.9480386 48.9518989)",,,
"[128361841, 5068758, 128361839]",Main Street,secondary,False,True,108.785,2,"LINESTRING (-57.9484539 48.9517974, -57.948627 48.9517818, -57.9490301 48.9517655, -57.9494708 48.9517558, -57.9497205 48.9517504, -57.9499404 48.9517405)",,yes,
128323250,Lewin Parkway,primary,False,True,47.578,,"LINESTRING (-57.9524505 48.9531043, -57.9521864 48.9531074, -57.951799 48.9531034)",450-2,,80
483092168,,primary_link,True,False,79.241,,"LINESTRING (-57.9510776 48.9531068, -57.951492 48.9531877, -57.9515846 48.9532066, -57.9517299 48.9532517, -57.9518052 48.9532969, -57.9519938 48.9534443)",,,
1160573664,Lewin Parkway,primary,False,False,52.703,,"LINESTRING (-57.9510776 48.9531068, -57.9514969 48.9530975, -57.951799 48.9531034)",450-2,,80
"[1160573664, 128323259, 5067950]",Lewin Parkway,primary,False,"[False, True]",145.14600000000002,,"LINESTRING (-57.9510776 48.9531068, -57.9504922 48.9531367, -57.9497236 48.9532023, -57.9492285 48.9533262, -57.9491388 48.9533481)","['450-1', '450-2']",yes,80
128361841,Main Street,secondary,False,True,45.178,2,"LINESTRING (-57.9449893 48.9533835, -57.945303 48.9530333)",,,
492639916,Gullage Avenue,unclassified,False,False,44.964,,"LINESTRING (-57.9449893 48.9533835, -57.9455191 48.9535896)",,,
128361841,Main Street,secondary,False,False,208.26900000000003,2,"LINESTRING (-57.9449893 48.9533835, -57.9449071 48.9534791, -57.9448631 48.9535397, -57.9448236 48.9536004, -57.9447581 48.9537048, -57.9447049 48.9538097, -57.9446368 48.9539719, -57.9446136 48.9540271, -57.9445667 48.9541314, -57.9444246 48.9544471, -57.9443934 48.9545059, -57.9443579 48.9545599, -57.9442847 48.9546319, -57.9441522 48.9547398, -57.9439402 48.9548915, -57.9438442 48.9549657, -57.9438229 48.9549844, -57.9437585 48.9550405)",,,
492639916,Gullage Avenue,unclassified,False,True,44.964,,"LINESTRING (-57.9455191 48.9535896, -57.9449893 48.9533835)",,,
5068757,Mt Bernard Avenue,secondary,False,False,290.059,,"LINESTRING (-57.9486024 48.9489649, -57.9487435 48.949204, -57.9488845 48.9494019, -57.9490924 48.9496725, -57.9494076 48.9500825, -57.9497465 48.950508, -57.9499363 48.9507416, -57.95012 48.9509762, -57.9501274 48.9509882, -57.9502343 48.9511629, -57.9503052 48.9513173)",,,
492827318,Bell's Hill,unclassified,False,True,143.85899999999998,,"LINESTRING (-57.9486024 48.9489649, -57.9486795 48.948986, -57.9489393 48.9490591, -57.9490707 48.9491021, -57.949138 48.9491199, -57.9492129 48.9491331, -57.949324 48.9491478, -57.9494577 48.9491543, -57.9495302 48.9491459, -57.9496074 48.9491332, -57.9496845 48.9491184, -57.9497037 48.9491146, -57.9497723 48.9490975, -57.9498356 48.9490794, -57.9499088 48.9490488, -57.9499779 48.9490163, -57.9501138 48.948942, -57.9503416 48.9487992)",,,
5068757,Mt Bernard Avenue,secondary,False,False,8.018,,"LINESTRING (-57.9503052 48.9513173, -57.9503395 48.9513858)",,,
5068757,Mt Bernard Avenue,secondary,False,True,290.059,,"LINESTRING (-57.9503052 48.9513173, -57.9502343 48.9511629, -57.9501274 48.9509882, -57.95012 48.9509762, -57.9499363 48.9507416, -57.9497465 48.950508, -57.9494076 48.9500825, -57.9490924 48.9496725, -57.9488845 48.9494019, -57.9487435 48.949204, -57.9486024 48.9489649)",,,
492880365,,unclassified,False,False,93.84,,"LINESTRING (-57.9503052 48.9513173, -57.9500321 48.9513359, -57.9497598 48.9513392, -57.9496879 48.9513256, -57.9496307 48.9512947, -57.9495297 48.9511734, -57.9494708 48.9511027, -57.9493527 48.9509535)",,,
492880365,,unclassified,False,True,93.84,,"LINESTRING (-57.9493527 48.9509535, -57.9494708 48.9511027, -57.9495297 48.9511734, -57.9496307 48.9512947, -57.9496879 48.9513256, -57.9497598 48.9513392, -57.9500321 48.9513359, -57.9503052 48.9513173)",,,
5069372,Legion Lane,unclassified,False,False,108.81200000000001,,"LINESTRING (-57.9446867 48.9526701, -57.9444105 48.9529728, -57.9443437 48.9530205, -57.9442339 48.9530011, -57.9441117 48.952955, -57.9436437 48.952709)",,,
5069373,West Street,tertiary,True,False,62.55,,"LINESTRING (-57.9446867 48.9526701, -57.9448191 48.9528377, -57.9449144 48.9528859, -57.945039 48.9529355, -57.945303 48.9530333)",,,
5077101,Humber Road,tertiary,False,False,55.580999999999996,,"LINESTRING (-57.9414739 48.9568128, -57.9415918 48.9567097, -57.941938 48.9564166)",,,
5077101,Humber Road,tertiary,False,True,71.592,,"LINESTRING (-57.9414739 48.9568128, -57.9410903 48.9571431, -57.9408853 48.9573277)",,,
128334578,Brook Street,unclassified,False,False,28.047,,"LINESTRING (-57.9478937 48.9516653, -57.9480386 48.9518989)",,,
128334578,Brook Street,unclassified,False,True,132.39,,"LINESTRING (-57.9478937 48.9516653, -57.9477868 48.9514588, -57.9476203 48.9512398, -57.9470524 48.9506149)",,,
577362747,,secondary_link,True,False,33.59,,"LINESTRING (-57.9478937 48.9516653, -57.9479055 48.951766, -57.9479008 48.9518615, -57.9478439 48.9519602)",,,
5068758,Main Street,secondary,False,True,40.091,,"LINESTRING (-57.9499404 48.9517405, -57.9504889 48.9517247)",,,
