osmid,highway,oneway,reversed,length,geometry,junction,name
546194990,unclassified,False,True,89.55,"LINESTRING (103.504002 16.4322037, 103.5042363 16.432098, 103.5047926 16.4319382)",,
968365130,residential,False,True,88.646,"LINESTRING (103.504002 16.4322037, 103.5040386 16.432297, 103.5040587 16.432387, 103.5040694 16.4324874, 103.5040721 16.4325594, 103.5040601 16.4326108, 103.5040292 16.4326752, 103.5038374 16.4329234)",,
968365130,residential,False,False,88.64599999999999,"LINESTRING (103.5038374 16.4329234, 103.5040292 16.4326752, 103.5040601 16.4326108, 103.5040721 16.4325594, 103.5040694 16.4324874, 103.5040587 16.432387, 103.5040386 16.432297, 103.504002 16.4322037)",,
968369520,residential,False,True,60.246,"LINESTRING (103.5087077 16.4319233, 103.5086057 16.4319452, 103.5085601 16.4319465, 103.5085179 16.4319381, 103.5084508 16.4319117, 103.5083999 16.4319059, 103.5081545 16.4319392)",,
242724121,residential,False,False,51.229,"LINESTRING (103.5081545 16.4319392, 103.508074 16.431485)",,
242724121,residential,False,True,71.744,"LINESTRING (103.5081545 16.4319392, 103.508264 16.4325758)",,
968369520,residential,False,False,60.245999999999995,"LINESTRING (103.5081545 16.4319392, 103.5083999 16.4319059, 103.5084508 16.4319117, 103.5085179 16.4319381, 103.5085601 16.4319465, 103.5086057 16.4319452, 103.5087077 16.4319233)",,
968383541,residential,False,False,56.727999999999994,"LINESTRING (103.5043987 16.4312621, 103.5044654 16.4312345, 103.5044724 16.4312277, 103.5044755 16.431221, 103.5044577 16.4310898, 103.5044577 16.4310627, 103.5044664 16.4310357, 103.5045702 16.4308218)",,
40843765,secondary,True,False,12.747,"LINESTRING (103.5034251 16.4343626, 103.5034272 16.434372, 103.5034302 16.4343856, 103.5034546 16.4344246, 103.503491 16.434454)",roundabout,
546188316,secondary,True,False,34.927,"LINESTRING (103.5034251 16.4343626, 103.5033703 16.4344236, 103.5033067 16.4344682, 103.5031535 16.4345263)",,ถนนกาฬสินธุ์
40843765,secondary,True,False,12.992999999999999,"LINESTRING (103.5036758 16.4344198, 103.5036928 16.4343976, 103.5037069 16.434355, 103.5037062 16.4343104)",roundabout,
546188313,secondary,True,False,71.463,"LINESTRING (103.5036758 16.4344198, 103.5037367 16.4344274, 103.5038093 16.4344305, 103.5043371 16.4343411)",,ถนนกาฬสินธุ์
40843788,residential,False,False,6.582,"LINESTRING (103.5031535 16.4345263, 103.5031629 16.4345848)",,
40843788,residential,False,True,107.227,"LINESTRING (103.5031535 16.4345263, 103.5030006 16.4335732)",,
546188316,secondary,True,False,8.518,"LINESTRING (103.5031535 16.4345263, 103.503091 16.434574)",,ถนนกาฬสินธุ์
546188317,secondary,True,False,7.762,"LINESTRING (103.503091 16.434574, 103.5031629 16.4345848)",,ถนนกาฬสินธุ์
546198331,secondary,False,True,133.464,"LINESTRING (103.503091 16.434574, 103.502319 16.4347023, 103.501859 16.4347844)",,ถนนกาฬสินธุ์
