osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction
460915278,,residential,30,False,False,92.712,"LINESTRING (51.5351386 32.5505289, 51.5353934 32.5503321, 51.5356199 32.5502485, 51.5358252 32.5501889, 51.5359634 32.5500928)",
460915278,,residential,30,False,True,94.155,"LINESTRING (51.5351386 32.5505289, 51.5349616 32.55069, 51.5347422 32.5508153, 51.5345652 32.5509585, 51.5343741 32.5510719)",
529402296,فرعی هفتم,residential,30,False,False,96.49900000000001,"LINESTRING (51.5351386 32.5505289, 51.5353332 32.550721, 51.535526 32.5510401, 51.5356645 32.5512692)",
529402296,فرعی هفتم,residential,30,False,True,52.72,"LINESTRING (51.5351386 32.5505289, 51.5349615 32.5504076, 51.5348375 32.5503205, 51.5347343 32.5502036)",
460915274,ابن سینا,residential,30,False,False,84.65700000000001,"LINESTRING (51.5359634 32.5500928, 51.5362602 32.550393, 51.5365487 32.5506726)",
460915274,ابن سینا,residential,30,False,True,79.004,"LINESTRING (51.5359634 32.5500928, 51.5358734 32.5500018, 51.5355469 32.5495309, 51.5355111 32.5494954)",
460915278,,residential,30,False,False,48.549,"LINESTRING (51.5359634 32.5500928, 51.5361224 32.5500099, 51.5363702 32.5498249)",
460915278,,residential,30,False,True,92.71200000000002,"LINESTRING (51.5359634 32.5500928, 51.5358252 32.5501889, 51.5356199 32.5502485, 51.5353934 32.5503321, 51.5351386 32.5505289)",
460915278,,residential,30,False,False,27.961,"LINESTRING (51.5363702 32.5498249, 51.536533 32.5497593, 51.5365967 32.5496757)",
460915278,,residential,30,False,True,48.549,"LINESTRING (51.5363702 32.5498249, 51.5361224 32.5500099, 51.5359634 32.5500928)",
529402262,,residential,30,False,False,214.602,"LINESTRING (51.5363702 32.5498249, 51.5364486 32.5499665, 51.536522 32.5500379, 51.5366276 32.5501406, 51.5367235 32.5501992, 51.5368273 32.5502625, 51.5370407 32.5503553, 51.5371653 32.550405, 51.5372885 32.550454, 51.5374193 32.5506223, 51.5375639 32.5507442, 51.5376603 32.5508951, 51.5378488 32.5512149)",
460915278,,residential,30,False,False,85.963,"LINESTRING (51.5365967 32.5496757, 51.5364693 32.5495206, 51.536264 32.5493177, 51.5360514 32.5490553)",
460915278,,residential,30,False,True,27.961,"LINESTRING (51.5365967 32.5496757, 51.536533 32.5497593, 51.5363702 32.5498249)",
529402260,,residential,30,False,True,135.781,"LINESTRING (51.5365967 32.5496757, 51.5368341 32.5495545, 51.5370269 32.5494152, 51.5372817 32.5493281, 51.5374056 32.5493398, 51.5375295 32.5492179, 51.5376879 32.5491192, 51.5378033 32.5490685)",
460915277,,residential,30,False,False,70.43700000000001,"LINESTRING (51.5360514 32.5490553, 51.5360152 32.5490864, 51.53577 32.5492932, 51.5355111 32.5494954)",
460915277,,residential,30,False,True,58.437999999999995,"LINESTRING (51.5360514 32.5490553, 51.5362172 32.548913, 51.5362918 32.5488489, 51.53649 32.5486818)",
460915278,,residential,30,False,True,85.963,"LINESTRING (51.5360514 32.5490553, 51.536264 32.5493177, 51.5364693 32.5495206, 51.5365967 32.5496757)",
460915273,شهدا,residential,30,False,True,6.923,"LINESTRING (51.5335434 32.5499697, 51.533484 32.5500067)",
460915273,شهدا,residential,30,False,False,65.44300000000001,"LINESTRING (51.5335434 32.5499697, 51.5337578 32.5498362, 51.5340918 32.5496057)",
460915279,عزت اله کریمی,residential,30,False,True,145.72,"LINESTRING (51.5335434 32.5499697, 51.5338372 32.5503544, 51.5338946 32.5504295, 51.53413 32.5506679, 51.5342649 32.5508823, 51.5343741 32.5510719)",
460915273,شهدا,residential,30,False,False,6.923,"LINESTRING (51.533484 32.5500067, 51.5335434 32.5499697)",
460915273,شهدا,residential,30,False,True,87.53,"LINESTRING (51.533484 32.5500067, 51.5331786 32.5501968, 51.5329583 32.5503178, 51.5327143 32.5504519)",
460915280,فرعی چهارم,residential,30,False,False,151.281,"LINESTRING (51.533484 32.5500067, 51.5331716 32.5497245, 51.5330318 32.5496245, 51.5329167 32.5495151, 51.532738 32.5492813, 51.5325587 32.5491018, 51.532476 32.5489567)",
460915263,,residential,30,False,False,70.82500000000002,"LINESTRING (51.5334347 32.5437324, 51.5335486 32.5437606, 51.5336454 32.5437398, 51.5338627 32.5436604, 51.5340877 32.5435631, 51.5341212 32.543535)",
1088914724,مطهری,secondary,50,True,False,43.424,"LINESTRING (51.5321435 32.5451287, 51.5317913 32.5453824)",
791633643,میدان مطهری,secondary,50,True,False,23.525,"LINESTRING (51.5321435 32.5451287, 51.5320882 32.5451333, 51.5320466 32.5451299, 51.5320145 32.545114, 51.532001 32.5450756, 51.5320086 32.5450179)",roundabout
253356346,مطهری,secondary,50,True,False,74.541,"LINESTRING (51.5307923 32.5463412, 51.5312794 32.5458113)",
529241558,,secondary_link,20,False,False,5.767,"LINESTRING (51.5307923 32.5463412, 51.530841 32.5463729)",
529241558,,secondary_link,20,False,True,5.767,"LINESTRING (51.530841 32.5463729, 51.5307923 32.5463412)",
1088914724,مطهری,secondary,50,True,False,96.436,"LINESTRING (51.530841 32.5463729, 51.5302163 32.547062)",
253356346,مطهری,secondary,50,True,False,96.751,"LINESTRING (51.5301578 32.5470275, 51.5307923 32.5463412)",
529241559,,secondary_link,20,False,False,6.692,"LINESTRING (51.5301578 32.5470275, 51.5302163 32.547062)",
