osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction
540959735,False,,residential,,True,122.54,"LINESTRING (46.2424961 34.2840528, 46.2424886 34.2839941, 46.2424176 34.2839787, 46.2423427 34.2839508, 46.2420771 34.2839168, 46.2420771 34.2838767, 46.2416245 34.2837407, 46.2416544 34.2836201, 46.2415075 34.2835701)",
540959731,False,,residential,,False,23.21,"LINESTRING (46.2429932 34.2838158, 46.2431919 34.2839447)",
540959731,False,,residential,,True,48.931999999999995,"LINESTRING (46.2429932 34.2838158, 46.2428814 34.2836603, 46.2429637 34.2834656, 46.2429711 34.283413)",
540959736,False,,residential,,False,35.436,"LINESTRING (46.2429932 34.2838158, 46.2427991 34.2838179, 46.2426645 34.2838334, 46.242627 34.2838674)",
540959736,False,,residential,,True,35.436,"LINESTRING (46.242627 34.2838674, 46.2426645 34.2838334, 46.2427991 34.2838179, 46.2429932 34.2838158)",
540959737,False,,residential,,False,52.004,"LINESTRING (46.2410446 34.283447, 46.2412427 34.2830089)",
540959737,False,,residential,,True,44.678,"LINESTRING (46.2410446 34.283447, 46.2415075 34.2835701)",
540959738,False,,residential,,False,26.813000000000002,"LINESTRING (46.2410446 34.283447, 46.2409361 34.2834872, 46.2408014 34.2835768)",
522104019,False,,residential,,False,45.055,"LINESTRING (46.2412427 34.2830089, 46.2407525 34.2830199)",
540959737,False,,residential,,True,52.004,"LINESTRING (46.2412427 34.2830089, 46.2410446 34.283447)",
522104019,False,,residential,,True,47.912000000000006,"LINESTRING (46.2412427 34.2830089, 46.2413694 34.283006, 46.2417254 34.2831469)",
540959738,False,,residential,,True,26.813000000000002,"LINESTRING (46.2408014 34.2835768, 46.2409361 34.2834872, 46.2410446 34.283447)",
540959716,False,دلنواز,tertiary,,False,35.985,"LINESTRING (46.2413066 34.2838479, 46.2415075 34.2835701)",
