osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry
28923977,False,817 - Bernardo de Monteagudo,residential,40,False,109.165,,"LINESTRING (-58.5788944 -34.5807844, -58.5797146 -34.581497)"
28923977,False,817 - Bernardo de Monteagudo,residential,40,True,108.535,,"LINESTRING (-58.5788944 -34.5807844, -58.5780805 -34.5800747)"
467508140,False,804 - Esteban Echeverría,residential,,False,91.111,,"LINESTRING (-58.5788944 -34.5807844, -58.5796147 -34.580219)"
467508140,False,804 - Esteban Echeverría,residential,,True,77.425,,"LINESTRING (-58.5788944 -34.5807844, -58.5782836 -34.581266)"
28923977,False,817 - Bernardo de Monteagudo,residential,40,False,108.535,,"LINESTRING (-58.5780805 -34.5800747, -58.5788944 -34.5807844)"
543480379,False,802 - La Cautiva,residential,40,False,77.538,,"LINESTRING (-58.5780805 -34.5800747, -58.5774715 -34.5805593)"
543480379,False,802 - La Cautiva,residential,40,True,94.643,,"LINESTRING (-58.5780805 -34.5800747, -58.5788249 -34.5794841)"
28923977,False,817 - Bernardo de Monteagudo,residential,40,True,112.401,,"LINESTRING (-58.5780805 -34.5800747, -58.5773334 -34.579417, -58.5772219 -34.5793558)"
28924382,False,819 - Blas Parera,tertiary,,False,109.115,2,"LINESTRING (-58.5796147 -34.580219, -58.5788249 -34.5794841)"
28924382,False,819 - Blas Parera,tertiary,,True,108.627,2,"LINESTRING (-58.5796147 -34.580219, -58.5803981 -34.5809527)"
467508140,False,804 - Esteban Echeverría,residential,,False,83.07,,"LINESTRING (-58.5796147 -34.580219, -58.5802712 -34.5797033)"
467508140,False,804 - Esteban Echeverría,residential,,True,91.111,,"LINESTRING (-58.5796147 -34.580219, -58.5788944 -34.5807844)"
28838637,True,810 - Martín Fierro,residential,,False,108.454,,"LINESTRING (-58.5825616 -34.5806484, -58.5834049 -34.5799634)"
28924453,False,823 - 17 de Agosto,residential,40,False,112.413,,"LINESTRING (-58.5825616 -34.5806484, -58.5817147 -34.5799164)"
28924453,False,823 - 17 de Agosto,residential,40,True,107.767,,"LINESTRING (-58.5825616 -34.5806484, -58.5833556 -34.5813639)"
28838718,False,814 - Hilario Ascasubi,residential,,False,107.929,,"LINESTRING (-58.5841857 -34.5820671, -58.5850507 -34.5814076)"
28838718,False,814 - Hilario Ascasubi,residential,,True,108.904,,"LINESTRING (-58.5841857 -34.5820671, -58.5833532 -34.5827667)"
28924453,False,823 - 17 de Agosto,residential,40,False,109.038,,"LINESTRING (-58.5841857 -34.5820671, -58.5833556 -34.5813639)"
28924453,False,823 - 17 de Agosto,residential,40,True,112.602,,"LINESTRING (-58.5841857 -34.5820671, -58.5850239 -34.5828082)"
28838815,False,816 - Pastor Luna,residential,40,False,111.454,,"LINESTRING (-58.5850239 -34.5828082, -58.585887 -34.5821013)"
28838815,False,816 - Pastor Luna,residential,40,True,108.426,,"LINESTRING (-58.5850239 -34.5828082, -58.5841642 -34.5834789)"
28924453,False,823 - 17 de Agosto,residential,40,False,112.602,,"LINESTRING (-58.5850239 -34.5828082, -58.5841857 -34.5820671)"
28924453,False,823 - 17 de Agosto,residential,40,True,110.48,,"LINESTRING (-58.5850239 -34.5828082, -58.58585 -34.5835325)"
28838815,False,816 - Pastor Luna,residential,40,False,65.608,,"LINESTRING (-58.5836519 -34.5838915, -58.5841642 -34.5834789)"
28838815,False,816 - Pastor Luna,residential,40,True,79.819,,"LINESTRING (-58.5836519 -34.5838915, -58.5830243 -34.5843898)"
28924382,False,819 - Blas Parera,tertiary,,False,111.099,2,"LINESTRING (-58.5836519 -34.5838915, -58.5828381 -34.5831503)"
28924382,False,819 - Blas Parera,tertiary,,True,109.1,2,"LINESTRING (-58.5836519 -34.5838915, -58.5844343 -34.5846316)"
28838815,False,816 - Pastor Luna,residential,40,False,79.819,,"LINESTRING (-58.5830243 -34.5843898, -58.5836519 -34.5838915)"
28838815,False,816 - Pastor Luna,residential,40,True,79.786,,"LINESTRING (-58.5830243 -34.5843898, -58.5823778 -34.584871)"
28923977,False,817 - Bernardo de Monteagudo,residential,40,False,108.043,,"LINESTRING (-58.5830243 -34.5843898, -58.5838278 -34.5851015)"
28923977,False,817 - Bernardo de Monteagudo,residential,40,True,108.71,,"LINESTRING (-58.5830243 -34.5843898, -58.5822243 -34.5836673)"
28838815,False,816 - Pastor Luna,residential,40,False,79.786,,"LINESTRING (-58.5823778 -34.584871, -58.5830243 -34.5843898)"
28838815,False,816 - Pastor Luna,residential,40,True,74.76,,"LINESTRING (-58.5823778 -34.584871, -58.5818013 -34.5853472)"
28923617,False,815 - Sargento R. Palma,residential,40,False,108.488,,"LINESTRING (-58.5823778 -34.584871, -58.5815655 -34.5841606)"
28923617,False,815 - Sargento R. Palma,residential,40,True,108.718,,"LINESTRING (-58.5823778 -34.584871, -58.5831944 -34.5855809)"
28838718,False,814 - Hilario Ascasubi,residential,,False,81.524,,"LINESTRING (-58.5815655 -34.5841606, -58.5822243 -34.5836673)"
28838718,False,814 - Hilario Ascasubi,residential,,True,73.694,,"LINESTRING (-58.5815655 -34.5841606, -58.5809894 -34.5846235)"
28923617,False,815 - Sargento R. Palma,residential,40,False,109.764,,"LINESTRING (-58.5815655 -34.5841606, -58.5807646 -34.583426)"
28923617,False,815 - Sargento R. Palma,residential,40,True,108.488,,"LINESTRING (-58.5815655 -34.5841606, -58.5823778 -34.584871)"
28838718,False,814 - Hilario Ascasubi,residential,,False,80.389,,"LINESTRING (-58.5822243 -34.5836673, -58.5828381 -34.5831503)"
28838718,False,814 - Hilario Ascasubi,residential,,True,81.524,,"LINESTRING (-58.5822243 -34.5836673, -58.5815655 -34.5841606)"
28923977,False,817 - Bernardo de Monteagudo,residential,40,False,108.71,,"LINESTRING (-58.5822243 -34.5836673, -58.5830243 -34.5843898)"
