osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed
32345613,2,Calle 16 de Septiembre,tertiary,False,False,3.672,"LINESTRING (-98.1655018 19.3307474, -98.1654812 19.3307741)",40
32345613,2,Calle 16 de Septiembre,tertiary,False,True,79.796,"LINESTRING (-98.1655018 19.3307474, -98.1659508 19.3301682)",40
"[845794874, 845794875]",,Privada 16 de Septiembre,residential,False,False,46.962,"LINESTRING (-98.1655018 19.3307474, -98.1656713 19.3308708, -98.1655394 19.3310526)",
845797922,,Privada 16 de Septiembre,residential,False,True,138.702,"LINESTRING (-98.1664586 19.3313143, -98.1663913 19.3310907, -98.1662571 19.3308912, -98.1659508 19.3301682)",
32345613,2,Calle 16 de Septiembre,tertiary,False,False,79.796,"LINESTRING (-98.1659508 19.3301682, -98.1655018 19.3307474)",40
32345613,2,Calle 16 de Septiembre,tertiary,False,True,42.054,"LINESTRING (-98.1659508 19.3301682, -98.1661875 19.329863)",40
845797922,,Privada 16 de Septiembre,residential,False,False,138.702,"LINESTRING (-98.1659508 19.3301682, -98.1662571 19.3308912, -98.1663913 19.3310907, -98.1664586 19.3313143)",
845797923,,Privada Álvaro Obregón,residential,False,True,65.85,"LINESTRING (-98.1669809 19.3310337, -98.1673392 19.3305475)",
32345611,,Avenida Álvaro Obregón,residential,False,True,165.193,"LINESTRING (-98.1673392 19.3305475, -98.1686652 19.3313484)",40
845797923,,Privada Álvaro Obregón,residential,False,False,65.85,"LINESTRING (-98.1673392 19.3305475, -98.1669809 19.3310337)",
32345611,,Avenida Álvaro Obregón,residential,False,False,142.816,"LINESTRING (-98.1673392 19.3305475, -98.1665004 19.330049, -98.1661875 19.329863)",40
845797924,,Privada 20 de Noviembre,residential,False,True,87.296,"LINESTRING (-98.1677588 19.3312002, -98.1684499 19.3316373)",
32345610,,Calle 20 de Noviembre,residential,True,False,194.416,"LINESTRING (-98.1684499 19.3316373, -98.1673794 19.3330644)",40
845797924,,Privada 20 de Noviembre,residential,False,False,87.296,"LINESTRING (-98.1684499 19.3316373, -98.1677588 19.3312002)",
845797925,,,residential,False,False,48.011,"LINESTRING (-98.1676577 19.3299093, -98.1679274 19.3295605)",
