osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
158260300,2,Lange Straße,tertiary,30,False,True,222.969,"LINESTRING (7.965262 48.0970841, 7.9649157 48.0969018, 7.9644857 48.096721, 7.9640583 48.0965665, 7.9637591 48.0964356, 7.9635669 48.0963515, 7.9634183 48.0962864, 7.9627843 48.0959582)",,
32024026,,Papiergäßle,residential,30,False,False,93.95599999999999,"LINESTRING (7.9657988 48.0976129, 7.9659427 48.0976241, 7.966212 48.0977294, 7.9662997 48.0977698, 7.9665109 48.0977883, 7.9669954 48.0978309)",,
"[935721504, 529359012]",2,Lange Straße,tertiary,"['50', '30']",False,False,41.829,"LINESTRING (7.9657988 48.0976129, 7.965816 48.0976502, 7.9658764 48.0977773, 7.9659787 48.0979693)",,
"[935721505, 976800890, 158260300]",2,Lange Straße,tertiary,"['50', '30']",False,True,71.88799999999999,"LINESTRING (7.9657988 48.0976129, 7.9657632 48.0975465, 7.9657353 48.097507, 7.9656799 48.0974288, 7.9656148 48.0973496, 7.9654554 48.0972159, 7.965262 48.0970841)",,
32024026,,Papiergäßle,residential,30,False,True,93.956,"LINESTRING (7.9669954 48.0978309, 7.9665109 48.0977883, 7.9662997 48.0977698, 7.966212 48.0977294, 7.9659427 48.0976241, 7.9657988 48.0976129)",,
30502535,,Friedhofstraße,residential,30,False,True,8.659,"LINESTRING (7.9656636 48.0949294, 7.9655832 48.094873)",,
30502535,,Friedhofstraße,residential,30,False,False,147.73100000000002,"LINESTRING (7.9656636 48.0949294, 7.9663136 48.0953547, 7.9666247 48.09555, 7.9668263 48.0956607, 7.9669868 48.0957281, 7.9671681 48.0957872)",,
32024050,,Karl-Kienzle-Straße,residential,30,False,False,109.091,"LINESTRING (7.9656636 48.0949294, 7.9668139 48.0945876, 7.9669973 48.0945194)",,
32024048,,Hödlerstraße,residential,30,False,True,116.302,"LINESTRING (7.967717 48.0942331, 7.9669097 48.0933737, 7.9668817 48.0933485)",,
32024059,,Schlößlestraße,residential,30,False,False,117.969,"LINESTRING (7.9675831 48.093043, 7.9666799 48.0921703)",,
145817322,,Scheffelstraße,residential,30,False,False,62.19,"LINESTRING (7.9675831 48.093043, 7.9668817 48.0933485)",,
32024057,,Hebelstraße,residential,30,False,False,116.197,"LINESTRING (7.9661712 48.0936662, 7.9652526 48.0928203)",,
145817322,,Scheffelstraße,residential,30,False,True,63.502,"LINESTRING (7.9661712 48.0936662, 7.9668817 48.0933485)",,
32024057,,Hebelstraße,residential,30,False,True,112.99,"LINESTRING (7.9661712 48.0936662, 7.9664844 48.0940005, 7.9669973 48.0945194)",,
145817322,,Scheffelstraße,residential,30,False,False,114.01,"LINESTRING (7.9661712 48.0936662, 7.9657936 48.0938164, 7.9648388 48.0941753)",,
32024048,,Hödlerstraße,residential,30,False,False,117.569,"LINESTRING (7.965938 48.0924996, 7.9668817 48.0933485)",,
145817321,,Giselastraße,residential,30,False,False,62.153,"LINESTRING (7.965938 48.0924996, 7.9652526 48.0928203)",,
