osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,tunnel
157328859,,Amtsgerichtstraße,residential,,False,False,305.9309999999999,"LINESTRING (13.1278507 48.9709507, 13.1278011 48.9710146, 13.1276612 48.971359, 13.1274811 48.9718544, 13.1274566 48.9720682, 13.1274567 48.9720776, 13.1274575 48.9722127, 13.1274595 48.9725131, 13.1275244 48.9728439, 13.1275671 48.973035, 13.127578 48.9730943, 13.127588 48.9731547, 13.1275956 48.9734514, 13.1275994 48.973662)",,,
157329314,,Kirchplatz,tertiary,,False,True,93.68599999999999,"LINESTRING (13.1278507 48.9709507, 13.1276076 48.9708432, 13.1275543 48.9708047, 13.1275271 48.9707631, 13.1275143 48.9707202, 13.1274871 48.9705614, 13.1274657 48.970359, 13.1274255 48.9702851, 13.1273596 48.9702327)",,,
621629474,,Bodenmaiser Straße,tertiary,,False,False,42.839,"LINESTRING (13.1278507 48.9709507, 13.1280917 48.9710366, 13.1282548 48.9711125, 13.1283386 48.971162)",,,
157329316,,Mühlleite,residential,,False,True,195.26000000000002,"LINESTRING (13.1293277 48.9711435, 13.1291095 48.9709485, 13.1290821 48.9708934, 13.1289643 48.9707543, 13.1287088 48.9705042, 13.1284076 48.9702479, 13.128211 48.9701369, 13.1278339 48.9699737, 13.1276906 48.9700185, 13.1275559 48.9699693)",,,
"[616957610, 157329301]",,Jakob-Ertl-Gasse,residential,,False,True,143.648,"LINESTRING (13.1283386 48.971162, 13.1280701 48.9712976, 13.1282551 48.9715999, 13.1283281 48.9717094, 13.1286227 48.9720554, 13.1286838 48.9720792, 13.1287522 48.9721101, 13.1289431 48.9720918)",,,
621629474,,Bodenmaiser Straße,tertiary,,False,False,15.608,"LINESTRING (13.1283386 48.971162, 13.1283751 48.9711942, 13.1284404 48.9712848)",,,
621629474,,Bodenmaiser Straße,tertiary,,False,True,42.839,"LINESTRING (13.1283386 48.971162, 13.1282548 48.9711125, 13.1280917 48.9710366, 13.1278507 48.9709507)",,,
157328980,,Fuchsengasse,residential,,False,True,17.309,"LINESTRING (13.1286645 48.9712339, 13.1284404 48.9712848)",,,
157328980,,Fuchsengasse,residential,,False,False,17.309,"LINESTRING (13.1284404 48.9712848, 13.1286645 48.9712339)",,,
621629474,,Bodenmaiser Straße,tertiary,,False,False,96.94800000000001,"LINESTRING (13.1284404 48.9712848, 13.1288983 48.9720226, 13.1289431 48.9720918)",,,
621629474,,Bodenmaiser Straße,tertiary,,False,True,15.608,"LINESTRING (13.1284404 48.9712848, 13.1283751 48.9711942, 13.1283386 48.971162)",,,
157328912,,Blumenstraße,residential,,False,False,123.414,"LINESTRING (13.1196172 48.9715692, 13.1199112 48.971595, 13.1201378 48.9716397, 13.1211943 48.9719502)",,,
157329623,,Untere Bachgasse,residential,,False,True,112.351,"LINESTRING (13.1251252 48.9717006, 13.125073 48.9717975, 13.1251489 48.9720142, 13.1257109 48.9722344, 13.1258213 48.9724216, 13.1258476 48.9724737)",,,
157328912,,Blumenstraße,residential,,False,False,89.556,"LINESTRING (13.1211943 48.9719502, 13.1214796 48.9720345, 13.1217027 48.9720963, 13.1219913 48.9721557, 13.1222708 48.9722026, 13.1223445 48.9722246)",,,
157328912,,Blumenstraße,residential,,False,True,123.414,"LINESTRING (13.1211943 48.9719502, 13.1201378 48.9716397, 13.1199112 48.971595, 13.1196172 48.9715692)",,,
157329214,,Gotthard-Oswald-Straße,residential,,False,True,87.16600000000001,"LINESTRING (13.1293403 48.9719805, 13.1295328 48.9721105, 13.1295894 48.9721558, 13.1297088 48.9722513, 13.1299124 48.9724264, 13.1301181 48.9725742)",,,
"[616957610, 157329301]",,Jakob-Ertl-Gasse,residential,,False,False,143.648,"LINESTRING (13.1289431 48.9720918, 13.1287522 48.9721101, 13.1286838 48.9720792, 13.1286227 48.9720554, 13.1283281 48.9717094, 13.1282551 48.9715999, 13.1280701 48.9712976, 13.1283386 48.971162)",,,
