osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,junction
37194843,,,Weststraße,residential,30,False,False,70.618,"LINESTRING (9.0886708 49.0408008, 9.0896391 49.0408216)",,,
37194843,,,Weststraße,residential,30,False,True,69.185,"LINESTRING (9.0886708 49.0408008, 9.0877218 49.0407895)",,,
37276944,,,Schillerstraße,residential,30,False,False,106.024,"LINESTRING (9.0886708 49.0408008, 9.0886044 49.0417533)",,,
37276944,,,Schillerstraße,residential,30,False,True,105.471,"LINESTRING (9.0886708 49.0408008, 9.0887213 49.0402224, 9.0888363 49.039861)",,,
37194843,,,Weststraße,residential,30,False,False,84.517,"LINESTRING (9.0896391 49.0408216, 9.0907986 49.0408196)",,,
37194843,,,Weststraße,residential,30,False,True,70.618,"LINESTRING (9.0896391 49.0408216, 9.0886708 49.0408008)",,,
37194847,,,Kernerstraße,residential,30,False,False,109.307,"LINESTRING (9.0896391 49.0408216, 9.0896156 49.0418045)",,,
37194847,,,Kernerstraße,residential,30,False,True,107.381,"LINESTRING (9.0896391 49.0408216, 9.0896951 49.0398566)",,,
980116036,,,Amannstraße,residential,30,True,False,51.477,"LINESTRING (9.0968853 49.0383514, 9.0969784 49.0378925)",,,
37276919,,,Goethestraße,residential,30,False,False,196.502,"LINESTRING (9.0968853 49.0383514, 9.0974652 49.0383858, 9.0995786 49.0383953)",,,
36791818,,,Schulstraße,living_street,,False,False,43.537,"LINESTRING (9.099441 49.037271, 9.0995584 49.0376549)",,,
284259978,,K 1629,Hofener Straße,tertiary,50,False,False,192.86700000000002,"LINESTRING (9.099441 49.037271, 9.0992178 49.0373432, 9.0986735 49.0375194, 9.0975721 49.037788, 9.0969784 49.0378925)",,,
36791818,,,Schulstraße,living_street,,False,True,43.537,"LINESTRING (9.0995584 49.0376549, 9.099441 49.037271)",,,
36791818,,,Schulstraße,living_street,,False,False,82.54599999999999,"LINESTRING (9.0995584 49.0376549, 9.0996037 49.0379187, 9.0995786 49.0383953)",,,
36791818,,,Schulstraße,living_street,,False,True,82.54599999999999,"LINESTRING (9.0995786 49.0383953, 9.0996037 49.0379187, 9.0995584 49.0376549)",,,
37276919,,,Goethestraße,residential,30,False,True,196.502,"LINESTRING (9.0995786 49.0383953, 9.0974652 49.0383858, 9.0968853 49.0383514)",,,
53853726,,,Schulstraße,residential,30,False,False,89.576,"LINESTRING (9.0995786 49.0383953, 9.099564 49.0385054, 9.0994968 49.039049, 9.0994786 49.0391982)",,,
28583591,2,L 1107,Erligheimer Straße,secondary,50,False,False,71.9,"LINESTRING (9.0942648 49.0373795, 9.0943722 49.0376369, 9.094413 49.0377347, 9.0944334 49.0378015, 9.0944482 49.0378696, 9.0944423 49.038011)",,,
37276923,,,Südstraße,residential,30,False,False,38.376000000000005,"LINESTRING (9.0942648 49.0373795, 9.0943428 49.0373655, 9.0947744 49.0372929)",,,
37276923,,,Südstraße,residential,30,False,True,38.376000000000005,"LINESTRING (9.0947744 49.0372929, 9.0943428 49.0373655, 9.0942648 49.0373795)",,,
37592152,,,Meimsheimer Straße,residential,,False,False,101.887,"LINESTRING (9.0942796 49.0456355, 9.0937677 49.0455724, 9.0935541 49.0454976, 9.0932619 49.0454518, 9.0930719 49.0454364, 9.0929377 49.045404)",,,
26455745,,,Forststraße,residential,30,False,False,62.429,"LINESTRING (9.0909519 49.0388894, 9.0901124 49.0387783)",,,
322895650,,,Ganerbenstraße,residential,30,False,False,42.387,"LINESTRING (9.0909519 49.0388894, 9.0915185 49.0389751)",,,
"[767505754, 393743612]",1,,Burgstraße,secondary,30,True,False,120.3,"LINESTRING (9.0909519 49.0388894, 9.0909974 49.0389608, 9.0909679 49.0393308, 9.0908985 49.0397883, 9.0908881 49.0398737, 9.0908374 49.0399558)",,,
4995157,,L 1106,Freudentaler Straße,secondary,50,False,True,142.44299999999998,"LINESTRING (9.0926934 49.0381218, 9.0928912 49.0382955, 9.0931589 49.0385339, 9.0932152 49.0385792, 9.0932728 49.0386195, 9.0933599 49.0386598, 9.0934265 49.038685, 9.0935097 49.0387102, 9.0936788 49.0387437, 9.0942153 49.0388126)",,,
