osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,bridge
665309966,,,Schulstraße,residential,30,False,True,27.371,"LINESTRING (14.4133165 51.8572268, 14.4129205 51.8572546)",,
150930545,,,Schulstraße,residential,30,False,True,142.55700000000002,"LINESTRING (14.4133165 51.8572268, 14.4131425 51.8565905, 14.4129503 51.85605, 14.4129389 51.856018, 14.4129212 51.8559686)",,
665309966,,,Schulstraße,residential,30,False,False,105.993,"LINESTRING (14.4133165 51.8572268, 14.4135216 51.85721, 14.4142908 51.8571406, 14.414844 51.8570906)",,
150930546,,,Schulstraße,residential,30,False,True,11.662,"LINESTRING (14.4129205 51.8572546, 14.4127597 51.8572209)",,
665309966,,,Schulstraße,residential,30,False,False,27.371,"LINESTRING (14.4129205 51.8572546, 14.4133165 51.8572268)",,
150930561,,,Lutherplatz,residential,30,False,True,24.143,"LINESTRING (14.4129205 51.8572546, 14.4129827 51.8573558, 14.4130086 51.8574635)",,
1130850261,2,B 168,Hauptstraße,primary,50,False,True,50.231,"LINESTRING (14.4111663 51.8575853, 14.4110215 51.8571425)",,
"[143273249, 209002967]","['2', '3']",B 168,Hauptstraße,primary,50,False,False,61.202999999999996,"LINESTRING (14.4111663 51.8575853, 14.4112359 51.8577839, 14.4113326 51.8579761, 14.4113988 51.8581162)",,
150930535,3,B 168,Hauptstraße,primary,50,False,False,7.94,"LINESTRING (14.4113988 51.8581162, 14.4114392 51.8581831)",,
"[1130846914, 27580010]",,,Mittelstraße,residential,30,True,False,111.167,"LINESTRING (14.4113988 51.8581162, 14.4114839 51.8580807, 14.4115488 51.8580535, 14.4127379 51.8575545)",,
"[143273249, 209002967]","['2', '3']",B 168,Hauptstraße,primary,50,False,True,61.203,"LINESTRING (14.4113988 51.8581162, 14.4113326 51.8579761, 14.4112359 51.8577839, 14.4111663 51.8575853)",,
150930541,,,Hornoer Ring,residential,,False,True,80.571,"LINESTRING (14.4177742 51.8598725, 14.4173294 51.860543)",,
150930541,,,Hornoer Ring,residential,,False,False,143.928,"LINESTRING (14.4177742 51.8598725, 14.4176461 51.8598584, 14.4175163 51.8598569, 14.4157603 51.8601878)",,
150930541,,,Hornoer Ring,residential,,False,False,158.678,"LINESTRING (14.4157603 51.8601878, 14.4157646 51.8606091, 14.4158117 51.8606435, 14.4158894 51.8606737, 14.4159628 51.8606882, 14.4173294 51.860543)",,
150930541,,,Hornoer Ring,residential,,False,True,143.928,"LINESTRING (14.4157603 51.8601878, 14.4175163 51.8598569, 14.4176461 51.8598584, 14.4177742 51.8598725)",,
150930550,,,Schulstraße,residential,,False,False,358.817,"LINESTRING (14.4157603 51.8601878, 14.4157494 51.8600108, 14.415742 51.8598916, 14.4158876 51.8597192, 14.4158876 51.8596668, 14.4158542 51.8596124, 14.4154781 51.8592527, 14.4151689 51.858218, 14.414844 51.8570906)",,
150930540,,,Hornoer Ring,residential,,False,False,29.535,"LINESTRING (14.4173294 51.860543, 14.417193 51.8607949)",,
150930541,,,Hornoer Ring,residential,,False,False,80.571,"LINESTRING (14.4173294 51.860543, 14.4177742 51.8598725)",,
150930541,,,Hornoer Ring,residential,,False,True,158.678,"LINESTRING (14.4173294 51.860543, 14.4159628 51.8606882, 14.4158894 51.8606737, 14.4158117 51.8606435, 14.4157646 51.8606091, 14.4157603 51.8601878)",,
150930540,,,Hornoer Ring,residential,,False,True,29.535,"LINESTRING (14.417193 51.8607949, 14.4173294 51.860543)",,
178765689,,,Mauerstraße,residential,30,False,False,5.016,"LINESTRING (14.4122797 51.8589851, 14.4122213 51.8590122)",,
39811985,3,B 168,Markt,primary,50,False,True,9.43,"LINESTRING (14.4116775 51.8584731, 14.4116068 51.8584004)",,
209013009,2,L 50,Gubener Straße,secondary,50,False,False,70.626,"LINESTRING (14.4116775 51.8584731, 14.4122213 51.8590122)",,
150930543,2,,Lutherstraße,residential,30,False,True,122.12100000000001,"LINESTRING (14.4116775 51.8584731, 14.4117694 51.8584412, 14.4118314 51.8584194, 14.4123414 51.8581204, 14.4129705 51.8577244)",,
209013012,1,B 168,Markt,primary,30,True,False,52.187,"LINESTRING (14.4116775 51.8584731, 14.411551 51.85851, 14.4113541 51.8585705, 14.4109952 51.8586797)",,
23842123,2,B 168,August-Bebel-Straße,primary,50,False,True,93.99799999999999,"LINESTRING (14.4043619 51.8600295, 14.4044295 51.8600134, 14.4056441 51.8597336)",,
"[211200240, 1210704800]",,,"['August-Bebel-Straße', 'Am Gerichtspark']",residential,,False,"[False, True]",281.35699999999997,"LINESTRING (14.4043619 51.8600295, 14.4043841 51.8600661, 14.4044576 51.8601807, 14.4047734 51.8607102, 14.4047999 51.8607643, 14.4048001 51.8608151, 14.4047509 51.8608984, 14.4047206 51.8609849, 14.404756 51.8610545, 14.4048657 51.8611252, 14.4050221 51.8611742, 14.4053034 51.8612249, 14.4054089 51.8612157, 14.4066519 51.8606976, 14.4067598 51.8607055)",,
150925650,,,Um die Halbe Stadt,residential,,False,True,20.852,"LINESTRING (14.4060963 51.8584173, 14.4060181 51.8582361)",,
941458493,,,Lindenstraße,residential,,False,False,24.21,"LINESTRING (14.4060963 51.8584173, 14.4057673 51.8583391)",,
150925650,,,Um die Halbe Stadt,residential,,False,False,128.796,"LINESTRING (14.4060963 51.8584173, 14.4061582 51.8588436, 14.4062268 51.8590899, 14.4062839 51.8592571, 14.4063194 51.859302, 14.4064714 51.8594198, 14.4065173 51.8594661, 14.4065284 51.8594772, 14.4065636 51.8595126)",,
28463145,,,Lindenstraße,residential,50,False,False,20.684,"LINESTRING (14.4057673 51.8583391, 14.4060181 51.8582361)",,
941458493,,,Lindenstraße,residential,,False,True,24.21,"LINESTRING (14.4057673 51.8583391, 14.4060963 51.8584173)",,
28463145,,,Lindenstraße,residential,50,False,True,68.595,"LINESTRING (14.4057673 51.8583391, 14.4057129 51.8583531, 14.405458 51.8584282, 14.4048647 51.8586032)",,
"[1210704800, 211200240]",,,"['August-Bebel-Straße', 'Am Gerichtspark']",residential,,False,"[False, True]",281.357,"LINESTRING (14.4067598 51.8607055, 14.4066519 51.8606976, 14.4054089 51.8612157, 14.4053034 51.8612249, 14.4050221 51.8611742, 14.4048657 51.8611252, 14.404756 51.8610545, 14.4047206 51.8609849, 14.4047509 51.8608984, 14.4048001 51.8608151, 14.4047999 51.8607643, 14.4047734 51.8607102, 14.4044576 51.8601807, 14.4043841 51.8600661, 14.4043619 51.8600295)",,
143273256,,,Markt,residential,30,True,False,134.459,"LINESTRING (14.4095536 51.8587279, 14.409602 51.8587179, 14.4102454 51.8585847, 14.410526 51.8585134, 14.411275 51.8582299, 14.4113136 51.858214)",yes,
665309964,,,Markt,residential,30,False,False,61.522999999999996,"LINESTRING (14.4095536 51.8587279, 14.4097617 51.8589935, 14.4099158 51.8591399, 14.4099231 51.8591448, 14.4099721 51.8591934, 14.4099944 51.8592075)",,
"[27580056, 665309967]",,,Festungsweg,residential,30,False,True,173.161,"LINESTRING (14.4095536 51.8587279, 14.4094172 51.8585715, 14.4092466 51.8583861, 14.4092434 51.8582943, 14.4093824 51.8580105, 14.4094496 51.8578876, 14.4094903 51.857782, 14.4094768 51.8576399, 14.4094161 51.8574896, 14.409379 51.8573973, 14.4093215 51.8572542)",,
