osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,width,ref,junction,bridge
22811454,,Bahnstraße,residential,True,False,14.048,30,"LINESTRING (8.4687517 50.1783554, 8.4686864 50.1783603, 8.4686273 50.1783418, 8.4685932 50.1783058)",,,roundabout,
22811454,,Bahnstraße,residential,True,False,16.675,30,"LINESTRING (8.4687896 50.1782276, 8.4688184 50.1782656, 8.4688207 50.1783015, 8.4687966 50.1783339, 8.4687517 50.1783554)",,,roundabout,
22811454,,Bahnstraße,residential,True,False,21.311999999999998,30,"LINESTRING (8.4685932 50.1783058, 8.4685926 50.1782686, 8.4686197 50.178236, 8.4686679 50.1782157, 8.4687334 50.1782137, 8.4687896 50.1782276)",,,roundabout,
22811455,,Bahnstraße,residential,False,False,133.596,30,"LINESTRING (8.4685932 50.1783058, 8.468485 50.1783383, 8.4682166 50.1784441, 8.4671141 50.1789702, 8.4670599 50.1789949)",,,,
22811455,,Bahnstraße,residential,False,True,133.596,30,"LINESTRING (8.4670599 50.1789949, 8.4671141 50.1789702, 8.4682166 50.1784441, 8.468485 50.1783383, 8.4685932 50.1783058)",,,,
22811456,,Bahnstraße,residential,True,False,37.85,30,"LINESTRING (8.4670599 50.1789949, 8.4670154 50.1790731, 8.4669857 50.1791049, 8.4669364 50.1791442, 8.4668773 50.1791567, 8.4667952 50.1791283, 8.4667843 50.1791056, 8.4667897 50.1790594)",,,,
22811456,,Bahnstraße,residential,True,False,21.419,30,"LINESTRING (8.4667897 50.1790594, 8.4668305 50.1790265, 8.4669093 50.1790107, 8.4670599 50.1789949)",,,,
22811458,1,Bahnstraße,living_street,True,False,29.048000000000002,,"LINESTRING (8.4667897 50.1790594, 8.4666032 50.1791224, 8.4664146 50.179159)",,,,
22811459,,Heuhohlweg,residential,False,False,92.09299999999999,30,"LINESTRING (8.4664146 50.179159, 8.4664609 50.1791935, 8.4665596 50.1792364, 8.4667365 50.179258, 8.4670052 50.1793066, 8.4670812 50.179336, 8.4671437 50.1793748, 8.4671862 50.1794539, 8.4672173 50.1795731, 8.4672758 50.1796605)",,,,
22811459,,Heuhohlweg,residential,False,True,25.834000000000003,30,"LINESTRING (8.4664146 50.179159, 8.4663692 50.1790946, 8.4663304 50.1790021, 8.4662978 50.1789396)",,,,
22811459,,Heuhohlweg,residential,False,True,92.09299999999999,30,"LINESTRING (8.4672758 50.1796605, 8.4672173 50.1795731, 8.4671862 50.1794539, 8.4671437 50.1793748, 8.4670812 50.179336, 8.4670052 50.1793066, 8.4667365 50.179258, 8.4665596 50.1792364, 8.4664609 50.1791935, 8.4664146 50.179159)",,,,
22811460,,Heuhohlweg,residential,False,True,110.401,30,"LINESTRING (8.4672758 50.1796605, 8.4673732 50.1797084, 8.4677311 50.179801, 8.4681123 50.1799475, 8.4682733 50.1800537, 8.4684041 50.1801577, 8.4684849 50.180196, 8.4685361 50.1802118)",,,,
67013593,,Heuhohlweg,living_street,False,False,151.35,,"LINESTRING (8.4672758 50.1796605, 8.4667314 50.1796391, 8.4664649 50.1796236, 8.4664487 50.1796227, 8.4660783 50.1796013, 8.4657871 50.1795781, 8.4653258 50.1795161, 8.4651692 50.1794967)",4,,,
22811459,,Heuhohlweg,residential,False,False,25.834,30,"LINESTRING (8.4662978 50.1789396, 8.4663304 50.1790021, 8.4663692 50.1790946, 8.4664146 50.179159)",,,,
23007996,,Schneidhainer Straße,residential,False,False,155.721,30,"LINESTRING (8.4662978 50.1789396, 8.4667982 50.178792, 8.4668878 50.1787282, 8.4669258 50.1786777, 8.4669659 50.178556, 8.4669156 50.1783631, 8.4668925 50.1783022, 8.4667542 50.178005, 8.4666574 50.1778012)",,,,
23007997,,Forellenweg,residential,False,False,392.94299999999987,30,"LINESTRING (8.4662978 50.1789396, 8.4660767 50.1789864, 8.4658736 50.1790169, 8.4656075 50.179049, 8.4653958 50.179067, 8.4651502 50.1790722, 8.4650915 50.179072, 8.4644991 50.179032, 8.4636433 50.1789376, 8.4633231 50.1789027, 8.4627303 50.1788807, 8.4622431 50.1788819, 8.4620345 50.1788799, 8.4619806 50.1788773, 8.461702 50.1788639, 8.4615387 50.1788433, 8.4612052 50.1787427, 8.4610417 50.1786926, 8.4609005 50.1786449)",,,,
"[23007987, 5624788]",,"['Heuhohlweg', 'Seilerbahnweg']",living_street,False,True,182.904,,"LINESTRING (8.4651692 50.1794967, 8.4650724 50.1796357, 8.4647626 50.1798358, 8.4644566 50.1800457, 8.4644191 50.1800742, 8.4643375 50.1803261, 8.4653065 50.1804305)",4,,,
67013593,,Heuhohlweg,living_street,False,True,151.35,,"LINESTRING (8.4651692 50.1794967, 8.4653258 50.1795161, 8.4657871 50.1795781, 8.4660783 50.1796013, 8.4664487 50.1796227, 8.4664649 50.1796236, 8.4667314 50.1796391, 8.4672758 50.1796605)",4,,,
