osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,tunnel
4644371,2,Fasanenstraße,residential,30,False,True,67.989,"LINESTRING (11.7653566 48.1083761, 11.7650615 48.1082119, 11.7647157 48.1080145, 11.7646509 48.1079872)",,,
25028248,,Kiebitzweg,residential,30,False,False,43.719,"LINESTRING (11.7653566 48.1083761, 11.7654136 48.1083303, 11.7656526 48.1081386, 11.7656808 48.1081001, 11.7656828 48.1080588)",,,
25028248,,Kiebitzweg,residential,30,False,False,53.068,"LINESTRING (11.7656828 48.1080588, 11.7654958 48.1079568, 11.7654951 48.1079277, 11.7655105 48.1079031, 11.7655467 48.1078798, 11.765582 48.1078815, 11.7656667 48.1079362, 11.7656837 48.1079719, 11.7656828 48.1080588)",,,
25028248,,Kiebitzweg,residential,30,False,True,53.068,"LINESTRING (11.7656828 48.1080588, 11.7656837 48.1079719, 11.7656667 48.1079362, 11.765582 48.1078815, 11.7655467 48.1078798, 11.7655105 48.1079031, 11.7654951 48.1079277, 11.7654958 48.1079568, 11.7656828 48.1080588)",,,
25028248,,Kiebitzweg,residential,30,False,True,43.719,"LINESTRING (11.7656828 48.1080588, 11.7656808 48.1081001, 11.7656526 48.1081386, 11.7654136 48.1083303, 11.7653566 48.1083761)",,,
4644367,,Wachtelweg,residential,30,False,True,177.335,"LINESTRING (11.7672393 48.1082729, 11.7689424 48.1071548)",,,
4644367,,Wachtelweg,residential,30,False,False,59.503,"LINESTRING (11.7672393 48.1082729, 11.766913 48.1084897, 11.7666443 48.10863)",,,
"[74750684, 958926479]",,"['Wachtelweg', 'Drosselweg']",residential,30,False,True,76.47800000000001,"LINESTRING (11.7672393 48.1082729, 11.7675488 48.1084451, 11.7680306 48.1087132)",,,
"[986149344, 25028387]",,Drosselweg,residential,30,False,True,166.201,"LINESTRING (11.7680306 48.1087132, 11.7688821 48.1082055, 11.7695586 48.1077393, 11.7696454 48.1076795)",4,,
"[74750684, 958926479]",,"['Wachtelweg', 'Drosselweg']",residential,30,False,False,76.47800000000001,"LINESTRING (11.7680306 48.1087132, 11.7675488 48.1084451, 11.7672393 48.1082729)",,,
