osmid,lanes,ref,name,highway,oneway,reversed,length,geometry
165402557,,,Del Carmen,residential,False,False,257.93600000000004,"LINESTRING (121.8631034 13.473415, 121.8636762 13.4724976, 121.8642354 13.4716771, 121.8642609 13.4716198, 121.8642595 13.4714202)"
123166005,,,,residential,False,False,36.337,"LINESTRING (121.8625038 13.4737385, 121.8627899 13.4739099)"
534745263,2,,Quezon Street,tertiary,False,False,62.126,"LINESTRING (121.8625038 13.4737385, 121.8621938 13.4742089)"
534745263,2,,Quezon Street,tertiary,False,True,60.575,"LINESTRING (121.8625038 13.4737385, 121.8627865 13.4732682)"
165402548,,,,residential,False,False,57.979,"LINESTRING (121.863751 13.4737709, 121.8635782 13.4742645)"
165402551,,,Del Rosario Street,residential,False,False,89.103,"LINESTRING (121.863751 13.4737709, 121.8644845 13.474136)"
165402551,,,Del Rosario Street,residential,False,True,80.437,"LINESTRING (121.863751 13.4737709, 121.8631034 13.473415)"
123166005,,,,residential,False,False,93.92,"LINESTRING (121.8627899 13.4739099, 121.8635782 13.4742645)"
123166005,,,,residential,False,True,36.337,"LINESTRING (121.8627899 13.4739099, 121.8625038 13.4737385)"
165402557,,,Del Carmen,residential,False,False,64.634,"LINESTRING (121.8627899 13.4739099, 121.8631034 13.473415)"
165402557,,,Del Carmen,residential,False,True,61.213,"LINESTRING (121.8627899 13.4739099, 121.8625022 13.474384)"
123164465,,,Paras Street,residential,False,False,69.998,"LINESTRING (121.8612705 13.4742466, 121.8607163 13.4739213)"
123164465,,,Paras Street,residential,False,True,33.069,"LINESTRING (121.8612705 13.4742466, 121.8615351 13.4743957)"
123165325,,,Monserrat Street,residential,False,False,52.562,"LINESTRING (121.8612705 13.4742466, 121.8615191 13.4738404)"
123165325,,,Monserrat Street,residential,False,True,49.832,"LINESTRING (121.8612705 13.4742466, 121.8610415 13.4746355)"
123166005,,,,residential,False,False,86.822,"LINESTRING (121.8635782 13.4742645, 121.8642749 13.4746526)"
123166005,,,,residential,False,True,93.92,"LINESTRING (121.8635782 13.4742645, 121.8627899 13.4739099)"
165402548,,,,residential,False,False,66.966,"LINESTRING (121.8635782 13.4742645, 121.863378 13.4748344)"
165402548,,,,residential,False,True,57.979,"LINESTRING (121.8635782 13.4742645, 121.863751 13.4737709)"
165402557,,,Del Carmen,residential,False,False,61.213,"LINESTRING (121.8625022 13.474384, 121.8627899 13.4739099)"
165402557,,,Del Carmen,residential,False,True,57.465,"LINESTRING (121.8625022 13.474384, 121.862219 13.4748213)"
534745305,2,460,Marinduque Circumferential Road,primary,False,False,107.131,"LINESTRING (121.8625022 13.474384, 121.863378 13.4748344)"
534745305,2,460,Marinduque Circumferential Road,primary,False,True,38.616,"LINESTRING (121.8625022 13.474384, 121.8621938 13.4742089)"
123164465,,,Paras Street,residential,False,False,33.069,"LINESTRING (121.8615351 13.4743957, 121.8612705 13.4742466)"
123164465,,,Paras Street,residential,False,True,47.14,"LINESTRING (121.8615351 13.4743957, 121.8618969 13.4746322)"
123165326,,,Del Pilar Street,residential,False,False,52.908,"LINESTRING (121.8615351 13.4743957, 121.8617825 13.4739852)"
123165326,,,Del Pilar Street,residential,False,True,50.517,"LINESTRING (121.8615351 13.4743957, 121.8613089 13.4747932)"
123165328,2,,Doña Aurora Street,tertiary,False,False,73.819,"LINESTRING (121.8604726 13.4742958, 121.8601155 13.4748616)"
123165328,2,,Doña Aurora Street,tertiary,False,True,49.28,"LINESTRING (121.8604726 13.4742958, 121.8607163 13.4739213)"
199417424,,,Malvar Street,residential,False,True,38.394,"LINESTRING (121.8604726 13.4742958, 121.8607718 13.4744817)"
199417424,,,Malvar Street,residential,False,False,81.29599999999999,"LINESTRING (121.8604726 13.4742958, 121.8603156 13.4742106, 121.8601277 13.474111, 121.8599337 13.4740081, 121.8598134 13.4739443)"
165397986,,,Dungon Street,residential,False,False,71.847,"LINESTRING (121.8607718 13.4744817, 121.8604221 13.4750311)"
199417424,,,Malvar Street,residential,False,False,38.394,"LINESTRING (121.8607718 13.4744817, 121.8604726 13.4742958)"
199417424,,,Malvar Street,residential,False,True,33.808,"LINESTRING (121.8607718 13.4744817, 121.8610415 13.4746355)"
