osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,bridge
37999286,False,,North California Street,residential,True,110.31299999999999,"LINESTRING (-121.2856695 37.9576311, -121.2857514 37.9579316, -121.285934 37.958601)",,
361793004,False,,East Lindsay Street,residential,True,117.19,"LINESTRING (-121.2856695 37.9576311, -121.2862206 37.9575385, -121.2869768 37.9574114)",,
37999286,False,,North California Street,residential,False,111.23899999999999,"LINESTRING (-121.286201 37.959579, -121.286046 37.9590112, -121.285934 37.958601)",,
37999286,False,,North California Street,residential,True,110.98599999999999,"LINESTRING (-121.286201 37.959579, -121.2862984 37.9599377, -121.286466 37.960555)",,
10537739,True,2,East Park Street,tertiary,False,116.887,"LINESTRING (-121.286466 37.960555, -121.28777 37.960336)",,
37453892,False,,North California Street,residential,True,110.899,"LINESTRING (-121.286466 37.960555, -121.286557 37.960881, -121.2866228 37.9611315, -121.28669 37.961387, -121.286732 37.96153)",,
37999286,False,,North California Street,residential,False,110.98599999999999,"LINESTRING (-121.286466 37.960555, -121.2862984 37.9599377, -121.286201 37.959579)",,
608883291,False,,Flora Street,residential,False,116.862,"LINESTRING (-121.286732 37.96153, -121.285428 37.961748)",,
608883291,False,,Flora Street,residential,True,117.017,"LINESTRING (-121.286732 37.96153, -121.288037 37.961309)",,
37453892,False,,North California Street,residential,False,110.899,"LINESTRING (-121.286732 37.96153, -121.28669 37.961387, -121.2866228 37.9611315, -121.286557 37.960881, -121.286466 37.960555)",,
"[392519808, 392519807]",True,"['4', '3']",North Center Street,secondary,False,110.55600000000001,"LINESTRING (-121.2927189 37.9584796, -121.2926032 37.9580346, -121.2924682 37.9575052)",,
875750460,True,2,East Oak Street,tertiary,False,114.64599999999999,"LINESTRING (-121.2927189 37.9584796, -121.2917658 37.9586171, -121.2914389 37.9586871)",,
10536585,True,,East Lindsay Street,residential,False,117.478,"LINESTRING (-121.2922137 37.9565314, -121.2909032 37.9567516)",,
392519813,True,5,North Center Street,secondary,False,120.23500000000001,"LINESTRING (-121.2922137 37.9565314, -121.2921605 37.9563368, -121.2920933 37.9560865, -121.2920395 37.9558875, -121.2919763 37.955656, -121.2919276 37.9554739)",,
361793004,False,,East Lindsay Street,residential,True,118.634,"LINESTRING (-121.2895798 37.956974, -121.2909032 37.9567516)",,
875750457,False,4,North Hunter Street,residential,False,102.069,"LINESTRING (-121.2895798 37.956974, -121.289827 37.957871)",,
875750457,False,4,North Hunter Street,residential,True,119.897,"LINESTRING (-121.2895798 37.956974, -121.2892949 37.9559194)",,
361793004,False,,East Lindsay Street,residential,False,116.697,"LINESTRING (-121.2895798 37.956974, -121.2883897 37.957174, -121.288278 37.9571927)",,
876613966,False,,North San Joaquin Street,residential,False,109.929,"LINESTRING (-121.288278 37.9571927, -121.2885411 37.9581593)",,
876613966,False,,North San Joaquin Street,residential,True,94.705,"LINESTRING (-121.288278 37.9571927, -121.2880645 37.9563578)",,
361793004,False,,East Lindsay Street,residential,False,116.645,"LINESTRING (-121.288278 37.9571927, -121.2879336 37.9572506, -121.2877278 37.9572851, -121.2875395 37.9573167, -121.2873857 37.9573426, -121.2869768 37.9574114)",,
361793004,False,,East Lindsay Street,residential,True,116.697,"LINESTRING (-121.288278 37.9571927, -121.2883897 37.957174, -121.2895798 37.956974)",,
876613977,False,,North Sutter Street,residential,False,110.275,"LINESTRING (-121.2869768 37.9574114, -121.287241 37.958381)",,
876613977,False,,North Sutter Street,residential,True,119.573,"LINESTRING (-121.2869768 37.9574114, -121.2866918 37.9563598)",,
361793004,False,,East Lindsay Street,residential,False,117.19,"LINESTRING (-121.2869768 37.9574114, -121.2862206 37.9575385, -121.2856695 37.9576311)",,
361793004,False,,East Lindsay Street,residential,True,116.645,"LINESTRING (-121.2869768 37.9574114, -121.2873857 37.9573426, -121.2875395 37.9573167, -121.2877278 37.9572851, -121.2879336 37.9572506, -121.288278 37.9571927)",,
