osmid,oneway,name,highway,reversed,length,geometry,ref
21660214,False,Pioneer Drive,unclassified,False,395.519,"LINESTRING (-88.139849 42.902588, -88.139831 42.902677, -88.1397481 42.9030065, -88.1397 42.903198, -88.1396819 42.9032768, -88.1394045 42.9044844, -88.1391595 42.9055512, -88.1391439 42.9056785, -88.1391483 42.9057853, -88.1391616 42.9058953, -88.1391837 42.9059795, -88.139195 42.9060011, -88.1392077 42.9060298, -88.1392358 42.9060934)",
21660214,False,Pioneer Drive,unclassified,True,24.061,"LINESTRING (-88.139849 42.902588, -88.139864 42.902529, -88.13988 42.902463, -88.139901 42.902375)",
551682575,False,Kristin Drive,residential,True,156.348,"LINESTRING (-88.139849 42.902588, -88.1397439 42.9025756, -88.139313 42.902525, -88.13884 42.902459, -88.138712 42.902445, -88.138657 42.902443, -88.138622 42.902441, -88.138443 42.902449, -88.137955 42.902515)",
21636315,False,Castle Glen Court,residential,False,150.052,"LINESTRING (-88.134306 42.90193, -88.1342 42.90204, -88.134142 42.902126, -88.134107 42.902211, -88.134079 42.902321, -88.13407 42.902452, -88.134082 42.902924, -88.134093 42.90309, -88.134132 42.903236)",
21641358,False,Canfield Drive,residential,False,34.574,"LINESTRING (-88.134306 42.90193, -88.134155 42.901806, -88.1340614 42.9016785)",
21641358,False,Canfield Drive,residential,True,134.879,"LINESTRING (-88.134306 42.90193, -88.134472 42.901998, -88.134587 42.902022, -88.134676 42.902035, -88.134775 42.902039, -88.134918 42.902035, -88.135472 42.902005, -88.135591 42.902008, -88.135714 42.902026, -88.135909 42.902089)",
21636625,False,Bozhardt Lane,residential,False,147.89399999999998,"LINESTRING (-88.14035 42.907191, -88.140398 42.907173, -88.140559 42.907074, -88.140589 42.90704, -88.140598 42.907013, -88.140594 42.906991, -88.140572 42.906946, -88.140493 42.906712, -88.140293 42.90616, -88.140241 42.906043, -88.1402064 42.9059852)",
21636625,False,Bozhardt Lane,residential,True,147.894,"LINESTRING (-88.1402064 42.9059852, -88.140241 42.906043, -88.140293 42.90616, -88.140493 42.906712, -88.140572 42.906946, -88.140594 42.906991, -88.140598 42.907013, -88.140589 42.90704, -88.140559 42.907074, -88.140398 42.907173, -88.14035 42.907191)",
551682582,True,Janesville Road,secondary,False,53.504,"LINESTRING (-88.1402064 42.9059852, -88.1404102 42.9059253, -88.140648 42.9058553, -88.140816 42.9058059)",CTH L
21663432,False,Lake Drive,residential,False,106.25,"LINESTRING (-88.134328 42.910045, -88.135195 42.909331)",
21640775,False,Park Drive,residential,False,206.87400000000002,"LINESTRING (-88.134328 42.910045, -88.134267 42.909982, -88.134231 42.909915, -88.134137 42.909684, -88.134096 42.909602, -88.134041 42.909464, -88.134003 42.909384, -88.133734 42.908721, -88.133547 42.908279)",
21640775,False,Park Drive,residential,True,13.269,"LINESTRING (-88.1330508 42.9070707, -88.1330976 42.907185)",
21641358,False,Canfield Drive,residential,False,12.86,"LINESTRING (-88.136028 42.902165, -88.135909 42.902089)",
21642983,True,Canfield Court,residential,False,60.74700000000001,"LINESTRING (-88.136028 42.902165, -88.136163 42.902117, -88.136205 42.902095, -88.136222 42.90207, -88.136226 42.902024, -88.136208 42.90199, -88.136184 42.90197, -88.136158 42.901959, -88.136128 42.901955, -88.136076 42.901963, -88.136022 42.901985, -88.135909 42.902089)",
21641358,False,Canfield Drive,residential,True,87.00499999999998,"LINESTRING (-88.136028 42.902165, -88.136111 42.902318, -88.136197 42.902626, -88.136238 42.902714, -88.136317 42.902807, -88.136401 42.902887)",
21641358,False,Canfield Drive,residential,True,12.86,"LINESTRING (-88.135909 42.902089, -88.136028 42.902165)",
21641358,False,Canfield Drive,residential,False,134.879,"LINESTRING (-88.135909 42.902089, -88.135714 42.902026, -88.135591 42.902008, -88.135472 42.902005, -88.134918 42.902035, -88.134775 42.902039, -88.134676 42.902035, -88.134587 42.902022, -88.134472 42.901998, -88.134306 42.90193)",
21641358,False,Canfield Drive,residential,True,34.574,"LINESTRING (-88.1340614 42.9016785, -88.134155 42.901806, -88.134306 42.90193)",
21643253,False,Kingston Drive,residential,False,13.308,"LINESTRING (-88.1437979 42.9047663, -88.1438613 42.9048766)",
21674328,True,Janesville Road,secondary,False,152.989,"LINESTRING (-88.1437979 42.9047663, -88.1436458 42.9048104, -88.1427281 42.9050765, -88.1426127 42.90511, -88.1422215 42.9052234, -88.1420514 42.9052727)",CTH L
21643253,False,Kingston Drive,residential,True,111.62100000000001,"LINESTRING (-88.144779 42.905493, -88.144674 42.905466, -88.144327 42.905407, -88.144223 42.905379, -88.144161 42.905352, -88.144108 42.905306, -88.144063 42.90525, -88.144008 42.905168, -88.1439722 42.9050927, -88.143959 42.905065, -88.143918 42.904993, -88.143899 42.9049469, -88.143892 42.90493, -88.1438613 42.9048766)",
21643511,False,Lions Park Drive,residential,False,83.91,"LINESTRING (-88.140931 42.902379, -88.140656 42.902372, -88.1400174 42.9023745, -88.139901 42.902375)",
21643511,False,Lions Park Drive,residential,True,224.477,"LINESTRING (-88.140931 42.902379, -88.141883 42.902376, -88.1420573 42.9023768, -88.1421215 42.9023771, -88.143393 42.902383, -88.143572 42.90239, -88.143686 42.902399)",
21668375,False,Valley Drive,residential,True,191.164,"LINESTRING (-88.140931 42.902379, -88.140921 42.902546, -88.140854 42.903209, -88.140848 42.90332, -88.140855 42.903429, -88.140868 42.903478, -88.140901 42.903556, -88.140993 42.903678, -88.141268 42.904019)",
