osmid,name,highway,oneway,reversed,length,geometry,lanes,width,maxspeed
"[9284529, 9285438]","['Belden Avenue', 'Perkins Avenue']",residential,False,False,102.95299999999999,"LINESTRING (-70.5676652 41.4538417, -70.5676226 41.4540369, -70.5675896 41.4541936, -70.5675851 41.4542305, -70.5675869 41.4542619, -70.5675932 41.4542854, -70.5676031 41.4543099, -70.5676192 41.4543342, -70.5676366 41.4543505, -70.5676752 41.4543779, -70.5677114 41.4543952, -70.567767 41.4544162, -70.5678611 41.4544388, -70.568135 41.454486)",2,7.6,
9284933,Simpson Avenue,residential,False,False,51.016,"LINESTRING (-70.56497 41.457506, -70.565517 41.457712)",2,7.6,
9284681,Rowland Avenue,residential,False,True,61.209,"LINESTRING (-70.56497 41.457506, -70.565188 41.457159, -70.5652835 41.4570082)",2,7.6,
9284462,Richmond Street,residential,False,True,155.711,"LINESTRING (-70.566532 41.449817, -70.5670601 41.4499168, -70.5683436 41.4501593)",2,7.6,
9284619,Franklin Avenue,residential,False,False,107.493,"LINESTRING (-70.566532 41.449817, -70.566432 41.450081, -70.566292 41.450499, -70.566229 41.450756)",2,9.1,
9284619,Franklin Avenue,residential,False,True,76.047,"LINESTRING (-70.566532 41.449817, -70.566575 41.449582, -70.566564 41.449332, -70.5665279 41.4491373)",2,9.1,
9285213,Windy Hill Road,residential,False,True,31.842,"LINESTRING (-70.572467 41.45036, -70.572824 41.450462)",,,
9285213,Windy Hill Road,residential,False,False,182.395,"LINESTRING (-70.572467 41.45036, -70.571982 41.450212, -70.571489 41.450096, -70.571161 41.450039, -70.570623 41.449975, -70.570359 41.449947)",,,
9285217,Windy Hill Road,residential,False,False,140.108,"LINESTRING (-70.572467 41.45036, -70.572425 41.450432, -70.572151 41.450882, -70.572058 41.451111, -70.572073 41.451151, -70.57216 41.451185, -70.572582 41.451287)",,,
9284634,Circuit Avenue,tertiary,False,True,20.662,"LINESTRING (-70.562541 41.450598, -70.562591 41.450416)",2,9.1,
9284510,Warwick Avenue,residential,False,True,101.651,"LINESTRING (-70.562541 41.450598, -70.563042 41.450679, -70.563472 41.450743, -70.563733 41.450791)",2,6.1,
9285433,Scotty Way,residential,False,False,35.266,"LINESTRING (-70.568825 41.450949, -70.5687 41.451252)",,,
9284547,Pacific Avenue,residential,False,False,41.887,"LINESTRING (-70.567691 41.45581, -70.567512 41.456162)",2,9.1,
9284547,Pacific Avenue,residential,False,True,28.867,"LINESTRING (-70.567691 41.45581, -70.5677881 41.4555608)",2,9.1,
1251349495,Davis Avenue,residential,False,True,105.754,"LINESTRING (-70.567691 41.45581, -70.568222 41.455912, -70.568645 41.455995, -70.5689208 41.4560444)",,,
364581250,Huntington Avenue,residential,False,False,7.529,"LINESTRING (-70.568103 41.457477, -70.568022 41.457447)",,,20 mph
364581250,Huntington Avenue,residential,False,True,38.039,"LINESTRING (-70.568103 41.457477, -70.56842 41.457594, -70.568509 41.457633)",,,20 mph
9285602,Winthrop Avenue,residential,False,False,165.981,"LINESTRING (-70.5648402 41.4492096, -70.5647676 41.4495623, -70.56463 41.450285, -70.564547 41.450686)",1,7.6,
265794837,Wing Road,tertiary,False,True,72.987,"LINESTRING (-70.5648402 41.4492096, -70.5651465 41.449252, -70.5653217 41.449272, -70.565497 41.449284, -70.565708 41.449283)",2,9.1,
9284462,Richmond Street,residential,False,False,19.083,"LINESTRING (-70.5685656 41.4502013, -70.5683436 41.4501593)",2,7.6,
9284462,Richmond Street,residential,False,True,70.291,"LINESTRING (-70.5685656 41.4502013, -70.5693834 41.4503558)",2,7.6,
9285432,Hitchings Circle,residential,False,True,244.807,"LINESTRING (-70.5685656 41.4502013, -70.568647 41.449765, -70.568783 41.449549, -70.568937 41.449445, -70.569039 41.449408, -70.56915 41.449377, -70.569267 41.449368, -70.569372 41.449378, -70.569483 41.449444, -70.569506 41.449607, -70.569479 41.449938, -70.5693834 41.4503558)",,,
1117641878,Huntington Avenue,residential,False,True,34.121,"LINESTRING (-70.564542 41.456086, -70.5649161 41.4562107)",,,
9284578,Gorham Avenue,residential,False,True,55.126999999999995,"LINESTRING (-70.564542 41.456086, -70.564564 41.45604, -70.564795 41.455628)",1,7.6,
"[629045939, 1117641878]",Huntington Avenue,residential,False,False,88.707,"LINESTRING (-70.564542 41.456086, -70.564129 41.456, -70.564089 41.456006, -70.564036 41.456054, -70.5638097 41.4563981)",,,
9284587,Everett Avenue,residential,False,False,65.58,"LINESTRING (-70.564547 41.450686, -70.564102 41.450661, -70.5637631 41.4506354)",2,9.1,
9285602,Winthrop Avenue,residential,False,False,126.299,"LINESTRING (-70.564547 41.450686, -70.564481 41.451009, -70.564394 41.451416, -70.5643048 41.4518072)",1,7.6,
9285602,Winthrop Avenue,residential,False,True,165.981,"LINESTRING (-70.564547 41.450686, -70.56463 41.450285, -70.5647676 41.4495623, -70.5648402 41.4492096)",1,7.6,
629045927,Dannys Court,residential,False,False,41.511,"LINESTRING (-70.5711767 41.4516581, -70.571385 41.451319)",,,
9284783,Rogers Way,residential,False,False,165.17000000000002,"LINESTRING (-70.5711767 41.4516581, -70.572164 41.4520206, -70.5723352 41.4520169, -70.572413 41.451898, -70.572401 41.4514975)",,,
9284783,Rogers Way,residential,False,True,108.01400000000001,"LINESTRING (-70.5711767 41.4516581, -70.5709463 41.4515928, -70.5708844 41.4515902, -70.5708186 41.4515981, -70.5707202 41.4516282, -70.5704552 41.4517644, -70.5703989 41.4517807, -70.5703228 41.4517806, -70.5699709 41.4517355)",,,
