osmid,lanes,name,highway,oneway,reversed,length,maxspeed,ref,geometry,bridge
647441126,2,Gregoria Street,secondary,False,False,20.817,50,62,"LINESTRING (120.9035962 14.4424837, 120.9036324 14.442418, 120.9036372 14.4423559, 120.9036239 14.4423071)",
647441126,2,Gregoria Street,secondary,False,True,60.584,50,62,"LINESTRING (120.9035962 14.4424837, 120.9035662 14.4425398, 120.903511 14.4426117, 120.9032346 14.4428982)",
753739555,1,,residential,False,False,39.652,,,"LINESTRING (120.9038132 14.4399291, 120.9034455 14.4399483)",
58493803,2,Gregoria Street,tertiary,False,False,118.245,,,"LINESTRING (120.9038132 14.4399291, 120.903808 14.4401863, 120.9037919 14.4409923)",
893586723,,,residential,False,False,74.27,,,"LINESTRING (120.9035204 14.4460403, 120.9035701 14.4457948, 120.9036021 14.4453782)",
893586724,,,residential,False,True,22.05,,,"LINESTRING (120.9051418 14.4464481, 120.9049371 14.4464428)",
33772580,,Kaingin,residential,False,False,16.964,,,"LINESTRING (120.9049371 14.4464428, 120.9049326 14.4465953)",
893586724,,,residential,False,False,22.05,,,"LINESTRING (120.9049371 14.4464428, 120.9051418 14.4464481)",
"[33772580, 33772583]",,Kaingin,residential,False,"[False, True]",89.665,,,"LINESTRING (120.9049371 14.4464428, 120.9049563 14.4458031, 120.9047847 14.4457945)",
893592188,,,residential,False,False,28.091,,,"LINESTRING (120.9035291 14.4401876, 120.9034455 14.4399483)",
753739555,1,,residential,False,True,39.652,,,"LINESTRING (120.9034455 14.4399483, 120.9038132 14.4399291)",
893592188,,,residential,False,True,28.091,,,"LINESTRING (120.9034455 14.4399483, 120.9035291 14.4401876)",
893592189,,,residential,False,False,61.044,,,"LINESTRING (120.9031208 14.4413285, 120.9032599 14.4407963)",
893592191,1,,residential,False,True,59.03,,,"LINESTRING (120.9012473 14.4399597, 120.901069 14.4404617)",
893592207,,,residential,False,True,61.051,,,"LINESTRING (120.9008691 14.4421246, 120.9005393 14.4425712)",
58493801,2,General Tirona Street,residential,False,False,37.153,,,"LINESTRING (120.9005393 14.4425712, 120.9002666 14.4423665)",
