osmid,lanes,highway,oneway,reversed,length,name,bridge,geometry,ref,maxspeed
78884324,2,secondary,False,True,127.94800000000001,Sabang Road,,"LINESTRING (120.766688 14.3214883, 120.7660752 14.3208249, 120.7659033 14.3206248)",402,40
902518707,,residential,False,True,258.121,,,"LINESTRING (120.766688 14.3214883, 120.7664076 14.3218403, 120.7663766 14.3218843, 120.7663744 14.3218893, 120.7663744 14.3218936, 120.7663758 14.3218979, 120.7663799 14.3219025, 120.7663871 14.3219095, 120.7664076 14.321926, 120.7666228 14.3220813, 120.7666349 14.3220963, 120.7666366 14.3221093, 120.7666316 14.3221245, 120.7665849 14.3221908, 120.7663278 14.3225313, 120.7661984 14.3227051, 120.7660891 14.3228577, 120.7659898 14.3229805, 120.7657622 14.3233155)",,
902518707,,residential,False,False,258.121,,,"LINESTRING (120.7657622 14.3233155, 120.7659898 14.3229805, 120.7660891 14.3228577, 120.7661984 14.3227051, 120.7663278 14.3225313, 120.7665849 14.3221908, 120.7666316 14.3221245, 120.7666366 14.3221093, 120.7666349 14.3220963, 120.7666228 14.3220813, 120.7664076 14.321926, 120.7663871 14.3219095, 120.7663799 14.3219025, 120.7663758 14.3218979, 120.7663744 14.3218936, 120.7663744 14.3218893, 120.7663766 14.3218843, 120.7664076 14.3218403, 120.766688 14.3214883)",,
884734226,1,secondary,False,False,89.414,,,"LINESTRING (120.7634742 14.3171928, 120.7632378 14.3179636)",,
884734226,1,secondary,False,True,48.152,,,"LINESTRING (120.7634742 14.3171928, 120.7636015 14.3167777)",,
902519595,,residential,False,True,31.262,,,"LINESTRING (120.7634742 14.3171928, 120.7634092 14.317175, 120.7631959 14.3171133)",,
902519595,,residential,False,False,31.262,,,"LINESTRING (120.7631959 14.3171133, 120.7634092 14.317175, 120.7634742 14.3171928)",,
"[890535739, 890535740]",,residential,False,False,149.80200000000002,,,"LINESTRING (120.7597316 14.3221678, 120.7597783 14.3220819, 120.7602633 14.3215587, 120.7606605 14.3211702)",,
890535740,,residential,False,True,42.083,,,"LINESTRING (120.7597316 14.3221678, 120.7597021 14.3222904, 120.7596899 14.3225427)",,
152457759,2,tertiary,False,True,33.553,NIA Sapa Road,,"LINESTRING (120.7607842 14.3161413, 120.7606784 14.3164251)",,
1167781550,,residential,False,False,424.592,,,"LINESTRING (120.7607842 14.3161413, 120.7591272 14.3154568, 120.7590542 14.3155982, 120.7590163 14.3157711, 120.7606784 14.3164251)",,
152457759,2,tertiary,False,False,61.735,NIA Sapa Road,,"LINESTRING (120.7607842 14.3161413, 120.7608499 14.3159649, 120.7610488 14.3156518)",,
152457759,2,tertiary,False,True,86.109,NIA Sapa Road,,"LINESTRING (120.7614677 14.3149923, 120.7610488 14.3156518)",,
1212512348,,residential,False,False,183.07999999999998,,,"LINESTRING (120.7614677 14.3149923, 120.7623159 14.3153256, 120.7626289 14.3152924, 120.7628539 14.3151976, 120.7630415 14.3153157)",,
152457759,2,tertiary,False,False,143.29000000000002,NIA Sapa Road,,"LINESTRING (120.7603832 14.3175635, 120.7606364 14.3172105, 120.7607688 14.3169025, 120.7607661 14.3168025, 120.7606364 14.3166377, 120.7606526 14.3164945, 120.7606784 14.3164251)",,
152457759,2,tertiary,False,True,101.264,NIA Sapa Road,,"LINESTRING (120.7603832 14.3175635, 120.7601771 14.3178509, 120.7600194 14.3183904)",,
1212448179,,residential,False,False,130.525,,,"LINESTRING (120.7603832 14.3175635, 120.7608613 14.3177086, 120.760976 14.3175666, 120.7614667 14.3173875)",,
1212448179,,residential,False,True,130.52499999999998,,,"LINESTRING (120.7614667 14.3173875, 120.760976 14.3175666, 120.7608613 14.3177086, 120.7603832 14.3175635)",,
1212512348,,residential,False,True,183.07999999999998,,,"LINESTRING (120.7630415 14.3153157, 120.7628539 14.3151976, 120.7626289 14.3152924, 120.7623159 14.3153256, 120.7614677 14.3149923)",,
1212512349,,residential,False,False,103.75800000000001,,,"LINESTRING (120.7619234 14.3169813, 120.7618472 14.3171335, 120.7618996 14.3173273, 120.7620757 14.3173411, 120.7621611 14.3177247)",,
879491979,2,secondary,False,False,138.212,Naic-Ternate Road,,"LINESTRING (120.7621611 14.3177247, 120.7621353 14.3177218, 120.7619439 14.3177277, 120.7616788 14.3177955, 120.7610191 14.3180222, 120.7609338 14.3180535)",,
"[879491979, 879491980, 879491981]","['1', '2']",secondary,False,True,119.297,Naic-Ternate Road,yes,"LINESTRING (120.7621611 14.3177247, 120.762477 14.3177601, 120.7628733 14.3178655, 120.7632378 14.3179636)",,
1212512349,,residential,False,True,103.75800000000001,,,"LINESTRING (120.7621611 14.3177247, 120.7620757 14.3173411, 120.7618996 14.3173273, 120.7618472 14.3171335, 120.7619234 14.3169813)",,
152457759,2,tertiary,False,False,86.109,NIA Sapa Road,,"LINESTRING (120.7610488 14.3156518, 120.7614677 14.3149923)",,
1215207633,,residential,False,False,23.075,,,"LINESTRING (120.7610488 14.3156518, 120.7612306 14.3157615)",,
152457759,2,tertiary,False,True,61.735,NIA Sapa Road,,"LINESTRING (120.7610488 14.3156518, 120.7608499 14.3159649, 120.7607842 14.3161413)",,
1215207633,,residential,False,False,49.784,,,"LINESTRING (120.7612306 14.3157615, 120.7614675 14.3153771)",,
1215207633,,residential,False,True,23.075,,,"LINESTRING (120.7612306 14.3157615, 120.7610488 14.3156518)",,
1224752576,,residential,False,False,33.142,,,"LINESTRING (120.7612306 14.3157615, 120.761083 14.316023)",,
1215207633,,residential,False,True,49.784,,,"LINESTRING (120.7614675 14.3153771, 120.7612306 14.3157615)",,
152457759,2,tertiary,False,False,33.553,NIA Sapa Road,,"LINESTRING (120.7606784 14.3164251, 120.7607842 14.3161413)",,
1167781550,,residential,False,True,424.592,,,"LINESTRING (120.7606784 14.3164251, 120.7590163 14.3157711, 120.7590542 14.3155982, 120.7591272 14.3154568, 120.7607842 14.3161413)",,
152457759,2,tertiary,False,True,143.29000000000002,NIA Sapa Road,,"LINESTRING (120.7606784 14.3164251, 120.7606526 14.3164945, 120.7606364 14.3166377, 120.7607661 14.3168025, 120.7607688 14.3169025, 120.7606364 14.3172105, 120.7603832 14.3175635)",,
1224752576,,residential,False,True,33.142,,,"LINESTRING (120.761083 14.316023, 120.7612306 14.3157615)",,
879491979,2,secondary,False,False,93.431,Naic-Ternate Road,,"LINESTRING (120.7608295 14.3180906, 120.7600194 14.3183904)",,
879491979,2,secondary,False,True,11.971,Naic-Ternate Road,,"LINESTRING (120.7608295 14.3180906, 120.7609338 14.3180535)",,
1249488746,,residential,False,False,17.994,,,"LINESTRING (120.7608295 14.3180906, 120.7609379 14.3182137)",,
1249488746,,residential,False,False,17.819,,,"LINESTRING (120.7609379 14.3182137, 120.7609338 14.3180535)",,
1249488746,,residential,False,True,17.994,,,"LINESTRING (120.7609379 14.3182137, 120.7608295 14.3180906)",,
1249488747,,residential,False,False,11.916,,,"LINESTRING (120.7609379 14.3182137, 120.7609787 14.3183133)",,
879491979,2,secondary,False,False,11.971,Naic-Ternate Road,,"LINESTRING (120.7609338 14.3180535, 120.7608295 14.3180906)",,
1249488746,,residential,False,True,17.819,,,"LINESTRING (120.7609338 14.3180535, 120.7609379 14.3182137)",,
879491979,2,secondary,False,True,138.21200000000002,Naic-Ternate Road,,"LINESTRING (120.7609338 14.3180535, 120.7610191 14.3180222, 120.7616788 14.3177955, 120.7619439 14.3177277, 120.7621353 14.3177218, 120.7621611 14.3177247)",,
1249488747,,residential,False,True,11.916,,,"LINESTRING (120.7609787 14.3183133, 120.7609379 14.3182137)",,
1249488747,,residential,False,False,38.653999999999996,,,"LINESTRING (120.7609787 14.3183133, 120.7609866 14.3183411, 120.7610049 14.3183878, 120.761021 14.31843, 120.761041 14.3184615, 120.761067 14.3184836, 120.7610919 14.3184969, 120.7611177 14.3185118, 120.7612157 14.3185301)",,
1249488748,,residential,False,False,22.963,,,"LINESTRING (120.7609787 14.3183133, 120.7608734 14.3183485, 120.7607821 14.318392)",,
1249488751,,residential,False,False,135.913,,,"LINESTRING (120.7609787 14.3183133, 120.7611651 14.3182294, 120.7612282 14.3182181, 120.7612783 14.3182159, 120.7622135 14.3183223)",,
1249488747,,residential,False,True,81.447,,,"LINESTRING (120.7621243 14.318535, 120.7613684 14.3185263)",,
1249488748,,residential,False,False,115.027,,,"LINESTRING (120.7607821 14.318392, 120.7606077 14.3185233, 120.7608412 14.3187219, 120.7610488 14.3189823, 120.7612345 14.3189201)",,
1249488748,,residential,False,True,22.963,,,"LINESTRING (120.7607821 14.318392, 120.7608734 14.3183485, 120.7609787 14.3183133)",,
1249488749,,residential,False,False,56.242999999999995,,,"LINESTRING (120.7607821 14.318392, 120.7609914 14.31859, 120.7611302 14.3187671)",,
1249488749,,residential,False,True,20.389,,,"LINESTRING (120.7612345 14.3189201, 120.7611302 14.3187671)",,
