osmid,name,highway,oneway,reversed,length,geometry,lanes
511058698,Gregorio Daproza Street,tertiary,False,False,153.661,"LINESTRING (125.1689322 6.1127811, 125.170322 6.112784)",
511058698,Gregorio Daproza Street,tertiary,False,True,153.03,"LINESTRING (125.1689322 6.1127811, 125.1675481 6.1127827)",
53127795,M. Quezon Avenue,tertiary,False,False,72.366,"LINESTRING (125.1675349 6.1155323, 125.1675349 6.1148815)",4
60237866,Piña Street,residential,False,False,155.539,"LINESTRING (125.1675349 6.1155323, 125.1689417 6.1155315)",2
53127795,M. Quezon Avenue,tertiary,False,True,88.978,"LINESTRING (125.1675349 6.1155323, 125.1675357 6.115631, 125.1675266 6.1160607, 125.1675268 6.1163324)",4
53127795,M. Quezon Avenue,tertiary,False,False,71.549,"LINESTRING (125.1675349 6.1148815, 125.1675436 6.1142381)",4
53127795,M. Quezon Avenue,tertiary,False,True,72.366,"LINESTRING (125.1675349 6.1148815, 125.1675349 6.1155323)",4
60237883,Santol Street,residential,False,False,155.287,"LINESTRING (125.1675349 6.1148815, 125.1689394 6.1148736)",
60237866,Piña Street,residential,False,True,155.539,"LINESTRING (125.1689417 6.1155315, 125.1675349 6.1155323)",2
60237887,C. M. Recto Street,residential,False,False,73.156,"LINESTRING (125.1689417 6.1155315, 125.1689394 6.1148736)",
60237887,C. M. Recto Street,residential,False,True,89.347,"LINESTRING (125.1689417 6.1155315, 125.1689364 6.116335)",
53127795,M. Quezon Avenue,tertiary,False,False,86.644,"LINESTRING (125.1675481 6.1127827, 125.1675453 6.1120035)",4
53127795,M. Quezon Avenue,tertiary,False,True,87.533,"LINESTRING (125.1675481 6.1127827, 125.1675484 6.1135699)",4
511058698,Gregorio Daproza Street,tertiary,False,False,153.03,"LINESTRING (125.1675481 6.1127827, 125.1689322 6.1127811)",
60237872,Abdawa Street,residential,False,False,144.566,"LINESTRING (125.169598 6.1148771, 125.1696035 6.113577)",
60237872,Abdawa Street,residential,False,True,162.651,"LINESTRING (125.169598 6.1148771, 125.1695851 6.1163398)",
60237883,Santol Street,residential,False,False,75.835,"LINESTRING (125.169598 6.1148771, 125.1702839 6.1148773)",
60237883,Santol Street,residential,False,True,72.817,"LINESTRING (125.169598 6.1148771, 125.1689394 6.1148736)",
60237861,Sulpicio Muñasque Street,residential,False,False,104.376,"LINESTRING (125.1703667 6.1110624, 125.1709925 6.1117652)",
60237861,Sulpicio Muñasque Street,residential,False,True,71.553,"LINESTRING (125.1703667 6.1110624, 125.169912 6.1106045)",
357084106,Manuela Jandoc Street,residential,False,True,219.599,"LINESTRING (125.1703667 6.1110624, 125.1709513 6.1105151, 125.1709522 6.1103608, 125.1709317 6.1093388)",
60237882,Abubacar Banisil Street,residential,False,False,82.654,"LINESTRING (125.1702779 6.109337, 125.1702843 6.1085937)",
1226928867,M. Quezon Avenue,tertiary,False,False,72.287,"LINESTRING (125.1702779 6.109337, 125.1709317 6.1093388)",4
60237882,Abubacar Banisil Street,residential,False,True,156.422,"LINESTRING (125.1702779 6.109337, 125.1702737 6.1101512, 125.1702686 6.1101935, 125.1702625 6.1102275, 125.1702458 6.1102615, 125.1702208 6.1102935, 125.169912 6.1106045)",
1226928867,M. Quezon Avenue,tertiary,False,True,201.55999999999997,"LINESTRING (125.1702779 6.109337, 125.1692395 6.1093193, 125.1690933 6.1093247, 125.1689673 6.109338, 125.1688359 6.1093593, 125.1686849 6.1093953, 125.1685743 6.1094313, 125.1685086 6.109454, 125.1684735 6.109466)",4
57743591,J. P. Laurel Avenue,tertiary,False,False,155.849,"LINESTRING (125.1689364 6.116335, 125.1675268 6.1163324)",2
57743591,J. P. Laurel Avenue,tertiary,False,True,71.724,"LINESTRING (125.1689364 6.116335, 125.1695851 6.1163398)",2
60237887,C. M. Recto Street,residential,False,False,89.347,"LINESTRING (125.1689364 6.116335, 125.1689417 6.1155315)",
53127795,M. Quezon Avenue,tertiary,False,False,74.302,"LINESTRING (125.1675436 6.1142381, 125.1675484 6.1135699)",4
53127795,M. Quezon Avenue,tertiary,False,True,71.549,"LINESTRING (125.1675436 6.1142381, 125.1675349 6.1148815)",4
60237871,Tieza Street,residential,False,False,154.11,"LINESTRING (125.1675436 6.1142381, 125.1689373 6.11426)",
153958921,,residential,False,False,153.579,"LINESTRING (125.1688957 6.1085584, 125.1702843 6.1085937)",
153958921,,residential,False,True,79.86099999999999,"LINESTRING (125.1688957 6.1085584, 125.1682692 6.1084976, 125.168214 6.1084826, 125.1681805 6.1084706)",
628186371,President Manuel Roxas Avenue,secondary,False,True,13.523,"LINESTRING (125.1718038 6.111539, 125.1716817 6.1115462)",5
124314563,President Manuel Roxas Avenue,secondary,False,False,85.204,"LINESTRING (125.1718038 6.111539, 125.1719235 6.1115417, 125.1721401 6.1115778, 125.1723178 6.1116443, 125.1724851 6.1117341, 125.1725277 6.1117625)",5
60237882,Abubacar Banisil Street,residential,False,True,82.654,"LINESTRING (125.1702843 6.1085937, 125.1702779 6.109337)",
153958921,,residential,False,True,153.579,"LINESTRING (125.1702843 6.1085937, 125.1688957 6.1085584)",
