osmid,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,junction
"[298106983, 298106975]",residential,False,True,93.04299999999999,,,"LINESTRING (77.2877451 30.1223458, 77.2871618 30.1217173, 77.2871311 30.1217017)",,
38626882,tertiary,False,False,30.63,ODR,50,"LINESTRING (77.2911179 30.1222851, 77.2913684 30.122115)",,
38626882,tertiary,False,True,4.874,ODR,50,"LINESTRING (77.2911179 30.1222851, 77.2910749 30.1223083)",,
298107000,residential,False,False,41.332,,,"LINESTRING (77.2911179 30.1222851, 77.2914033 30.122563)",,
38626882,tertiary,False,False,4.874,ODR,50,"LINESTRING (77.2910749 30.1223083, 77.2911179 30.1222851)",,
38626882,tertiary,False,True,38.493,ODR,50,"LINESTRING (77.2910749 30.1223083, 77.290753 30.122514)",,
298106961,residential,False,False,50.617,,,"LINESTRING (77.2910749 30.1223083, 77.2907497 30.1219504)",,
169377135,secondary,True,False,45.451,,50,"LINESTRING (77.2882276 30.1225254, 77.2882813 30.1229315)",2,
298107001,residential,False,False,61.772000000000006,,,"LINESTRING (77.2882276 30.1225254, 77.288105 30.1225301, 77.2880534 30.1225429, 77.2880078 30.122561, 77.2876753 30.1227768)",,
298106985,residential,False,False,49.211,,,"LINESTRING (77.2872335 30.1225273, 77.2875191 30.1228945)",,
"[990654153, 298106995]",residential,False,"[False, True]",71.38,,,"LINESTRING (77.2872335 30.1225273, 77.2870614 30.122707, 77.2870588 30.1227243, 77.2870698 30.1227483, 77.2873191 30.1230432)",,
990654153,residential,False,True,64.895,,,"LINESTRING (77.2872335 30.1225273, 77.2873078 30.1224657, 77.2873414 30.1224524, 77.2873716 30.1224433, 77.2874082 30.1224464, 77.2876753 30.1227768)",,
298107000,residential,False,True,41.332,,,"LINESTRING (77.2914033 30.122563, 77.2911179 30.1222851)",,
"[298106968, 298106990]",residential,False,False,69.36,,,"LINESTRING (77.2914033 30.122563, 77.2916233 30.1223682, 77.291633 30.122355, 77.291638 30.1223368, 77.2916283 30.1223169, 77.2914079 30.1220911)",,
298106985,residential,False,False,44.944,,,"LINESTRING (77.2875191 30.1228945, 77.2878285 30.1231974)",,
298106985,residential,False,True,49.211,,,"LINESTRING (77.2875191 30.1228945, 77.2872335 30.1225273)",,
298107001,residential,False,False,25.365,,,"LINESTRING (77.2875191 30.1228945, 77.2873191 30.1230432)",,
298107001,residential,False,True,19.924,,,"LINESTRING (77.2875191 30.1228945, 77.2876753 30.1227768)",,
169377135,secondary,True,False,225.055,,50,"LINESTRING (77.2882813 30.1229315, 77.2884652 30.1243204, 77.2885644 30.1247081, 77.2886444 30.1249263)",2,
298107003,residential,False,True,52.739,,,"LINESTRING (77.2882813 30.1229315, 77.288132 30.1230028, 77.2878285 30.1231974)",,
298106995,residential,False,True,43.051,,,"LINESTRING (77.2873191 30.1230432, 77.2876094 30.1233379)",,
298107001,residential,False,True,25.365,,,"LINESTRING (77.2873191 30.1230432, 77.2875191 30.1228945)",,
"[990654153, 298106995]",residential,False,"[False, True]",71.38,,,"LINESTRING (77.2873191 30.1230432, 77.2870698 30.1227483, 77.2870588 30.1227243, 77.2870614 30.122707, 77.2872335 30.1225273)",,
298106985,residential,False,True,44.944,,,"LINESTRING (77.2878285 30.1231974, 77.2875191 30.1228945)",,
298107003,residential,False,True,26.232,,,"LINESTRING (77.2878285 30.1231974, 77.2876094 30.1233379)",,
298107003,residential,False,False,52.739,,,"LINESTRING (77.2878285 30.1231974, 77.288132 30.1230028, 77.2882813 30.1229315)",,
298106995,residential,False,False,43.051,,,"LINESTRING (77.2876094 30.1233379, 77.2873191 30.1230432)",,
298107003,residential,False,False,26.232,,,"LINESTRING (77.2876094 30.1233379, 77.2878285 30.1231974)",,
298107003,residential,False,True,56.22,,,"LINESTRING (77.2876094 30.1233379, 77.2871399 30.1236391)",,
298103740,residential,False,False,173.21,,,"LINESTRING (77.2871399 30.1236391, 77.2862997 30.1222613)",,
298107003,residential,False,False,56.22,,,"LINESTRING (77.2871399 30.1236391, 77.2876094 30.1233379)",,
298103740,residential,False,True,191.655,,,"LINESTRING (77.2871399 30.1236391, 77.2878133 30.1247655, 77.2880557 30.1251699)",,
38626882,tertiary,False,False,62.421,ODR,50,"LINESTRING (77.2890418 30.1212207, 77.2894961 30.1216216)",,
38626882,tertiary,False,True,33.57,ODR,50,"LINESTRING (77.2890418 30.1212207, 77.2889397 30.1211479, 77.2888788 30.1211104, 77.288753 30.1210535)",,
298132251,residential,False,True,104.429,,,"LINESTRING (77.2890418 30.1212207, 77.2888622 30.1214661, 77.2888015 30.1215365, 77.2887244 30.1216104, 77.2886286 30.1216744, 77.2884786 30.1217276, 77.2882361 30.1217809)",,
38626882,tertiary,False,True,62.421,ODR,50,"LINESTRING (77.2894961 30.1216216, 77.2890418 30.1212207)",,
298132226,residential,False,True,49.37,,,"LINESTRING (77.2894961 30.1216216, 77.2890982 30.1219021)",,
38626882,tertiary,False,False,23.705,ODR,50,"LINESTRING (77.2894961 30.1216216, 77.289571 30.1216834, 77.289691 30.1217506)",,
228397649,secondary,True,False,102.688,,50,"LINESTRING (77.2882361 30.1217809, 77.2881263 30.1208623)",2,
298132251,residential,False,False,104.429,,,"LINESTRING (77.2882361 30.1217809, 77.2884786 30.1217276, 77.2886286 30.1216744, 77.2887244 30.1216104, 77.2888015 30.1215365, 77.2888622 30.1214661, 77.2890418 30.1212207)",,
298132186,residential,False,False,55.858,,,"LINESTRING (77.2890982 30.1219021, 77.289521 30.1222465)",,
298132226,residential,False,False,49.37,,,"LINESTRING (77.2890982 30.1219021, 77.2894961 30.1216216)",,
298132226,residential,False,True,55.224,,,"LINESTRING (77.2890982 30.1219021, 77.2886362 30.122197)",,
298132225,residential,False,False,28.032,,,"LINESTRING (77.2897309 30.1220716, 77.289521 30.1222465)",,
298132226,residential,False,False,55.224,,,"LINESTRING (77.2886362 30.122197, 77.2890982 30.1219021)",,
298132186,residential,False,True,55.858,,,"LINESTRING (77.289521 30.1222465, 77.2890982 30.1219021)",,
298132225,residential,False,False,63.672,,,"LINESTRING (77.289521 30.1222465, 77.2890483 30.1226474)",,
298132225,residential,False,True,28.032,,,"LINESTRING (77.289521 30.1222465, 77.2897309 30.1220716)",,
298132242,residential,False,False,45.218,,,"LINESTRING (77.2902612 30.1226302, 77.2905591 30.1229448)",,
"[298132235, 298132196]",residential,False,False,83.339,,,"LINESTRING (77.2902612 30.1226302, 77.2896845 30.1231167, 77.2896615 30.1231361, 77.2896604 30.123161)",,
"[298132242, 298132205]",residential,False,True,130.958,,,"LINESTRING (77.2902612 30.1226302, 77.2899791 30.1223569, 77.2899489 30.1223442, 77.2899196 30.1223496, 77.2898898 30.1223602, 77.2892718 30.1228552)",,
298132225,residential,False,True,63.672,,,"LINESTRING (77.2890483 30.1226474, 77.289521 30.1222465)",,
298132247,residential,False,False,27.339,,,"LINESTRING (77.2890483 30.1226474, 77.2892423 30.1228271)",,
990654154,residential,False,False,77.882,,,"LINESTRING (77.2890483 30.1226474, 77.2883942 30.1230603)",,
