osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref
198859742,False,,,unclassified,,False,12.187000000000001,"LINESTRING (140.1467203 35.9756169, 140.1467205 35.9755842, 140.1467208 35.9755073)",
198861232,False,,,unclassified,,False,132.537,"LINESTRING (140.1467203 35.9756169, 140.1467044 35.9756346, 140.1464711 35.9758953, 140.146413 35.9759803, 140.1463843 35.9760722, 140.1462821 35.9766289, 140.1462733 35.9766765, 140.146265 35.9767213)",
198861229,False,,,unclassified,,False,17.548,"LINESTRING (140.1477709 35.97621, 140.1476129 35.9761175)",
198861229,False,,,unclassified,,True,44.989,"LINESTRING (140.1477709 35.97621, 140.1480496 35.9758741)",
398161428,False,,,residential,,True,37.033,"LINESTRING (140.1477709 35.97621, 140.1475439 35.9764878)",
398161431,False,,,residential,,False,62.493,"LINESTRING (140.1477709 35.97621, 140.1480685 35.9764423, 140.1483078 35.9765615)",
198859226,False,,,unclassified,,True,79.155,"LINESTRING (140.1500751 35.9760723, 140.1499401 35.9762486, 140.1495754 35.9766577)",
198859746,False,,,unclassified,,True,85.58000000000001,"LINESTRING (140.1500751 35.9760723, 140.1505078 35.9755046, 140.1505115 35.9754779, 140.1505218 35.9754026)",
198860591,False,,,unclassified,,True,115.34600000000002,"LINESTRING (140.1500751 35.9760723, 140.1491888 35.9755654, 140.1491035 35.9755166, 140.149104 35.9754421)",
198859326,False,,,unclassified,,False,18.155,"LINESTRING (140.1523206 35.9763426, 140.1522778 35.9764454, 140.1522572 35.9764976)",
198859340,False,,,unclassified,,False,21.341,"LINESTRING (140.1523206 35.9763426, 140.1523799 35.9763115, 140.1525357 35.976264)",
198861148,False,,,unclassified,,True,47.199,"LINESTRING (140.1523206 35.9763426, 140.1521271 35.9763806, 140.1519139 35.9763948, 140.1518025 35.9763916)",
398172455,False,,,residential,,False,185.87,"LINESTRING (140.1523206 35.9763426, 140.15239 35.9756657, 140.1517966 35.9756489, 140.1513011 35.975644, 140.1511642 35.9756426)",
124077193,False,2,ぶどう園通り,tertiary,40,False,22.309,"LINESTRING (140.1454708 35.9764645, 140.1453391 35.9764583, 140.1453006 35.9764563, 140.1452233 35.9764529)",
124077193,False,2,ぶどう園通り,tertiary,40,True,71.52799999999999,"LINESTRING (140.1454708 35.9764645, 140.1456002 35.9764809, 140.1456526 35.9764899, 140.1458426 35.9765331, 140.1459642 35.9765769, 140.1462057 35.9766914)",
1214085360,False,2,女化街道,tertiary,40,False,9.05,"LINESTRING (140.1454708 35.9764645, 140.1454961 35.9764078, 140.1455082 35.9763891)",
198859326,False,,,unclassified,,True,20.217,"LINESTRING (140.1521825 35.9770941, 140.1521851 35.9769123)",
264397014,False,,,residential,,False,53.545,"LINESTRING (140.1521825 35.9770941, 140.1527614 35.9769827)",
198859326,False,,,unclassified,,False,37.963,"LINESTRING (140.1521825 35.9770941, 140.1521546 35.9772448, 140.152082 35.977312, 140.1520301 35.9774025)",
264397010,False,,,residential,,False,73.534,"LINESTRING (140.1520301 35.9774025, 140.1528244 35.9772471)",
198859326,False,,,unclassified,,False,19.709,"LINESTRING (140.1520301 35.9774025, 140.1519802 35.9775638, 140.1519787 35.9775747)",
198859326,False,,,unclassified,,True,37.962999999999994,"LINESTRING (140.1520301 35.9774025, 140.152082 35.977312, 140.1521546 35.9772448, 140.1521825 35.9770941)",
198861147,False,,,unclassified,,True,77.893,"LINESTRING (140.1441237 35.9775554, 140.1441567 35.9782554)",
"[198861147, 264447455]",False,,,"['unclassified', 'residential']",,False,238.54499999999996,"LINESTRING (140.1441237 35.9775554, 140.1441143 35.9771442, 140.1443799 35.9769726, 140.1447648 35.9773368, 140.1445819 35.9774616, 140.144613 35.9782157, 140.1446145 35.9782473)",
198860966,False,,,unclassified,,False,50.848,"LINESTRING (140.1483434 35.9778313, 140.1480193 35.9782059)",
124077193,False,2,ぶどう園通り,tertiary,40,False,224.088,"LINESTRING (140.1483434 35.9778313, 140.1473282 35.9772792, 140.146265 35.9767213)",
124077193,False,2,ぶどう園通り,tertiary,40,True,54.042,"LINESTRING (140.1483434 35.9778313, 140.1487671 35.9780496, 140.1488531 35.9780881)",
198859226,False,,,unclassified,,False,114.469,"LINESTRING (140.1483434 35.9778313, 140.1483735 35.977802, 140.1488128 35.9773822, 140.1489989 35.9772156, 140.1491768 35.9770537)",
198859326,False,,,unclassified,,False,54.021,"LINESTRING (140.151907 35.9780809, 140.1518328 35.978563)",
198859326,False,,,unclassified,,True,56.656,"LINESTRING (140.151907 35.9780809, 140.1519787 35.9775747)",
264396892,False,,,residential,,False,60.295,"LINESTRING (140.151907 35.9780809, 140.1525656 35.977981)",
198860966,False,,,unclassified,,False,93.568,"LINESTRING (140.1480193 35.9782059, 140.14744 35.9789047)",
"[264447448, 313182509, 313182511]",False,,,residential,,True,132.39499999999998,"LINESTRING (140.1480193 35.9782059, 140.1482111 35.9783268, 140.1476693 35.9789857, 140.14744 35.9789047)",
198860966,False,,,unclassified,,True,50.848,"LINESTRING (140.1480193 35.9782059, 140.1483434 35.9778313)",
198859326,False,,,unclassified,,True,54.021,"LINESTRING (140.1518328 35.978563, 140.151907 35.9780809)",
646000429,False,2,ぶどう園通り,tertiary,40,False,17.23,"LINESTRING (140.1518328 35.978563, 140.1517893 35.9785571, 140.1516434 35.9785403)",
646000429,False,2,ぶどう園通り,tertiary,40,True,211.48399999999998,"LINESTRING (140.1518328 35.978563, 140.1520009 35.9785841, 140.1528601 35.978692, 140.1537248 35.9787909, 140.1541569 35.9788457)",
198859244,False,,,unclassified,,False,68.919,"LINESTRING (140.1549082 35.9783422, 140.1543539 35.9787031, 140.1543133 35.9787325)",
109088466,False,,,unclassified,,False,50.195,"LINESTRING (140.1454405 35.9786005, 140.1455174 35.9790476)",
109088466,False,,,unclassified,,True,70.263,"LINESTRING (140.1454405 35.9786005, 140.1453695 35.9783417, 140.1452241 35.9779943)",
198859782,False,,,unclassified,,True,45.486000000000004,"LINESTRING (140.1454405 35.9786005, 140.1454027 35.9786006, 140.144935 35.9786018)",
198859782,False,,,unclassified,,False,66.724,"LINESTRING (140.144194 35.9786242, 140.144935 35.9786018)",
198860987,False,,,unclassified,,False,51.941,"LINESTRING (140.144194 35.9786242, 140.1442024 35.9786764, 140.1442831 35.9790857)",
198861147,False,,,unclassified,,False,41.153999999999996,"LINESTRING (140.144194 35.9786242, 140.1441864 35.9785775, 140.1441567 35.9782554)",
198859244,False,,,unclassified,,True,18.881,"LINESTRING (140.1541569 35.9788457, 140.1543133 35.9787325)",
646000429,False,2,ぶどう園通り,tertiary,40,False,211.48399999999998,"LINESTRING (140.1541569 35.9788457, 140.1537248 35.9787909, 140.1528601 35.978692, 140.1520009 35.9785841, 140.1518328 35.978563)",
198860987,False,,,unclassified,,False,53.733,"LINESTRING (140.1442831 35.9790857, 140.1444163 35.9794854, 140.1444402 35.9795519)",
198860987,False,,,unclassified,,True,51.941,"LINESTRING (140.1442831 35.9790857, 140.1442024 35.9786764, 140.144194 35.9786242)",
264447456,False,,,residential,,False,111.151,"LINESTRING (140.1442831 35.9790857, 140.1443322 35.9790823, 140.1454674 35.9790491, 140.1455174 35.9790476)",
198859759,False,,,unclassified,,False,48.243,"LINESTRING (140.1473321 35.9794849, 140.1473507 35.9799185)",
198860679,False,,,residential,,True,324.05600000000004,"LINESTRING (140.1473321 35.9794849, 140.1457759 35.9795339, 140.1458359 35.9799587, 140.1473507 35.9799185)",
198860966,False,,,unclassified,,True,68.011,"LINESTRING (140.1473321 35.9794849, 140.147312 35.9790615, 140.14744 35.9789047)",
