osmid,oneway,highway,reversed,length,geometry
758721251,False,residential,True,55.601,"LINESTRING (41.7662464 22.4378798, 41.7657227 22.4377544)"
922947167,False,residential,False,108.204,"LINESTRING (41.7662464 22.4378798, 41.7659619 22.4388167)"
758721257,False,residential,False,54.591,"LINESTRING (41.7656851 22.4397282, 41.7661993 22.4398513)"
758721257,False,residential,True,54.233,"LINESTRING (41.7656851 22.4397282, 41.7651743 22.4396058)"
922947167,False,residential,True,105.271,"LINESTRING (41.7656851 22.4397282, 41.7659619 22.4388167)"
922947167,False,residential,False,105.271,"LINESTRING (41.7659619 22.4388167, 41.7656851 22.4397282)"
922947167,False,residential,True,108.204,"LINESTRING (41.7659619 22.4388167, 41.7662464 22.4378798)"
922947168,False,residential,False,54.479,"LINESTRING (41.7659619 22.4388167, 41.7654531 22.4386793)"
922947166,False,residential,False,55.455,"LINESTRING (41.7644643 22.4384122, 41.7643278 22.4388947)"
922947166,False,residential,True,103.257,"LINESTRING (41.7644643 22.4384122, 41.7647185 22.4375138)"
922947168,False,residential,True,105.876,"LINESTRING (41.7644643 22.4384122, 41.7654531 22.4386793)"
758721251,False,residential,False,55.601,"LINESTRING (41.7657227 22.4377544, 41.7662464 22.4378798)"
758721251,False,residential,True,55.614,"LINESTRING (41.7657227 22.4377544, 41.7651989 22.4376289)"
922947169,False,residential,False,106.512,"LINESTRING (41.7657227 22.4377544, 41.7654531 22.4386793)"
922947168,False,residential,False,105.876,"LINESTRING (41.7654531 22.4386793, 41.7644643 22.4384122)"
922947168,False,residential,True,54.479,"LINESTRING (41.7654531 22.4386793, 41.7659619 22.4388167)"
922947169,False,residential,True,106.512,"LINESTRING (41.7654531 22.4386793, 41.7657227 22.4377544)"
922947166,False,residential,False,54.72,"LINESTRING (41.7643278 22.4388947, 41.7641931 22.4393708)"
922947166,False,residential,True,55.455,"LINESTRING (41.7643278 22.4388947, 41.7644643 22.4384122)"
922947170,False,residential,False,103.972,"LINESTRING (41.7643278 22.4388947, 41.76531 22.4391186)"
922947170,False,residential,True,103.972,"LINESTRING (41.76531 22.4391186, 41.7643278 22.4388947)"
