osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref
149748875,2,Cluainn Craoibh,residential,30,False,True,77.035,"LINESTRING (-7.1092333 53.4559903, -7.1096075 53.4561495, -7.1096316 53.4562198, -7.1095672 53.4562629, -7.1094546 53.4562661, -7.1092454 53.4561783, -7.1093124 53.4561208)",
92030648,2,Mullingar Road,secondary,50,False,False,39.392,"LINESTRING (-7.105654 53.4571209, -7.1061163 53.4573439)",R148
92030648,2,Mullingar Road,secondary,50,False,True,47.456,"LINESTRING (-7.105654 53.4571209, -7.1051053 53.4568463)",R148
149748804,2,The Hawthorns,residential,50,False,True,28.209,"LINESTRING (-7.105654 53.4571209, -7.1056239 53.4571502, -7.1055039 53.4572526, -7.1054085 53.4573281)",
149748857,2,,residential,,False,False,66.743,"LINESTRING (-7.1044389 53.4556369, -7.1037567 53.4560788)",
149748808,2,Cluainn Craoibh,residential,30,False,True,29.999,"LINESTRING (-7.1085292 53.4559474, -7.1088991 53.4561032)",
149748796,2,Cluainn Craoibh,residential,30,False,False,77.821,"LINESTRING (-7.1085292 53.4559474, -7.1084941 53.4559804, -7.1082247 53.4562357, -7.10872 53.4564409)",
149748796,2,Cluainn Craoibh,residential,30,False,True,79.255,"LINESTRING (-7.1085292 53.4559474, -7.1085881 53.4558425, -7.1086581 53.4557566, -7.1090463 53.4553987, -7.108928 53.4553595)",
149748821,,,residential,,False,False,9.179,"LINESTRING (-7.1103558 53.4588342, -7.1104314 53.458765)",
149757340,2,,residential,30,False,False,36.981,"LINESTRING (-7.1104747 53.4576595, -7.110275 53.4579701)",
149748864,2,,residential,30,False,False,209.44399999999996,"LINESTRING (-7.1104747 53.4576595, -7.110019 53.4576445, -7.1095262 53.4573717, -7.1092266 53.4573106, -7.109063 53.4573426, -7.1089831 53.457411, -7.1089563 53.4574796, -7.1089959 53.4575374, -7.1100125 53.4578967)",
149757340,2,,residential,30,False,True,51.007999999999996,"LINESTRING (-7.1104747 53.4576595, -7.1105784 53.4574767, -7.110904 53.4572949)",
