osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name,maxspeed
198705469,unclassified,False,True,90.062,"LINESTRING (140.718207 36.7184563, 140.7187006 36.7185269, 140.7188237 36.7185692, 140.7190311 36.7186614, 140.719136 36.7187332)",,,,,
198705434,unclassified,False,False,40.991,"LINESTRING (140.7181735 36.7185992, 140.718404 36.7189182)",,,,,
444491340,unclassified,False,True,16.168,"LINESTRING (140.7181735 36.7185992, 140.718207 36.7184563)",,,,,
198704824,unclassified,False,True,152.713,"LINESTRING (140.7181735 36.7185992, 140.7176539 36.7183266, 140.7176347 36.7182855, 140.7176534 36.717849, 140.7178251 36.7174788)",,,,,
198704058,unclassified,False,True,46.28,"LINESTRING (140.7127751 36.7187368, 140.71262 36.7183396)",,,,,
210677286,unclassified,False,True,49.696,"LINESTRING (140.7127751 36.7187368, 140.7122712 36.7189281)",,,,,
210677286,unclassified,False,False,121.40700000000001,"LINESTRING (140.7127751 36.7187368, 140.7134071 36.7184742, 140.7137033 36.7189382)",,,,,
198705434,unclassified,False,True,40.991,"LINESTRING (140.718404 36.7189182, 140.7181735 36.7185992)",,,,,
1259122423,residential,False,False,55.226,"LINESTRING (140.718404 36.7189182, 140.7177861 36.718955)",,,,,
198705434,unclassified,False,False,60.86,"LINESTRING (140.718404 36.7189182, 140.7188534 36.7192747, 140.7188951 36.7192976)",,,,,
1197838754,trunk,False,False,74.841,"LINESTRING (140.719136 36.7187332, 140.7190911 36.7194053)",,2,6,陸前浜街道,
1197838754,trunk,False,True,66.321,"LINESTRING (140.719136 36.7187332, 140.7191569 36.718137)",,2,6,陸前浜街道,
198705469,unclassified,False,False,90.062,"LINESTRING (140.719136 36.7187332, 140.7190311 36.7186614, 140.7188237 36.7185692, 140.7187006 36.7185269, 140.718207 36.7184563)",,,,,
1259122411,residential,False,False,38.263000000000005,"LINESTRING (140.719136 36.7187332, 140.7193806 36.7188732, 140.7194722 36.7189457)",,,,,
198704880,unclassified,False,False,82.179,"LINESTRING (140.7165077 36.7187745, 140.7162975 36.718858, 140.7157192 36.7188691, 140.7156103 36.7188712)",,,,,
198705434,unclassified,False,True,21.18,"LINESTRING (140.7190911 36.7194053, 140.7188951 36.7192976)",,,,,
1197838754,trunk,False,False,17.345,"LINESTRING (140.7190911 36.7194053, 140.7190815 36.7195611)",,2,6,陸前浜街道,
1197838754,trunk,False,True,74.841,"LINESTRING (140.7190911 36.7194053, 140.719136 36.7187332)",,2,6,陸前浜街道,
