osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access
134124565,,165;166,伊奈福生線,secondary,30,False,True,69.88,"LINESTRING (139.330182 35.7373686, 139.32951 35.7370565)",
134129934,,,,residential,,False,False,60.291,"LINESTRING (139.330182 35.7373686, 139.3305212 35.7369015)",
134124565,,165;166,伊奈福生線,secondary,30,False,False,96.868,"LINESTRING (139.330182 35.7373686, 139.3304143 35.7374781, 139.3306983 35.7377007, 139.3308588 35.7378245, 139.3310193 35.7379046)",
134129877,,,,residential,,False,True,24.975,"LINESTRING (139.3358651 35.7373542, 139.3357026 35.737536)",
134129877,,,,residential,,False,False,33.976,"LINESTRING (139.3358651 35.7373542, 139.3359224 35.7371898, 139.3359589 35.7370584)",
185814141,,,,residential,,False,False,103.237,"LINESTRING (139.3358651 35.7373542, 139.336354 35.7374372, 139.3365471 35.7374463, 139.3369738 35.7375646)",
134130200,,,,unclassified,,False,False,66.96,"LINESTRING (139.3315639 35.7374003, 139.3322014 35.7377083)",
134130310,,,,unclassified,,True,False,63.65,"LINESTRING (139.3315639 35.7374003, 139.3319357 35.7369139)",
134130247,,,銀座通り,unclassified,,True,False,61.251,"LINESTRING (139.3292331 35.7375594, 139.32951 35.7370565)",
134129877,,,,residential,,False,False,24.975,"LINESTRING (139.3357026 35.737536, 139.3358651 35.7373542)",
134129877,,,,residential,,False,True,23.03,"LINESTRING (139.3357026 35.737536, 139.335564 35.7377099)",
185814140,,,,residential,,False,False,71.399,"LINESTRING (139.3357026 35.737536, 139.3354181 35.7374383, 139.3352474 35.7374428, 139.3349423 35.7374932)",
185814140,,,,residential,,False,True,37.284,"LINESTRING (139.3357026 35.737536, 139.3358881 35.7376618, 139.3359976 35.7377688)",
