osmid,name,highway,oneway,reversed,length,geometry,tunnel,lanes,ref,maxspeed,access
101333537,ელადის ქუჩა,residential,False,False,157.291,"LINESTRING (45.8095488 41.9476603, 45.8096433 41.9490731)",,,,,
678453347,Kudigora st.,tertiary,False,False,43.949,"LINESTRING (45.8095488 41.9476603, 45.8090175 41.947652)",,,,60,
678453347,Kudigora st.,tertiary,False,True,21.496,"LINESTRING (45.8095488 41.9476603, 45.8098078 41.9476766)",,,,60,
101333760,,residential,False,True,85.639,"LINESTRING (45.8117056 41.9437972, 45.8116842 41.9445672)",,,,,
101333750,სააკაძის I ჩიხი,residential,False,True,138.672,"LINESTRING (45.8157697 41.9465864, 45.8157274 41.9470026, 45.8158172 41.9470097, 45.8163718 41.9470099, 45.8166253 41.9469985, 45.8166546 41.9471582)",,,,,
101333800,ილია მოლაშვილის ქუჩა,residential,False,False,284.081,"LINESTRING (45.8157697 41.9465864, 45.8157998 41.9461385, 45.8160045 41.9451389, 45.8160983 41.9447135, 45.8162122 41.9440548)",,,,,
693259722,გიორგი სააკაძის ქუჩა,residential,False,False,110.137,"LINESTRING (45.8157697 41.9465864, 45.8151796 41.9465657, 45.8144391 41.9465466)",,,,,
693259722,გიორგი სააკაძის ქუჩა,residential,False,True,123.792,"LINESTRING (45.8157697 41.9465864, 45.8165371 41.946605, 45.8172661 41.9466019)",,,,,
678453347,Kudigora st.,tertiary,False,False,21.496,"LINESTRING (45.8098078 41.9476766, 45.8095488 41.9476603)",,,,60,
101333871,გიორგი ბრწყინვალის ქუჩა,residential,False,True,345.085,"LINESTRING (45.8098078 41.9476766, 45.8097984 41.9471162, 45.8097898 41.946714, 45.8097933 41.9462703, 45.8098209 41.9458405, 45.8098088 41.9453451, 45.8098088 41.9449653, 45.8098234 41.944574)",,,,,
678453347,Kudigora st.,tertiary,False,True,104.152,"LINESTRING (45.8098078 41.9476766, 45.810027 41.9477211, 45.8109742 41.9480261)",,,,60,
101333807,უორდროპების ქუჩა,residential,False,True,96.76100000000001,"LINESTRING (45.8191545 41.9522812, 45.8190715 41.9522916, 45.8187372 41.9523502, 45.8185382 41.9524045, 45.8184103 41.9524849, 45.818309 41.9526275, 45.8182036 41.9527028)",,,,,
952743526,დავით გურამიშვილის ქუჩა,residential,False,True,72.606,"LINESTRING (45.8191545 41.9522812, 45.8191532 41.9522627, 45.8191109 41.9516535, 45.8191124 41.9516291)",,,,,
101333404,,residential,False,True,26.023,"LINESTRING (45.8132134 41.9515166, 45.8129664 41.9516616)",,,,,
101333416,Kote Marjanishvili St.,residential,False,False,53.541,"LINESTRING (45.8132134 41.9515166, 45.813181 41.9510357)",,,,,
