osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,name,ref
32930213,,residential,,roundabout,True,False,14.626999999999999,"LINESTRING (117.8851775 -35.0220015, 117.885164 -35.0220316, 117.8851381 -35.0220571, 117.8851032 -35.0220738, 117.8850633 -35.0220797)",,
32658190,,residential,,,False,True,130.215,"LINESTRING (117.8849494 -35.0220065, 117.8835218 -35.0220739)",Serpentine Road,
32930213,,residential,,roundabout,True,False,18.996,"LINESTRING (117.8849494 -35.0220065, 117.8849478 -35.0219683, 117.8849614 -35.0219371, 117.8849872 -35.0219115, 117.8850221 -35.0218947, 117.8850619 -35.0218887)",,
744921422,,secondary,,roundabout,True,False,13.041999999999998,"LINESTRING (117.8834954 -35.0221396, 117.8834669 -35.0221574, 117.8834327 -35.0221662, 117.883397 -35.0221652, 117.8833637 -35.0221544)",York Street,
744921423,,secondary,,,True,False,185.428,"LINESTRING (117.8834954 -35.0221396, 117.8835521 -35.0229569, 117.8835946 -35.0237453, 117.8835958 -35.0238051)",York Street,
43437643,,residential,,,False,False,58.983,"LINESTRING (117.8858233 -35.0219606, 117.8851775 -35.0220015)",Serpentine Road,
1238987530,,residential,,,False,False,257.365,"LINESTRING (117.8858233 -35.0219606, 117.8864767 -35.0230139, 117.8870816 -35.024033)",Spencer Street,
43437702,,residential,,,False,True,119.49499999999999,"LINESTRING (117.887115 -35.0273728, 117.8871276 -35.0273103, 117.8873294 -35.0263126)",Spencer Street,
261826133,,residential,,,False,True,77.221,"LINESTRING (117.887115 -35.0273728, 117.8866871 -35.0273088, 117.886278 -35.0272619)",Stirling Terrace,257
32898091,,secondary,,roundabout,True,False,8.487,"LINESTRING (117.8836317 -35.0269071, 117.8836443 -35.0268703, 117.8836739 -35.0268409)",York Street,257
43459956,2,secondary,,,False,True,106.937,"LINESTRING (117.8836317 -35.0269071, 117.8833316 -35.0269555, 117.8825075 -35.0271801)",Stirling Terrace,257
32898091,,secondary,,roundabout,True,False,7.606,"LINESTRING (117.8838123 -35.0268394, 117.8838404 -35.0268646, 117.8838554 -35.0268966)",York Street,257
32898090,,secondary,,roundabout,True,False,11.818999999999999,"LINESTRING (117.8837493 -35.0259429, 117.8837103 -35.0259583, 117.8836671 -35.0259594, 117.883627 -35.0259461)",,
43460146,,secondary,,,True,False,99.87700000000001,"LINESTRING (117.8837493 -35.0259429, 117.8837734 -35.0261394, 117.8838123 -35.0268394)",York Street,
