osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,junction,bridge
1062811197,Via Crocella Santa,tertiary,False,False,97.605,30,"LINESTRING (14.4784947 41.0117973, 14.4794169 41.0120629, 14.479516 41.0120961, 14.4795779 41.0121169)",SP338,,
1062811197,Via Crocella Santa,tertiary,False,True,113.029,30,"LINESTRING (14.4784947 41.0117973, 14.4779476 41.011665, 14.477196 41.01153)",SP338,,
1062811197,Via Crocella Santa,tertiary,False,False,113.029,30,"LINESTRING (14.477196 41.01153, 14.4779476 41.011665, 14.4784947 41.0117973)",SP338,,
363477842,Via Porchiera,unclassified,False,True,96.268,,"LINESTRING (14.4777035 41.0124192, 14.4781643 41.0120086, 14.4783491 41.0119063, 14.4784947 41.0117973)",,,
171534477,Viale della Repubblica,residential,False,False,46.161,,"LINESTRING (14.4848325 41.0149583, 14.4845153 41.0152975)",,,
171534477,Viale della Repubblica,residential,False,True,58.142,,"LINESTRING (14.4848325 41.0149583, 14.4852321 41.0145311)",,,
363477847,Via Santa Lucia,residential,False,False,178.764,,"LINESTRING (14.4848325 41.0149583, 14.4830655 41.01406)",,,
363477846,Via Laurenza,residential,False,False,63.277,,"LINESTRING (14.4830655 41.01406, 14.4826838 41.0145508)",,,
363477846,Via Laurenza,residential,False,True,53.484,,"LINESTRING (14.4830655 41.01406, 14.4834145 41.0136575)",,,
363477847,Via Santa Lucia,residential,False,True,178.764,,"LINESTRING (14.4830655 41.01406, 14.4848325 41.0149583)",,,
386621762,Via Fosse,unclassified,False,False,121.73400000000001,,"LINESTRING (14.4802054 41.0154816, 14.4801776 41.0155626, 14.4801186 41.0156111, 14.4799631 41.0156799, 14.4793837 41.0159511, 14.4790322 41.0160798)",,,
"[386465662, 1032872094, 386465663]",Via Fosse,"['unclassified', 'residential']",False,False,89.676,,"LINESTRING (14.4802054 41.0154816, 14.4803071 41.0154324, 14.4805651 41.015322, 14.4811199 41.0150644)",,,yes
386621957,,unclassified,False,False,80.379,,"LINESTRING (14.4790322 41.0160798, 14.4790527 41.0168025)",,,
386621762,Via Fosse,unclassified,False,True,121.73400000000001,,"LINESTRING (14.4790322 41.0160798, 14.4793837 41.0159511, 14.4799631 41.0156799, 14.4801186 41.0156111, 14.4801776 41.0155626, 14.4802054 41.0154816)",,,
386621957,,unclassified,False,True,80.379,,"LINESTRING (14.4790527 41.0168025, 14.4790322 41.0160798)",,,
1062811196,Via Circumvallazione,tertiary,False,True,38.083,30,"LINESTRING (14.4868734 41.0168557, 14.4865955 41.0165849)",SP338,,
620874240,Via Napoli,residential,False,True,62.027,30,"LINESTRING (14.4771857 41.0109855, 14.4779055 41.0111126)",ex SS162,,
1190317489,,residential,False,False,169.549,,"LINESTRING (14.4771857 41.0109855, 14.4776106 41.0094948)",,,
620874166,Via Torquato Tasso,residential,False,False,72.888,,"LINESTRING (14.4797647 41.0114378, 14.480116 41.0108383)",,,
620874240,Via Napoli,residential,False,False,11.36,30,"LINESTRING (14.4797647 41.0114378, 14.4796322 41.0114168)",ex SS162,,
620874240,Via Napoli,residential,False,True,151.831,30,"LINESTRING (14.4797647 41.0114378, 14.4808058 41.0116147, 14.4808611 41.0116239, 14.4810796 41.0116601, 14.4811951 41.0116793, 14.4815309 41.0117349)",ex SS162,,
1063152589,Viale della Rimembranza,residential,False,False,37.106,,"LINESTRING (14.4786163 41.0095985, 14.4786138 41.0099322)",,,
1063152589,Viale della Rimembranza,residential,False,True,70.174,,"LINESTRING (14.4786163 41.0095985, 14.4786026 41.0089675)",,,
"[1063152588, 620874166]","['Via Ugo Foscolo', 'Via Torquato Tasso']",residential,False,True,246.274,,"LINESTRING (14.4786163 41.0095985, 14.478748 41.0095893, 14.4796306 41.0097303, 14.4797054 41.0097479, 14.4798174 41.009843, 14.4798595 41.0098606, 14.4800836 41.0098783, 14.4801957 41.0098994, 14.480207 41.0099352, 14.4802049 41.0103967, 14.4802035 41.0106946, 14.480116 41.0108383)",,,
620874166,Via Torquato Tasso,residential,False,True,72.888,,"LINESTRING (14.480116 41.0108383, 14.4797647 41.0114378)",,,
"[1063152588, 620874166]","['Via Ugo Foscolo', 'Via Torquato Tasso']",residential,False,False,246.274,,"LINESTRING (14.480116 41.0108383, 14.4802035 41.0106946, 14.4802049 41.0103967, 14.480207 41.0099352, 14.4801957 41.0098994, 14.4800836 41.0098783, 14.4798595 41.0098606, 14.4798174 41.009843, 14.4797054 41.0097479, 14.4796306 41.0097303, 14.478748 41.0095893, 14.4786163 41.0095985)",,,
620874168,Via Giuseppe Garibaldi,residential,False,False,79.413,,"LINESTRING (14.480116 41.0108383, 14.4792384 41.0107099, 14.4791915 41.0107277)",,,
29754444,Via Vecchia Cimitero,residential,False,False,85.08,,"LINESTRING (14.4791915 41.0107277, 14.4796322 41.0114168)",,,
29754444,Via Vecchia Cimitero,residential,False,True,100.891,,"LINESTRING (14.4791915 41.0107277, 14.4786965 41.0100615, 14.4786138 41.0099322)",,,
620874168,Via Giuseppe Garibaldi,residential,False,True,79.413,,"LINESTRING (14.4791915 41.0107277, 14.4792384 41.0107099, 14.480116 41.0108383)",,,
620874176,Via Ippolito Pindemonte,unclassified,False,False,139.5,,"LINESTRING (14.4843318 41.0099024, 14.4827397 41.0095411)",,,
620874192,Via Elevata,residential,False,True,32.791,,"LINESTRING (14.4843318 41.0099024, 14.4841628 41.0101683)",,,
620874192,Via Elevata,residential,False,False,65.19200000000001,,"LINESTRING (14.4843318 41.0099024, 14.4843524 41.0098699, 14.484567 41.0094105, 14.4845703 41.0093474)",,,
620874176,Via Ippolito Pindemonte,unclassified,False,True,139.5,,"LINESTRING (14.4827397 41.0095411, 14.4843318 41.0099024)",,,
620874178,Via Antonio De Curtis,unclassified,False,True,144.103,,"LINESTRING (14.482922 41.0086791, 14.4845804 41.0090158)",,,
171462181,Via Vincenzo Monti,unclassified,False,False,62.484,,"LINESTRING (14.483339 41.01018, 14.4840515 41.0103434)",,,
171462181,Via Vincenzo Monti,unclassified,False,True,59.415,,"LINESTRING (14.483339 41.01018, 14.4826615 41.0100246)",,,
620874183,,unclassified,False,False,58.495,,"LINESTRING (14.483339 41.01018, 14.4830754 41.010667)",,,
620874183,,unclassified,False,True,58.495,,"LINESTRING (14.4830754 41.010667, 14.483339 41.01018)",,,
620874192,Via Elevata,residential,False,True,59.293,,"LINESTRING (14.483858 41.0108109, 14.4836699 41.0113249)",,,
620874184,Vico Dell'Arco,unclassified,False,False,159.072,,"LINESTRING (14.483858 41.0108109, 14.4848871 41.0109613, 14.4851473 41.0110258, 14.485253 41.011035, 14.4853221 41.0110135, 14.485379 41.0109245, 14.4854807 41.0107426)",,,
620874192,Via Elevata,residential,False,False,54.592,,"LINESTRING (14.483858 41.0108109, 14.4839986 41.0104266, 14.4840515 41.0103434)",,,
171462189,Via Concezione,unclassified,False,False,6.616,,"LINESTRING (14.4854807 41.0107426, 14.4854446 41.0106897)",,,
171462189,Via Concezione,unclassified,False,True,10.685,,"LINESTRING (14.4854807 41.0107426, 14.4855608 41.0108173)",,,
620874184,Vico Dell'Arco,unclassified,False,True,159.072,,"LINESTRING (14.4854807 41.0107426, 14.485379 41.0109245, 14.4853221 41.0110135, 14.485253 41.011035, 14.4851473 41.0110258, 14.4848871 41.0109613, 14.483858 41.0108109)",,,
171462193,Vico 1° San Leonardo,unclassified,False,True,22.192,,"LINESTRING (14.4849966 41.0086588, 14.4847348 41.0086305)",,,
620874197,Via San Leonardo,unclassified,False,False,82.21,,"LINESTRING (14.4849966 41.0086588, 14.4850061 41.0093981)",,,
171462193,Vico 1° San Leonardo,unclassified,False,False,77.50399999999999,,"LINESTRING (14.4849966 41.0086588, 14.4853582 41.008698, 14.4859128 41.0087468)",,,
620874197,Via San Leonardo,unclassified,False,False,75.767,,"LINESTRING (14.4850061 41.0093981, 14.4848744 41.0100722)",,,
620874197,Via San Leonardo,unclassified,False,True,82.21,,"LINESTRING (14.4850061 41.0093981, 14.4849966 41.0086588)",,,
1063152590,Via Rione S. Leonardo,unclassified,False,False,36.999,,"LINESTRING (14.4850061 41.0093981, 14.4845703 41.0093474)",,,
1063152590,Via Rione S. Leonardo,unclassified,False,True,46.492999999999995,,"LINESTRING (14.4850061 41.0093981, 14.4853555 41.0094388, 14.4855503 41.0094748)",,,
620874197,Via San Leonardo,unclassified,False,True,75.767,,"LINESTRING (14.4848744 41.0100722, 14.4850061 41.0093981)",,,
620874201,Via Casazenca,unclassified,False,True,14.954,,"LINESTRING (14.4860524 41.0080438, 14.4859834 41.0081678)",,,
