osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,name,width,tunnel,access,junction
"[47213512, 912908637, 912908638]",True,1,secondary,50,False,58.138999999999996,"LINESTRING (6.7797851 51.4377541, 6.7799203 51.4377117, 6.7800149 51.4377108, 6.7800579 51.4377066, 6.7801424 51.4376748, 6.7801866 51.4376514, 6.7802528 51.4376037, 6.7803165 51.4375526, 6.7803341 51.4375206, 6.7803334 51.4374375)",K 38,,Kardinal-Galen-Straße,4,,,
137803948,False,,residential,50,True,7.631,"LINESTRING (6.7680677 51.4377563, 6.7680784 51.437688)",,,Pulverweg,,,,
"[9794056, 231329985]",True,"['1', '2']",secondary,50,False,122.424,"LINESTRING (6.7680677 51.4377563, 6.7678817 51.4376944, 6.7674569 51.4375474, 6.7672484 51.4374774, 6.7668706 51.4373474, 6.7666919 51.437286, 6.7666717 51.437279, 6.7665194 51.4372266)",K 38,,Stapeltor,,,,
"[316215706, 231329980]",False,"['3', '2']",residential,30,True,103.95400000000001,"LINESTRING (6.7680677 51.4377563, 6.7680562 51.4378409, 6.7680523 51.4379178, 6.768034 51.4381713, 6.7680543 51.4386173, 6.7680535 51.4386904)",,,Philosophenweg,,,,
"[1152873874, 1152859278, 914213766]",False,3,secondary,50,False,71.70400000000001,"LINESTRING (6.7711011 51.4288578, 6.7711614 51.4289307, 6.7711741 51.428946, 6.7711834 51.428959, 6.771335 51.4291679, 6.7715333 51.4294435)",,,Mercatorstraße,,,,
1152872876,False,4,secondary,50,False,76.824,"LINESTRING (6.7711011 51.4288578, 6.771043 51.4287842, 6.7710147 51.4287494, 6.7710008 51.4287323, 6.7706195 51.4282356)",,,Mercatorstraße,,,,
4281177,False,,residential,,False,129.579,"LINESTRING (6.6758238 51.4436377, 6.676047 51.4438821, 6.6761616 51.4440083, 6.6762009 51.4440515, 6.6767721 51.4446419)",,,Kirchstraße,,,,
67162863,False,,tertiary,,False,176.808,"LINESTRING (6.6758238 51.4436377, 6.6764941 51.4435648, 6.6770412 51.4435059, 6.6783364 51.4433625)",,,Asberger Straße,,,,
307559794,False,,tertiary,,True,29.111,"LINESTRING (6.6758238 51.4436377, 6.6755285 51.4436705, 6.6754099 51.4436822)",,,Asberger Straße,,,,
4281177,False,,residential,,False,146.042,"LINESTRING (6.6772439 51.4451703, 6.6788285 51.4460361)",,,Kirchstraße,,,,
4281177,False,,residential,,True,67.241,"LINESTRING (6.6772439 51.4451703, 6.6772089 51.4451311, 6.6767721 51.4446419)",,,Kirchstraße,,,,
