osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,junction
390684467,,,Birntorweg,residential,30,False,True,100.788,,"LINESTRING (10.3473053 48.8592156, 10.3474581 48.8591811, 10.347795 48.8591703, 10.3479114 48.8591524, 10.3484173 48.8590444, 10.3486296 48.8589907)",
128198988,,,Galater Weg,residential,30,False,True,200.04,,"LINESTRING (10.3471384 48.8596783, 10.3472663 48.8597087, 10.3473916 48.8597176, 10.3475655 48.8597367, 10.3477444 48.8597606, 10.3478053 48.859768, 10.3479563 48.8598076, 10.3480503 48.8598571, 10.3481749 48.8600944, 10.3481505 48.8601851, 10.3481105 48.8602236, 10.348071 48.860251, 10.347959 48.8602876, 10.3477064 48.8603013, 10.3476333 48.8603143, 10.3475567 48.8603123, 10.3472349 48.8602912, 10.3469748 48.8602597)",
128199016,,,Birntorweg,residential,30,False,False,65.824,,"LINESTRING (10.3471384 48.8596783, 10.3470409 48.8599464, 10.3469748 48.8602597)",
128199016,,,Birntorweg,residential,30,False,True,52.879,,"LINESTRING (10.3471384 48.8596783, 10.347237 48.8594051, 10.3473053 48.8592156)",
753741867,,,Am Schwabhof,residential,,False,True,78.114,,"LINESTRING (10.3577933 48.8614929, 10.3577614 48.8614906, 10.3568692 48.8614275, 10.3567322 48.8614403)",
858837784,,,Alte Kirchheimer Straße,residential,,False,True,42.523,,"LINESTRING (10.3557329 48.8614997, 10.3553688 48.8612016)",
128198995,,,Birkenweg,residential,,False,False,76.497,,"LINESTRING (10.3557329 48.8614997, 10.3558825 48.8614179, 10.3563222 48.8614417, 10.3567322 48.8614403)",
858837784,,,Alte Kirchheimer Straße,residential,,False,False,46.916,,"LINESTRING (10.3557329 48.8614997, 10.3558693 48.8616059, 10.3561669 48.8618101)",
128198975,,,Postweg,residential,,False,False,78.875,,"LINESTRING (10.3575868 48.86048, 10.3576271 48.8603586, 10.3579523 48.8600528, 10.3581602 48.859891)",
858837785,,L 1078,Kirchheimer Straße,secondary,50,False,False,66.60900000000001,,"LINESTRING (10.3575868 48.86048, 10.3581557 48.8604832, 10.3582227 48.8604881, 10.3584966 48.8604799)",
858837786,,L 1078,Kirchheimer Straße,secondary,50,False,True,144.01600000000002,,"LINESTRING (10.3575868 48.86048, 10.3570505 48.8604878, 10.3563416 48.860498, 10.3559058 48.860452, 10.3556353 48.8604001)",
128199021,,,Alemannenweg,residential,,False,True,78.01599999999999,,"LINESTRING (10.3462007 48.8563321, 10.3461901 48.8565, 10.3461864 48.8565579, 10.3461185 48.8567813, 10.3460641 48.85696, 10.3460204 48.8570189)",
135024060,,,Friedhofweg,residential,,False,False,40.212,,"LINESTRING (10.3460809 48.8601534, 10.3461111 48.8600824, 10.3462492 48.8598092)",
772689004,,,Galater Weg,residential,30,False,False,66.45300000000002,,"LINESTRING (10.3460809 48.8601534, 10.3461406 48.8601604, 10.3463784 48.8601881, 10.3465161 48.8602042, 10.3466902 48.8602253, 10.3469496 48.8602567, 10.3469748 48.8602597)",
128198975,,,Postweg,residential,,False,True,78.875,,"LINESTRING (10.3581602 48.859891, 10.3579523 48.8600528, 10.3576271 48.8603586, 10.3575868 48.86048)",
