osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access
28674096,,Drostenhof,residential,20,False,True,62.401,"LINESTRING (8.0459489 52.1557508, 8.0455951 52.1557967, 8.0453526 52.1558249, 8.0452281 52.1558354, 8.0450934 52.1559092)",,
33409012,,Hagenpatt,residential,20,False,False,187.866,"LINESTRING (8.0459489 52.1557508, 8.0462407 52.1568619, 8.046266 52.1569664, 8.0463578 52.1573186, 8.0463782 52.1574196)",,
29492183,,Schloßstraße,residential,20,False,False,41.782,"LINESTRING (8.0454783 52.1577291, 8.0448929 52.1576186)",,
26552934,,Große Straße,residential,20,True,False,146.942,"LINESTRING (8.0454783 52.1577291, 8.0455005 52.1576719, 8.0455127 52.1575244, 8.0455262 52.1573984, 8.0455144 52.1572072, 8.0454544 52.1570497, 8.0454315 52.1569659, 8.0453469 52.1567667, 8.0452365 52.1564286)",,
570416246,,Am Gografenhof,residential,20,False,True,24.929,"LINESTRING (8.0467513 52.1581073, 8.0467187 52.1583306)",,
29492182,,Schloßstraße,residential,20,True,False,96.581,"LINESTRING (8.0467513 52.1581073, 8.0464074 52.1579877, 8.0461183 52.1579004, 8.0454783 52.1577291)",,
50095236,,Hagenberg,residential,20,False,False,42.952999999999996,"LINESTRING (8.0467513 52.1581073, 8.0467618 52.1580374, 8.0468053 52.1579667, 8.0469355 52.1578792, 8.0470113 52.1578494, 8.0471142 52.1578275)",,
26578578,,,residential,30,False,False,42.934,"LINESTRING (8.0469311 52.15537, 8.0474843 52.1555541)",,
26578580,,Drostenhof,residential,30,False,False,129.36599999999999,"LINESTRING (8.0469311 52.15537, 8.0477005 52.154849, 8.0481977 52.1545042)",,
28674096,,Drostenhof,residential,20,False,True,79.441,"LINESTRING (8.0469311 52.15537, 8.0464202 52.1555962, 8.0459489 52.1557508)",,
26578578,,,residential,30,False,True,42.934,"LINESTRING (8.0474843 52.1555541, 8.0469311 52.15537)",,
26578579,,Kleestraße,residential,20,False,False,89.117,"LINESTRING (8.0474843 52.1555541, 8.0474133 52.1559481, 8.0474228 52.1563531)",,
30072072,,Sophienstraße,residential,30,False,False,24.608,"LINESTRING (8.0474843 52.1555541, 8.04758 52.155453, 8.047655 52.1553593)",,
"[26578579, 79818847]",,Kleestraße,residential,20,False,False,132.906,"LINESTRING (8.0474228 52.1563531, 8.0473589 52.1567781, 8.0471634 52.1572879, 8.0471058 52.1574392, 8.0470912 52.1575281)",,
26578579,,Kleestraße,residential,20,False,True,89.117,"LINESTRING (8.0474228 52.1563531, 8.0474133 52.1559481, 8.0474843 52.1555541)",,
76914716,,Georgstraße,residential,30,False,False,124.164,"LINESTRING (8.0474228 52.1563531, 8.0477871 52.1563648, 8.0485481 52.1563892, 8.0486921 52.1563938, 8.0492404 52.1564112)",,
47418862,,Friedhofstraße,residential,,False,False,51.998,"LINESTRING (8.0470912 52.1575281, 8.0471749 52.1574228, 8.0472628 52.1573307, 8.0474054 52.1572543, 8.0475872 52.1571923)",,
"[26578579, 79818847]",,Kleestraße,residential,20,False,True,132.906,"LINESTRING (8.0470912 52.1575281, 8.0471058 52.1574392, 8.0471634 52.1572879, 8.0473589 52.1567781, 8.0474228 52.1563531)",,
188100209,,Kleestraße,residential,20,False,False,33.474999999999994,"LINESTRING (8.0470912 52.1575281, 8.0470797 52.1576766, 8.0471142 52.1578275)",,
