osmid,highway,oneway,reversed,length,geometry,name,maxspeed,bridge,lanes
1192493013,living_street,False,True,188.426,"LINESTRING (93.7064962 24.3437926, 93.7065391 24.3436876, 93.7066201 24.3434096, 93.7067775 24.3430533, 93.7069253 24.3428361, 93.7069682 24.3426232, 93.7070636 24.3421931)",,,,
1192493014,living_street,False,True,52.646,"LINESTRING (93.7074498 24.3414119, 93.7070421 24.3412794, 93.7069755 24.3412287)",,,,
1192493015,living_street,False,False,26.679,"LINESTRING (93.7068252 24.3396124, 93.7066011 24.3394864)",,,,
1192493015,living_street,False,True,26.679,"LINESTRING (93.7066011 24.3394864, 93.7068252 24.3396124)",,,,
1192493015,living_street,False,False,165.891,"LINESTRING (93.7066011 24.3394864, 93.7065152 24.3393214, 93.7064437 24.339052, 93.706396 24.3387305, 93.7063865 24.3384698, 93.7063817 24.3381744, 93.7063646 24.3380238)",,,,
1192493016,living_street,False,True,143.36700000000002,"LINESTRING (93.7066011 24.3394864, 93.7064485 24.3395212, 93.7062768 24.3395516, 93.7052054 24.3396949)",,,,
387917653,residential,False,False,166.054,"LINESTRING (93.7063646 24.3380238, 93.7065379 24.3378567, 93.7067604 24.3376946, 93.7077839 24.3373229)",,,,
387917653,residential,False,True,127.715,"LINESTRING (93.7063646 24.3380238, 93.7063288 24.3380583, 93.7062126 24.3381029, 93.7059891 24.3381608, 93.7056256 24.3384919, 93.7053156 24.3386101)",,,,
1192493015,living_street,False,True,165.891,"LINESTRING (93.7063646 24.3380238, 93.7063817 24.3381744, 93.7063865 24.3384698, 93.706396 24.3387305, 93.7064437 24.339052, 93.7065152 24.3393214, 93.7066011 24.3394864)",,,,
387917646,residential,False,True,15.57,"LINESTRING (93.7052054 24.3396949, 93.7051658 24.3395596)",,,,
387917646,residential,False,False,101.642,"LINESTRING (93.7052054 24.3396949, 93.7052251 24.3397623, 93.7052772 24.3406053)",,,,
1192493016,living_street,False,False,143.36700000000002,"LINESTRING (93.7052054 24.3396949, 93.7062768 24.3395516, 93.7064485 24.3395212, 93.7066011 24.3394864)",,,,
