osmid,name,highway,oneway,reversed,length,ref,geometry,junction
222531408,Rua Cinco,residential,False,True,23.305,,"LINESTRING (-46.7940311 -22.8833201, -46.7940736 -22.8831142)",
222531357,,residential,False,True,36.337,,"LINESTRING (-46.7940311 -22.8833201, -46.7939217 -22.8832966, -46.7937018 -22.8833905)",
"[222531408, 624407232]","['Rua José de Assis', 'Rua Cinco']",residential,False,False,98.493,,"LINESTRING (-46.7940311 -22.8833201, -46.7939557 -22.8836851, -46.7939637 -22.8837588, -46.7940156 -22.883803, -46.7944119 -22.8838887)",
222531357,,residential,False,False,36.337,,"LINESTRING (-46.7937018 -22.8833905, -46.7939217 -22.8832966, -46.7940311 -22.8833201)",
222531447,Rua Sebastião de O Cunha,residential,False,False,30.799,,"LINESTRING (-46.791189 -22.8835466, -46.7910737 -22.8838024)",
222531447,Rua Sebastião de O Cunha,residential,False,True,145.539,,"LINESTRING (-46.791189 -22.8835466, -46.7914089 -22.8832073, -46.7913843 -22.8822939)",
624408231,Rua Valentim Gesuato,residential,False,True,73.567,,"LINESTRING (-46.796483 -22.8836305, -46.7962001 -22.8830224)",
222531348,Rua Luiz Pavanelli,residential,False,False,87.037,,"LINESTRING (-46.7951533 -22.8837473, -46.7952799 -22.8829733)",
222531348,Rua Luiz Pavanelli,residential,False,True,40.021,,"LINESTRING (-46.7951533 -22.8837473, -46.7950951 -22.8841032)",
222531387,Rua Adolfo Geovanele,residential,False,True,89.781,,"LINESTRING (-46.7951533 -22.8837473, -46.7953509 -22.883768, -46.7954349 -22.8838196, -46.7956268 -22.8843205)",
222531447,Rua Sebastião de O Cunha,residential,False,True,30.799,,"LINESTRING (-46.7910737 -22.8838024, -46.791189 -22.8835466)",
222531438,Avenida José Fabian,residential,True,False,188.04600000000002,,"LINESTRING (-46.7910737 -22.8838024, -46.790868 -22.883723, -46.7907086 -22.8836792, -46.7905046 -22.8836339, -46.7897268 -22.8832451, -46.7894349 -22.8830647)",
1180001425,Rua Felício Brognara,residential,False,False,112.954,,"LINESTRING (-46.7944119 -22.8838887, -46.7945731 -22.8828838)",
1180001425,Rua Felício Brognara,residential,False,True,35.216,,"LINESTRING (-46.7944119 -22.8838887, -46.7943464 -22.8841996)",
"[624407232, 222531408]","['Rua José de Assis', 'Rua Cinco']",residential,False,True,98.493,,"LINESTRING (-46.7944119 -22.8838887, -46.7940156 -22.883803, -46.7939637 -22.8837588, -46.7939557 -22.8836851, -46.7940311 -22.8833201)",
